,flock_gcm,avg_sheep_dist_from_gcm,furthest_sheep_from_gcm
0,"[121.48466445973332, 122.11992969706657]",55.63574531269898,94.49755388571222
1,"[121.50774233386664, 122.2012094695999]",55.5528395514804,94.53023618018224
2,"[121.49739559786669, 122.30112730653323]",55.42163961014828,94.60072425305793
3,"[121.53354330733336, 122.4253127099999]",55.33468016782482,94.6501804090537
4,"[121.55475724840001, 122.54082292293324]",55.21660346294851,94.70598610122984
5,"[121.5660668348, 122.68964623493332]",55.1680326331446,94.79052401427224
6,"[121.61509535093333, 122.79106041133333]",55.08247221686189,94.81608342642967
7,"[121.63918440653333, 122.92693062573335]",54.971478502885496,94.88283890546775
8,"[121.6417277668, 123.02808701933333]",54.86893700459916,94.94458730937738
9,"[121.64307203520002, 123.15160605279998]",54.75655966228226,95.02144446003409
10,"[121.67273300440002, 123.28521226106663]",54.678506147437645,95.08282926234132
11,"[121.68552620800001, 123.39685097133331]",54.54789112498794,95.14352588144263
12,"[121.73327937426669, 123.48288885106665]",54.447728339540355,95.16104864215096
13,"[121.7761757124, 123.58036669426663]",54.33786185037698,95.18968203967634
14,"[121.79578088213333, 123.71179097466668]",54.20585813035959,95.25797963038782
15,"[121.8111459432, 123.86051724773333]",54.138535077481315,95.34069444639591
16,"[121.8163894732, 123.96662448639998]",54.0536409569976,95.40421362734766
17,"[121.81370540546665, 124.08491727573336]",53.93345969676181,95.48168647989243
18,"[121.84768110666667, 124.20068741573334]",53.8295495415271,95.52942121714766
19,"[121.88296357706668, 124.3520045348]",53.73598876988261,95.59901943015052
20,"[121.94152655759999, 124.46799327613334]",53.62733440508596,95.62830703604179
21,"[121.92631514546665, 124.60973747466666]",53.52280102010242,95.7308698668681
22,"[121.9147117241333, 124.77005597373332]",53.384185678974546,95.84270385984142
23,"[121.93657201426662, 124.91067809186667]",53.286652353916594,95.91638744473927
24,"[121.97730475719995, 125.06746349279999]",53.209391626954925,95.98621558450377
25,"[122.02249648919998, 125.22689317093335]",53.10513690778043,95.81322543051787
26,"[122.04791579106663, 125.41033036586666]",53.010418145319306,95.5307832594949
27,"[122.0582955701333, 125.57782486026667]",52.87028540096517,95.17463065084081
28,"[122.0396546690666, 125.73947687493335]",52.75910859429882,94.79013937745366
29,"[122.01976513173327, 125.91088749026663]",52.63254676302194,94.60017231971504
30,"[122.02437471426664, 126.12376397933333]",52.50216710049076,94.40665223443725
31,"[122.01511446733333, 126.30399536280002]",52.351794906372874,93.99225129269146
32,"[122.01296443119999, 126.5027647518667]",52.19578744437069,93.74503042794154
33,"[121.98062391720002, 126.7024049482667]",52.06278691886982,93.53554767470125
34,"[122.00354401733334, 126.86912864253337]",51.950673423125494,93.06222500670891
35,"[122.01028785093335, 127.07442474960006]",51.800042009016174,92.58898903889991
36,"[122.01075558666666, 127.27915310879999]",51.660478065519136,92.26855987530027
37,"[122.01421303786667, 127.49616965133336]",51.527115010943795,92.03923242293081
38,"[122.01030362813333, 127.69641154000001]",51.38172354783588,91.8589714897754
39,"[121.99810159799999, 127.8450844022667]",51.24220523714371,91.4359663180087
40,"[121.94524568786667, 128.03824600960004]",51.10366616947306,91.07395949012387
41,"[121.91972602773332, 128.25019458826668]",50.94224987493022,90.76894840934726
42,"[121.87308098266668, 128.4216351756]",50.81623079981552,90.33278849845502
43,"[121.85910232426671, 128.62410885573334]",50.67063644796501,90.0708135812789
44,"[121.84605961746666, 128.830489416]",50.53726329082241,89.88315673111025
45,"[121.7913238861334, 129.08735648253332]",50.39131967583198,89.99715663757947
46,"[121.7517914814667, 129.33005567773336]",50.19654736822555,90.11504483118672
47,"[121.70246091213335, 129.58987882773326]",50.00114645359265,90.50370730071778
48,"[121.66244527746669, 129.85178910746666]",49.80887408819691,90.63172314780721
49,"[121.59194649493337, 130.0890143550667]",49.613441774061044,90.72111585378747
50,"[121.54684474933337, 130.35359993373334]",49.44695910972568,90.84794723266205
51,"[121.52943598746664, 130.57996606413334]",49.25699920987597,90.97361839860773
52,"[121.51889870560001, 130.77790036973337]",49.125411233302295,91.08750998484112
53,"[121.47516830346669, 131.01390920546666]",48.95407469422417,91.19922714271485
54,"[121.45357218680002, 131.2369398558667]",48.81648981791692,91.32071184132651
55,"[121.39871957026669, 131.47893841146666]",48.63267642624022,91.42839617896638
56,"[121.35167333426669, 131.67544511573337]",48.47933193676689,91.51428365904133
57,"[121.31338296213333, 131.8878560928]",48.341546802941664,92.02128685836001
58,"[121.30392796906669, 132.06860901506664]",48.260841191362026,92.12873660781027
59,"[121.34085568426667, 132.23447550359998]",48.15306243127403,92.26271354594708
60,"[121.34466049920003, 132.42493377013332]",48.01572148634059,92.38696101460603
61,"[121.32405735080002, 132.5774644133333]",47.878936830771366,92.46842852710243
62,"[121.2882827073333, 132.78374676119998]",47.76635386602311,92.57282047396161
63,"[121.27035430786668, 132.9754176494666]",47.68202711833663,92.68188281662529
64,"[121.25667097466668, 133.15432583599997]",47.55229113247217,92.78626547222252
65,"[121.26890085653332, 133.32247722719998]",47.43865767043198,92.90378149624856
66,"[121.26949979493337, 133.4653747441333]",47.37484217594734,92.15114478912972
67,"[121.2394792085334, 133.6218520844]",47.29633253154926,92.2283554558389
68,"[121.25434575333338, 133.76085155306666]",47.24445039845719,92.32895493495617
69,"[121.23272119373331, 133.86606534666663]",47.19312449137601,92.37998514034126
70,"[121.19957349186672, 133.97755544906664]",47.14443936870615,92.42633417350007
71,"[121.16914625240003, 134.11826208079995]",47.10301677978272,92.49372315288858
72,"[121.18196599360004, 134.26633919879993]",47.04792540465008,92.59906638429021
73,"[121.17057197573332, 134.4196353045333]",47.037614150378424,92.68943299236885
74,"[121.15014078279998, 134.49869264119997]",47.009846306517396,92.72500719078162
75,"[121.10481457373331, 134.6168935029333]",46.97849237731937,92.76705095298226
76,"[121.08156309866662, 134.70624841506663]",46.98608264103021,92.80731480400462
77,"[121.02566664719998, 134.76738435359994]",46.99077201747965,92.80450274499985
78,"[120.99257507999995, 134.86702589239994]",46.950813863616204,92.84413113670523
79,"[120.9433395557333, 134.9698108530666]",46.91851542169137,92.87365848493654
80,"[120.93071440866666, 135.06228798386664]",46.870229151258535,92.92434856459809
81,"[120.90452681626667, 135.17839742839993]",46.88016677986838,92.71617993235823
82,"[120.86872817919999, 135.297006316]",46.84971267131054,92.22330167332218
83,"[120.83208202266665, 135.41670350613333]",46.837353064460586,91.71533015155265
84,"[120.78714102759999, 135.5813544152]",46.843498314759344,91.4450510082655
85,"[120.73739068039998, 135.7024435477333]",46.835312340765604,90.97638780275015
86,"[120.67816083839998, 135.8034175613333]",46.86034951715582,90.69996298276808
87,"[120.63000698826662, 135.92528801413332]",46.86060852058853,90.42586789517252
88,"[120.60201455573328, 136.03795561066664]",46.8274630581439,89.91722617610476
89,"[120.57666889799997, 136.16485391466665]",46.79413218358494,89.85803561244272
90,"[120.54262385786664, 136.27572442999997]",46.78988219603967,89.93826978981461
91,"[120.55672778693331, 136.39088237613333]",46.753360760975774,89.97753353370933
92,"[120.56198199160002, 136.56343445786663]",46.72914265505334,90.05077479161511
93,"[120.59881795119996, 136.75566109800002]",46.73398482755373,90.10508377877693
94,"[120.65870422786666, 136.96727507053328]",46.72195312161843,90.14811921052956
95,"[120.69831490986662, 137.13429593573332]",46.714958845439895,90.18925552125962
96,"[120.7393686094667, 137.3291750598666]",46.70587698272187,90.24222746966491
97,"[120.82695926506666, 137.52939385959994]",46.694838565798634,90.25680011772059
98,"[120.90935849413331, 137.69321118866662]",46.721399085806155,90.25960633229596
99,"[121.06385680599999, 137.90751443133328]",46.734259221572415,90.22252398806133
100,"[121.16692909959997, 138.14179343999996]",46.73530889542561,90.24098852804627
101,"[121.28450315160002, 138.32990110666668]",46.75671199214809,90.22562560138698
102,"[121.42067623026666, 138.52139859106668]",46.77605244617185,90.19602633720163
103,"[121.5657391734667, 138.7485755225333]",46.7675475600497,90.17618809907025
104,"[121.7299011744, 138.9654809686666]",46.78380214893726,90.13546581005727
105,"[121.89121738733331, 139.1285420544]",46.78391438833062,90.07214179610428
106,"[122.03553882866666, 139.33400888239996]",46.79918381548764,90.21763055232387
107,"[122.1658638436, 139.5382744545333]",46.82720444544913,90.43827687571739
108,"[122.30134117946662, 139.75994444666668]",46.878010989287596,90.67286548869288
109,"[122.44096622133334, 139.9696404390667]",46.92164604980248,90.90450027810392
110,"[122.53341187240001, 140.20835514973334]",46.945803465772904,91.11273958388371
111,"[122.58532811133331, 140.37529543386665]",46.98285359776843,91.2478787473897
112,"[122.593623264, 140.50490982813335]",47.00436123807387,91.3261821325246
113,"[122.58875539026667, 140.62490928013335]",47.064037476525364,91.38831951823995
114,"[122.56736928200003, 140.75844370439998]",47.16269162530945,91.77881258948317
115,"[122.51264245160002, 140.8952091678667]",47.205184627984046,91.8075168346117
116,"[122.40235454840001, 141.02528252253342]",47.274209377267084,91.78628742995193
117,"[122.34014434746668, 141.15096903893334]",47.333726044223646,91.76994851395318
118,"[122.24126545666668, 141.27254074000004]",47.39057168563178,91.49946977495958
119,"[122.14841028093336, 141.41124920573333]",47.45445015108917,91.44505165916729
120,"[122.0789477464, 141.5685499014667]",47.51042764487913,91.21580936710096
121,"[121.998962434, 141.72303589160006]",47.569809896638716,91.02526396314434
122,"[121.92200946626669, 141.86061552240002]",47.668177014440744,91.16185623585139
123,"[121.79125213373337, 142.00164990653337]",47.72154444334817,91.34645817844445
124,"[121.79303174706666, 142.13805233680003]",47.773708839950096,91.41503938627369
125,"[121.77968861240004, 142.24107997000002]",47.83129309172664,91.47952791163172
126,"[121.81028994173336, 142.32397860933332]",47.84417992704959,91.49606053561772
127,"[121.92188275573334, 142.4009059972]",47.91353328767919,91.44026475630606
128,"[122.02383993666665, 142.49756639066666]",47.972544799953354,91.4031063756307
129,"[122.2022378, 142.64029545626664]",48.070016429214064,91.32482719607937
130,"[122.38079480773335, 142.85476098453333]",48.167267386120514,91.28442339195843
131,"[122.53012633440002, 143.0231173490666]",48.278724558965266,91.24549347422291
132,"[122.66959550133333, 143.23930390920003]",48.336790830851385,91.2407078500065
133,"[122.85122263120002, 143.45244439733335]",48.42654027590072,91.21365650480169
134,"[123.04660093480005, 143.69561469106662]",48.48533622217441,91.50239338677306
135,"[123.23094335093334, 143.90852942706667]",48.57024104971178,91.76692987413028
136,"[123.37875765120002, 144.08707548613333]",48.61655627375626,91.98292811896962
137,"[123.44748541773333, 144.17191987759998]",48.65217552180682,92.08427527195401
138,"[123.51784416413332, 144.21206645186663]",48.706345971433905,92.16527831760642
139,"[123.50491466893332, 144.21855206586667]",48.76967630651468,92.1571479674164
140,"[123.48387319306669, 144.30541337586666]",48.829704998864166,92.18114493055391
141,"[123.37887133986669, 144.41456647546661]",48.90919336774962,92.14290306959991
142,"[123.27538195080002, 144.5554222825333]",48.99054698497392,92.12177959592223
143,"[123.17825310613334, 144.7141712765333]",49.09031893164573,91.9412173431857
144,"[123.09202835586672, 144.85790828893326]",49.15958864506515,91.64682046019304
145,"[123.00555002293336, 144.96895773213333]",49.202923540451955,91.56799563399528
146,"[122.91368700666666, 145.0981626005333]",49.29880730708138,91.3213237349881
147,"[122.79371189133334, 145.20902909879996]",49.405057193343744,91.32962488374449
148,"[122.71766126320001, 145.35931643186666]",49.51184197008977,91.47471292076364
149,"[122.5980966072, 145.5346484861333]",49.57223267814674,91.67002802752266
150,"[122.50755854293332, 145.69876185186658]",49.58801185216999,91.83493823814338
151,"[122.49940464893334, 145.75853633146664]",49.65772661535866,91.87415739924926
152,"[122.55196172466668, 145.74782529119997]",49.6344630943407,91.82417794321965
153,"[122.58494404653335, 145.80110313546666]",49.66221401686309,91.82534485337476
154,"[122.67943445920004, 145.85903015879998]",49.723189924281066,91.77743474192881
155,"[122.82243753333333, 145.90020923293332]",49.79333419518741,91.67982048252667
156,"[122.96373084253335, 146.00458404613335]",49.91746240500916,91.61825658962525
157,"[123.16286529933335, 146.18309924973335]",50.03113134388437,91.54920905872991
158,"[123.38097884613336, 146.40444671573337]",50.15275723430635,91.80728583278231
159,"[123.55121103840004, 146.61132239120002]",50.27039992691277,92.04884797960878
160,"[123.72839692066674, 146.7586485437333]",50.37639473274973,92.2716752081778
161,"[123.79483094240005, 146.8495629502667]",50.42908461095002,92.37032131544461
162,"[123.84468853453339, 146.8916097246667]",50.472205043801196,92.43328843713455
163,"[123.84413429893337, 146.88316735400002]",50.47424198609115,92.42921302330403
164,"[123.81882464213338, 146.89148659519998]",50.478271067952576,92.40980442384408
165,"[123.80737506933336, 146.91817140946668]",50.49551938466095,92.41073457545613
166,"[123.72642025200007, 147.0470868133333]",50.57981691425355,92.39214736710237
167,"[123.62878851946671, 147.1834647804]",50.668131355147544,92.21822709198453
168,"[123.49947416613337, 147.3341442121333]",50.80788207905569,92.12509000301586
169,"[123.41990703133335, 147.4778170157333]",50.87731985456652,91.92040130248888
