|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[118.29698955  63.97606042 181.22276848  64.52489459 123.61092856
 100.01214243 103.69254624 138.82577121  99.4907617   85.12727401
  68.93540095 187.91900645  98.12058646  88.95714137 145.95437817
  94.68728851 194.859895   158.18133329 163.39926148 105.26234833
 163.4647426  126.28362785 136.50698298  70.17372476 129.32009908
  69.97095129  94.85152263 181.04635173 114.5298504   70.78309328
 146.05798514  55.9446494   97.73977042 175.50555285 156.09598472
 116.75678087  62.29145947  93.40454381 167.66504672  94.09300903
 194.07745129  57.21320023 108.24830763 120.60613745 156.99603756
 161.85536389 103.86206626  97.89376217 192.51865188  69.66000692
 149.67391372  54.17156275  52.10096827 172.63283454 193.28918024
 135.71194815 115.94290297 100.27368174  69.30222993 146.69404707
 155.59107483  89.83841355  75.15218271 169.17665754  90.00096371
  50.18677715 146.1957245   55.31356555 166.75868251 112.11393086
  61.70128752 156.40975705 195.93876552 188.19168465 189.81535491]"|"[168.85769043 163.52919163 156.05610066  92.83791746  80.01459627
  98.01848859 121.95047345 105.91529033 106.49396662  79.02635743
 116.91435735 108.05249793 133.97919755 195.0418248   60.84382492
 107.33132446 103.81109934  69.46502248 185.92848676  64.02936634
  65.87419462 196.29028699 193.49401838  81.82440867  85.9790158
  96.5424565  129.75673619 123.64356953 103.43744632 137.81237581
 113.01996997  55.49514708  77.46190993  93.53163345 143.37029613
  84.12213952  92.01356382  96.46677163 136.77065294  62.8299757
  55.25549477  97.73924541 160.81458296 113.07838588 163.79564751
  52.37064211 134.74943304 168.21691765 190.83963387 197.48493225
  78.30908157 152.41225916 167.47235624  76.54001833 174.00829636
  90.6214699  180.14685619  91.55430091 196.20009201  82.54912409
 106.76953414  83.17372366  87.78386188  90.60117228 119.38277321
 119.37635868 175.09652062 106.19034693 112.51395    172.24239255
  74.63039534 100.46457073 178.24065246 101.68697692 140.50339846]"|[170.13014589]|[10.07638834]
1|"[118.29698955  63.97606042 181.22276848  64.52489459 123.61092856
 100.01214243 103.69254624 138.82577121  99.4907617   85.12727401
  68.93540095 187.91900645  98.12058646  88.95714137 145.72399179
  94.68728851 194.8417883  158.10184661 163.39926148 104.99711516
 163.4553598  126.28362785 136.50698298  70.17372476 129.32009908
  69.97095129  94.85152263 181.04635173 114.5298504   70.78309328
 146.05798514  55.9446494   97.73977042 175.50555285 156.09598472
 116.75678087  62.29145947  93.40454381 167.66504672  94.09300903
 193.50330664  57.21320023 108.24830763 119.81811137 156.99603756
 161.50035454 102.90710402  97.89376217 192.51865188  69.66000692
 149.67391372  54.17156275  52.10096827 172.63283454 193.83373222
 135.71194815 115.94290297 100.27368174  69.30222993 146.69404707
 155.59107483  89.83841355  75.15218271 169.17665754  90.00096371
  50.18677715 146.1957245   55.31356555 166.75868251 112.11393086
  61.70128752 156.40975705 195.93876552 188.19168465 190.18068592]"|"[168.85769043 163.52919163 156.05610066  92.83791746  80.01459627
  98.01848859 121.95047345 105.91529033 106.49396662  79.02635743
 116.91435735 108.05249793 133.97919755 195.0418248   61.81692415
 107.33132446 102.81126328  70.4618584  185.92848676  64.99355064
  66.8741506  196.29028699 193.49401838  81.82440867  85.9790158
  96.5424565  129.75673619 123.64356953 103.43744632 137.81237581
 113.01996997  55.49514708  77.46190993  93.53163345 143.37029613
  84.12213952  92.01356382  96.46677163 136.77065294  62.8299757
  56.07424865  97.73924541 160.81458296 113.69402773 163.79564751
  53.30550486 135.04616039 168.21691765 190.83963387 197.48493225
  78.30908157 152.41225916 167.47235624  76.54001833 173.16956927
  90.6214699  180.14685619  91.55430091 196.20009201  82.54912409
 106.76953414  83.17372366  87.78386188  90.60117228 119.38277321
 119.37635868 175.09652062 106.19034693 112.51395    172.24239255
  74.63039534 100.46457073 178.24065246 101.68697692 141.43427614]"|[170.7133946]|[11.45835106]
2|"[118.29698955  63.97606042 181.22276848  64.52489459 123.61092856
 100.01214243 103.69254624 138.82577121  99.4907617   85.12727401
  68.93540095 187.91900645  98.12058646  88.95714137 145.63713714
  94.68728851 194.8417883  157.78951857 163.39926148 104.99711516
 163.1503959  126.28362785 136.50698298  70.17372476 129.32009908
  69.97095129  94.85152263 181.04635173 114.5298504   70.78309328
 146.05798514  55.9446494   97.73977042 175.50555285 156.09598472
 116.75678087  62.29145947  92.61508882 167.66504672  94.09300903
 192.9235825   57.21320023 108.24830763 119.81811137 156.99603756
 161.25692578 102.90710402  97.89376217 192.51865188  69.66000692
 149.67391372  54.17156275  52.10096827 172.63283454 194.66604818
 135.71194815 115.94290297 100.27368174  69.30222993 146.69404707
 155.59107483  89.83841355  75.15218271 169.17665754  90.00096371
  50.18677715 146.1957245   55.31356555 166.75868251 112.11393086
  61.70128752 156.40975705 195.93876552 188.19168465 190.18068592]"|"[168.85769043 163.52919163 156.05610066  92.83791746  80.01459627
  98.01848859 121.95047345 105.91529033 106.49396662  79.02635743
 116.91435735 108.05249793 133.97919755 195.0418248   62.81314514
 107.33132446 102.81126328  71.41183272 185.92848676  64.99355064
  67.82651451 196.29028699 193.49401838  81.82440867  85.9790158
  96.5424565  129.75673619 123.64356953 103.43744632 137.81237581
 113.01996997  55.49514708  77.46190993  93.53163345 143.37029613
  84.12213952  92.01356382  97.08058009 136.77065294  62.8299757
  56.88906147  97.73924541 160.81458296 113.69402773 163.79564751
  54.27542364 135.04616039 168.21691765 190.83963387 197.48493225
  78.30908157 152.41225916 167.47235624  76.54001833 172.61526778
  90.6214699  180.14685619  91.55430091 196.20009201  82.54912409
 106.76953414  83.17372366  87.78386188  90.60117228 119.38277321
 119.37635868 175.09652062 106.19034693 112.51395    172.24239255
  74.63039534 100.46457073 178.24065246 101.68697692 141.43427614]"|[171.07578081]|[12.91391838]
3|"[118.29698955  63.97606042 181.22276848  64.52489459 123.61092856
 100.01214243 103.69254624 138.82577121  99.4907617   85.12727401
  68.93540095 187.27902382  98.12058646  88.95714137 145.41965721
  94.68728851 194.8417883  157.46440478 163.39926148 105.95877884
 162.80253765 126.39224229 136.50698298  70.17372476 129.32009908
  69.97095129  94.85152263 181.04635173 114.5298504   69.80191368
 146.05798514  55.9446494   97.73977042 175.50555285 156.09598472
 116.75678087  62.29145947  92.61508882 167.66504672  94.09300903
 192.59100363  57.21320023 108.24830763 119.81811137 156.99603756
 161.2308261  102.90710402  97.89376217 192.51865188  69.66000692
 149.67391372  54.17156275  52.10096827 172.21661206 194.66604818
 135.71194815 115.94290297 100.27368174  69.30222993 146.69404707
 155.59107483  89.83841355  75.15218271 169.17665754  90.00096371
  50.18677715 146.1957245   55.31356555 166.75868251 112.11393086
  61.70128752 155.684822   195.93876552 188.19168465 190.18068592]"|"[168.85769043 163.52919163 156.05610066  92.83791746  80.01459627
  98.01848859 121.95047345 105.91529033 106.49396662  79.02635743
 116.91435735 107.28410856 133.97919755 195.0418248   63.78920994
 107.33132446 102.81126328  72.35750762 185.92848676  65.26778223
  68.76406165 195.29620304 193.49401838  81.82440867  85.9790158
  96.5424565  129.75673619 123.64356953 103.43744632 138.00547321
 113.01996997  55.49514708  77.46190993  93.53163345 143.37029613
  84.12213952  92.01356382  97.08058009 136.77065294  62.8299757
  57.83213691  97.73924541 160.81458296 113.69402773 163.79564751
  55.27508298 135.04616039 168.21691765 190.83963387 197.48493225
  78.30908157 152.41225916 167.47235624  77.44928114 172.61526778
  90.6214699  180.14685619  91.55430091 196.20009201  82.54912409
 106.76953414  83.17372366  87.78386188  90.60117228 119.38277321
 119.37635868 175.09652062 106.19034693 112.51395    172.24239255
  74.63039534 101.15338796 178.24065246 101.68697692 141.43427614]"|[171.33987221]|[14.39048729]
4|"[118.29698955  63.97606042 181.22276848  64.52489459 123.61092856
 100.01214243 103.69254624 138.82577121  99.4907617   85.12727401
  68.93540095 187.27902382  98.12058646  88.95714137 145.07028232
  94.68728851 194.8417883  157.19387915 163.39926148 105.95877884
 162.39708548 126.39224229 136.50698298  70.17372476 129.32009908
  69.97095129  94.85152263 181.04635173 114.5298504   69.80191368
 146.05798514  55.9446494   97.73977042 175.50555285 156.09598472
 116.75678087  62.29145947  92.61508882 167.66504672  94.09300903
 192.20543506  57.21320023 108.24830763 119.81811137 156.99603756
 161.21384234 102.90710402  97.89376217 192.51865188  69.66000692
 149.67391372  54.17156275  52.10096827 171.82237989 194.66604818
 135.71194815 115.94290297 100.40787436  69.30222993 146.69404707
 155.59107483  89.83841355  75.15218271 169.17665754  90.00096371
  50.18677715 146.1957245   55.31356555 166.75868251 112.11393086
  61.70128752 155.684822   195.93876552 188.19168465 190.18068592]"|"[168.85769043 163.52919163 156.05610066  92.83791746  80.01459627
  98.01848859 121.95047345 105.91529033 106.49396662  79.02635743
 116.91435735 107.28410856 133.97919755 195.0418248   64.72619296
 107.33132446 102.81126328  73.32022039 185.92848676  65.26778223
  69.67817791 195.29620304 193.49401838  81.82440867  85.9790158
  96.5424565  129.75673619 123.64356953 103.43744632 138.00547321
 113.01996997  55.49514708  77.46190993  93.53163345 143.37029613
  84.12213952  92.01356382  97.08058009 136.77065294  62.8299757
  58.7548161   97.73924541 160.81458296 113.69402773 163.79564751
  56.27493875 135.04616039 168.21691765 190.83963387 197.48493225
  78.30908157 152.41225916 167.47235624  78.36829202 172.61526778
  90.6214699  180.14685619  90.56334564 196.20009201  82.54912409
 106.76953414  83.17372366  87.78386188  90.60117228 119.38277321
 119.37635868 175.09652062 106.19034693 112.51395    172.24239255
  74.63039534 101.15338796 178.24065246 101.68697692 141.43427614]"|[171.5611105]|[15.87408212]
5|"[118.29698955  63.97606042 181.22276848  64.52489459 123.61092856
 100.01214243 103.69254624 138.82577121  99.4907617   85.12727401
  68.93540095 187.27902382  98.12058646  88.95714137 144.80374885
  94.141543   194.8417883  156.84038676 163.39926148 106.61773406
 162.19952968 126.39224229 136.50698298  70.17372476 129.32009908
  69.97095129  94.85152263 181.04635173 114.5298504   69.80191368
 146.05798514  55.9446494   97.73977042 175.50555285 156.09598472
 116.75678087  62.29145947  92.61508882 167.66504672  94.09300903
 191.7913307   57.21320023 108.24830763 119.81811137 156.99603756
 161.03993988 102.90710402  97.89376217 192.51865188  69.66000692
 149.67391372  54.17156275  52.10096827 171.50931342 194.66604818
 135.71194815 115.94290297  99.59156686  69.30222993 146.69404707
 156.58197138  89.83841355  75.15218271 169.17665754  90.00096371
  50.18677715 146.1957245   55.31356555 166.75868251 112.11393086
  61.70128752 155.684822   195.93876552 188.19168465 190.18068592]"|"[168.85769043 163.52919163 156.05610066  92.83791746  80.01459627
  98.01848859 121.95047345 105.91529033 106.49396662  79.02635743
 116.91435735 107.28410856 133.97919755 195.0418248   65.69001862
 106.49337348 102.81126328  74.25565779 185.92848676  66.0199644
  70.65846956 195.29620304 193.49401838  81.82440867  85.9790158
  96.5424565  129.75673619 123.64356953 103.43744632 138.00547321
 113.01996997  55.49514708  77.46190993  93.53163345 143.37029613
  84.12213952  92.01356382  97.08058009 136.77065294  62.8299757
  59.66504551  97.73924541 160.81458296 113.69402773 163.79564751
  57.25970163 135.04616039 168.21691765 190.83963387 197.48493225
  78.30908157 152.41225916 167.47235624  79.31802324 172.61526778
  90.6214699  180.14685619  91.14096321 196.20009201  82.54912409
 106.90415963  83.17372366  87.78386188  90.60117228 119.38277321
 119.37635868 175.09652062 106.19034693 112.51395    172.24239255
  74.63039534 101.15338796 178.24065246 101.68697692 141.43427614]"|[171.76377425]|[17.3603282]
6|"[118.29698955  63.97606042 181.22276848  64.52489459 123.61092856
 100.01214243 103.69254624 139.11703483  99.4907617   85.12727401
  68.93540095 187.27902382  98.12058646  88.95714137 144.46276544
  94.141543   194.8417883  156.67021329 163.29518647 106.61773406
 161.74945794 126.39224229 136.50698298  70.17372476 129.32009908
  69.97095129  94.85152263 181.04635173 114.5298504   69.80191368
 146.05798514  55.9446494   97.73977042 175.50555285 156.09598472
 116.75678087  62.29145947  92.61508882 167.66504672  94.09300903
 191.46182238  57.21320023 108.24830763 119.81811137 156.99603756
 160.85745824 102.90710402  97.89376217 192.51865188  69.66000692
 149.52215345  54.17156275  52.10096827 171.2783432  194.66604818
 135.71194815 115.94290297  99.59156686  69.30222993 146.69404707
 156.58197138  89.83841355  75.15218271 169.17665754  90.00096371
  50.18677715 146.1957245   55.31356555 166.75868251 112.11393086
  61.70128752 155.684822   195.93876552 188.19168465 190.18068592]"|"[168.85769043 163.52919163 156.05610066  92.83791746  80.01459627
  98.01848859 121.95047345 106.87193316 106.49396662  79.02635743
 116.91435735 107.28410856 133.97919755 195.0418248   66.63008794
 106.49337348 102.81126328  75.24107192 186.92305621  66.0199644
  71.55146196 195.29620304 193.49401838  81.82440867  85.9790158
  96.5424565  129.75673619 123.64356953 103.43744632 138.00547321
 113.01996997  55.49514708  77.46190993  93.53163345 143.37029613
  84.12213952  92.01356382  97.08058009 136.77065294  62.8299757
  60.60919818  97.73924541 160.81458296 113.69402773 163.79564751
  58.24291089 135.04616039 168.21691765 190.83963387 197.48493225
  79.2974989  152.41225916 167.47235624  80.29098405 172.61526778
  90.6214699  180.14685619  91.14096321 196.20009201  82.54912409
 106.90415963  83.17372366  87.78386188  90.60117228 119.38277321
 119.37635868 175.09652062 106.19034693 112.51395    172.24239255
  74.63039534 101.15338796 178.24065246 101.68697692 141.43427614]"|[171.95840533]|[18.84764751]
7|"[118.29698955  63.97606042 181.22276848  64.52489459 123.61092856
 100.01214243 103.69254624 139.11703483  98.53865169  85.12727401
  68.93540095 187.27902382  98.12058646  88.95714137 144.31164654
  94.141543   194.8417883  156.46068703 163.29518647 106.61773406
 161.26599673 126.39224229 136.50698298  70.17372476 129.32009908
  69.97095129  94.85152263 181.04635173 114.5298504   69.80191368
 146.05798514  55.9446494   97.73977042 175.50555285 156.09598472
 116.75678087  62.29145947  92.61508882 167.66504672  94.09300903
 191.03249588  57.21320023 108.24830763 119.81811137 156.99603756
 160.71021505 102.90710402  97.89376217 192.51865188  69.66000692
 149.51142119  54.17156275  52.10096827 170.99979232 194.66604818
 135.71194815 115.94290297  99.59156686  69.30222993 146.69404707
 156.58197138  89.83841355  75.15218271 169.62587763  90.00096371
  50.18677715 146.1957245   55.31356555 166.75868251 112.11393086
  61.70128752 155.684822   195.93876552 188.19168465 190.18068592]"|"[168.85769043 163.52919163 156.05610066  92.83791746  80.01459627
  98.01848859 121.95047345 106.87193316 106.79972229  79.02635743
 116.91435735 107.28410856 133.97919755 195.0418248   67.61860353
 106.49337348 102.81126328  76.21887494 186.92305621  66.0199644
  72.42682774 195.29620304 193.49401838  81.82440867  85.9790158
  96.5424565  129.75673619 123.64356953 103.43744632 138.00547321
 113.01996997  55.49514708  77.46190993  93.53163345 143.37029613
  84.12213952  92.01356382  97.08058009 136.77065294  62.8299757
  61.51234753  97.73924541 160.81458296 113.69402773 163.79564751
  59.23201121 135.04616039 168.21691765 190.83963387 197.48493225
  80.29744131 152.41225916 167.47235624  81.25140553 172.61526778
  90.6214699  180.14685619  91.14096321 196.20009201  82.54912409
 106.90415963  83.17372366  87.78386188  91.49459341 119.38277321
 119.37635868 175.09652062 106.19034693 112.51395    172.24239255
  74.63039534 101.15338796 178.24065246 101.68697692 141.43427614]"|[172.1495699]|[20.33541635]
8|"[118.29698955  63.97606042 181.22276848  64.52489459 123.61092856
 100.01214243 103.69254624 139.11703483  98.53865169  85.12727401
  68.93540095 187.27902382  98.12058646  88.95714137 144.07972643
  94.141543   194.8417883  156.14931379 163.29518647 106.61773406
 161.00019025 126.39224229 136.50698298  70.17372476 129.32009908
  69.97095129  94.85152263 181.04635173 114.5298504   69.80191368
 146.05798514  55.9446494   97.73977042 175.50555285 156.09598472
 116.75678087  62.29145947  92.61508882 167.66504672  94.09300903
 190.76302291  57.21320023 108.24830763 119.81811137 156.99603756
 160.52555366 102.90710402  98.44142122 192.51865188  69.66000692
 149.31155114  54.17156275  52.10096827 170.76294319 194.66604818
 135.71194815 116.68285514  99.59156686  68.30274779 146.69404707
 156.58197138  90.73110025  75.15218271 169.62587763  90.00096371
  50.18677715 146.1957245   55.31356555 167.6061468  112.11393086
  61.70128752 155.684822   195.93876552 188.19168465 189.44730576]"|"[168.85769043 163.52919163 156.05610066  92.83791746  80.01459627
  98.01848859 121.95047345 106.87193316 106.79972229  79.02635743
 116.91435735 107.28410856 133.97919755 195.0418248   68.59133837
 106.49337348 102.81126328  77.16916263 186.92305621  66.0199644
  73.39085415 195.29620304 193.49401838  81.82440867  85.9790158
  96.5424565  129.75673619 123.64356953 103.43744632 138.00547321
 113.01996997  55.49514708  77.46190993  93.53163345 143.37029613
  84.12213952  92.01356382  97.08058009 136.77065294  62.8299757
  62.47535549  97.73924541 160.81458296 113.69402773 163.79564751
  60.21481342 135.04616039 167.38021605 190.83963387 197.48493225
  81.27726373 152.41225916 167.47235624  82.22295197 172.61526778
  90.6214699  180.81951568  91.14096321 196.16791364  82.54912409
 106.90415963  82.72304588  87.78386188  91.49459341 119.38277321
 119.37635868 175.09652062 106.19034693 113.04480241 172.24239255
  74.63039534 101.15338796 178.24065246 101.68697692 140.75445738]"|[172.33924291]|[21.82337607]
9|"[118.29698955  63.97606042 181.22276848  64.52489459 122.97782699
 100.01214243 103.69254624 139.11703483  98.53865169  85.12727401
  68.93540095 187.27902382  98.12058646  88.95714137 143.94441457
  93.82777603 194.8417883  155.96416689 163.29518647 106.61773406
 160.65837444 126.39224229 136.50698298  70.17372476 129.32009908
  69.97095129  94.85152263 181.04635173 114.5298504   69.80191368
 146.05798514  55.9446494   97.73977042 175.50555285 156.09598472
 116.75678087  62.29145947  92.61508882 167.66504672  94.09300903
 190.41315922  57.21320023 108.24830763 119.81811137 156.99603756
 160.46288918 102.90710402  98.60691778 192.51865188  69.66000692
 149.22502369  54.17156275  52.10096827 170.31140152 194.66604818
 135.71194815 116.68285514  99.59156686  68.12179227 146.69404707
 156.58197138  90.73110025  76.14473685 169.62587763  90.00096371
  50.18677715 146.1957245   55.31356555 167.6061468  112.11393086
  61.70128752 155.684822   195.93876552 188.19168465 189.44730576]"|"[168.85769043 163.52919163 156.05610066  92.83791746  79.24052754
  98.01848859 121.95047345 106.87193316 106.79972229  79.02635743
 116.91435735 107.28410856 133.97919755 195.0418248   69.58214143
 105.54387346 102.81126328  78.15187349 186.92305621  66.0199644
  74.33062112 195.29620304 193.49401838  81.82440867  85.9790158
  96.5424565  129.75673619 123.64356953 103.43744632 138.00547321
 113.01996997  55.49514708  77.46190993  93.53163345 143.37029613
  84.12213952  92.01356382  97.08058009 136.77065294  62.8299757
  63.41215611  97.73924541 160.81458296 113.69402773 163.79564751
  61.21284807 135.04616039 166.39400568 190.83963387 197.48493225
  82.27351319 152.41225916 167.47235624  83.115202   172.61526778
  90.6214699  180.81951568  91.14096321 197.15140492  82.54912409
 106.90415963  82.72304588  87.66205757  91.49459341 119.38277321
 119.37635868 175.09652062 106.19034693 113.04480241 172.24239255
  74.63039534 101.15338796 178.24065246 101.68697692 140.75445738]"|[172.52827568]|[23.31141727]
