,flock_gcm,avg_sheep_dist_from_gcm,furthest_sheep_from_gcm
0,"[117.05433980889998, 128.1923348985]",60.14666073325429,98.95412013801088
1,"[117.02512669819998, 128.2353145778]",60.14851762545161,99.00541087322634
2,"[117.01226201290001, 128.2786778533]",60.11851713762372,98.11620354456025
3,"[117.00267525989999, 128.3139574781]",60.10614750380296,97.17628018510884
4,"[116.9886513167, 128.3414103708]",60.0628478253378,96.21040574470165
5,"[116.98473848790003, 128.3705735981]",60.04850254940005,95.23476759682457
6,"[116.97932150600003, 128.4014600205]",60.01206832648225,94.76634247870044
7,"[116.97204771700002, 128.4529421793]",59.94944800248174,94.73404510697188
8,"[116.92041362240005, 128.520935501]",59.92782560712637,94.72040443342696
9,"[116.90788385110005, 128.5784922254]",59.913791008422685,94.68739289323945
10,"[116.8557738330001, 128.68612182500001]",59.83827608680579,94.64554752226138
11,"[116.80998431770006, 128.77277694820003]",59.74149206389691,94.61460587336583
12,"[116.76163334270004, 128.8916418347]",59.64712153404552,94.56229607845476
13,"[116.73589281110004, 129.03102750780002]",59.58512355070803,94.47966666408787
14,"[116.67862483300007, 129.18167777290006]",59.48382460395297,94.41097149337013
15,"[116.61343453440006, 129.3164119625]",59.363763077882815,94.35944569027508
16,"[116.55301718370004, 129.44878726890005]",59.28212281897632,94.08321940259518
17,"[116.50811024020004, 129.57985849620005]",59.21277780943853,94.18965719327578
18,"[116.42446014720002, 129.70342507350009]",59.140242023705376,93.94470338376391
19,"[116.370752525, 129.83383024710008]",59.03496394449394,93.89037825004486
20,"[116.28206579960002, 129.97424832670004]",58.945363804708784,93.85393652025722
21,"[116.23039933760003, 130.07309826590006]",58.86548990581783,93.82081567282144
22,"[116.17960453040007, 130.15552891840005]",58.79325728893741,93.7987616067166
23,"[116.13666627680006, 130.26756464420004]",58.69418122821184,93.75038928172697
24,"[116.0845457473, 130.41870372650004]",58.59091789072753,93.86427324642182
25,"[116.00153397830003, 130.55748226390003]",58.51253817109915,93.84170632924013
26,"[115.95136843350001, 130.68809617400004]",58.446577324554866,93.7989160894585
27,"[115.89573271999998, 130.8155202799]",58.36883097601163,93.76257867429617
28,"[115.84836088509998, 130.9278106731]",58.27724985156562,93.72942227217412
29,"[115.75661039020001, 131.0495454047]",58.21723038981568,93.72523903642737
30,"[115.689417159, 131.2068195253]",58.12624607418804,93.67997551357973
31,"[115.65333179280003, 131.34642096489998]",58.05025370622609,93.62156569421194
32,"[115.62354926609999, 131.49127240259998]",57.959969340633876,93.54315899197105
33,"[115.58388513700001, 131.61416941430002]",57.879807413869464,93.49955928144999
34,"[115.54736339760001, 131.75344212279998]",57.807113142940935,93.44365503278804
35,"[115.5361836731, 131.91212487159999]",57.693519607471956,93.35601803971589
36,"[115.506821441, 132.04151396410003]",57.58794686615303,93.30079413709895
37,"[115.45349337880002, 132.16402976590004]",57.48017603978968,93.26896069862698
38,"[115.413886068, 132.3268421397]",57.3727348705007,93.20202473219517
39,"[115.39582701929997, 132.48264911940004]",57.27687918325922,93.12237542308709
40,"[115.35086869509996, 132.6550808564]",57.10600016392687,93.0544024314621
41,"[115.31446820359997, 132.8403132093]",56.94056574133061,92.97219342433623
42,"[115.26103579299998, 132.99035697860006]",56.79152026158599,92.8897409936192
43,"[115.23254714039999, 133.17071637179998]",56.64433123547362,92.80643181798463
44,"[115.1851913488, 133.3235206499]",56.504422268741294,92.75486265617245
45,"[115.13804808609996, 133.5168364943]",56.367108346233245,92.67962869300216
46,"[115.09854643310001, 133.739175123]",56.21876280300355,92.58160489410115
47,"[115.07091370129996, 133.95469720709997]",56.06471972550902,92.47834946460723
48,"[115.00284681159994, 134.1304331099]",55.89529328304879,92.43151233686132
49,"[114.92259407310002, 134.30173039740004]",55.70295364152756,91.82649144098635
50,"[114.83132976749998, 134.48943728469996]",55.52463512294301,91.79057694001037
51,"[114.75891670369997, 134.64526387709998]",55.36477232955952,91.75838988789428
52,"[114.66328966139997, 134.8519949978]",55.16147683705483,91.71580826369107
53,"[114.53871113789995, 135.02332955819995]",54.95413898356335,91.71787488953193
54,"[114.38222608859998, 135.20616076439995]",54.76250523871262,91.73984925988117
55,"[114.26560167779995, 135.4106774989]",54.592207505812766,91.71736809504354
56,"[114.13382111419997, 135.5894084296]",54.42254103779676,91.72268197329855
57,"[114.01537114879997, 135.77799517560004]",54.24539652740296,91.71196167257983
58,"[113.9212030175, 135.98020899030004]",54.10196197875312,91.67405945255179
59,"[113.87759601779999, 136.17877844219998]",53.9308174429981,91.59711169783165
60,"[113.79733049239998, 136.352269536]",53.79256486367155,91.56496671322736
61,"[113.73245529469997, 136.59376348310002]",53.678173586698776,91.48216062665905
62,"[113.6587453253, 136.8346045749]",53.549834325965975,91.40764134391307
63,"[113.62190414789998, 137.0657775082]",53.44471791353797,92.19853527681178
64,"[113.5767036708, 137.25753096670002]",53.31746656883723,92.12799197099261
65,"[113.5167587172, 137.46108350299997]",53.18911345523733,92.06342051021218
66,"[113.47415138440002, 137.6870601103]",53.06939458261445,91.97239051511313
67,"[113.40798744980003, 137.9244478153]",52.9468502879171,91.8950761103067
68,"[113.36442722160004, 138.1543109232]",52.849358401122466,91.8037097485528
69,"[113.28694278750002, 138.35164358180006]",52.76064299610023,91.75909561978911
70,"[113.22262109110002, 138.57015009019995]",52.67386531970675,91.6923071886181
71,"[113.19472807550002, 138.7435880179]",52.595530558011845,91.62029977665499
72,"[113.13502039820006, 138.96019973020003]",52.51607528523947,91.5515834170924
73,"[113.07329852370002, 139.1524734445]",52.480701857614946,91.49831991506677
74,"[112.98430558839996, 139.36456742360005]",52.41853322811696,91.45760406165445
