|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[133.44086238 148.80338536 153.28207271  64.47151021 147.63626932
 113.93320955 120.95383152  73.84367272 136.91979714 164.49676796
 109.03410983  98.27606612 158.99171453 111.56124369 130.62480436
 189.15977366 143.41201855  86.2650583  195.96617115 172.47429978
  63.34577307 153.20342924 154.778674    86.26134539 106.39627126
  61.78540795 149.41869639 113.92984093 101.0157223  130.01252422
 194.73242272 197.78795251 145.64494073  56.54668725  58.13240693
 100.96892936 146.88022345 144.50005005  61.57000703 114.30240629
 137.77139518 188.0582962   52.26628167  52.15302274 164.16702748
 105.70792098 104.92517847 156.13276625 123.00719198  99.82970174
  92.91827503 116.69807078  98.48745803 113.58097553  95.27044271
 117.77724717 139.98359385 158.58822411 122.21286968 168.61649144
 159.90584592 157.07794456 199.29928347 138.24434987  54.01473208
 144.03439517 187.94838457 150.87882458 164.88655793 173.34381287
 178.23009395 174.79482667  99.03369294  84.64348679 131.21751185
  92.84370929 117.96349714 104.56505047  56.73317486 155.79537962
 191.36601735 147.1579666  188.60613422 182.5270802   84.70073732
 154.8451802  110.13121152 174.9701209  181.51001257 198.30741809
 127.58098636 167.22558394 183.9353745  190.13552769  72.17067909
  53.81167975 145.5603263   55.6216087  169.34146024 101.97649123]"|"[ 92.63320384 194.62611552 184.31367562 188.38072504  97.42153849
 100.16111843  92.96583946 112.33562321  65.88489974 193.34960697
 187.08157717  96.3316471  103.67992343 141.61455667  74.65642583
 103.42574218 119.39795042 186.1508542   99.17416193  70.42719794
  93.39523782 126.01033363  85.09385505  79.99094471 136.88169528
  71.42920554 139.70448614 129.29650237 190.46382246 194.09301794
 104.50074213 191.88596263  71.6757012  125.93756983 120.98119044
 109.93964098  79.09905714 159.76365098  62.81598117  50.04771584
 185.24552013 143.78094824 186.36646629 188.11374891 105.96447931
  95.1183003   56.71405841 117.22910271 166.82517121 110.86041346
  81.45388024 174.71936538  53.37132774  84.5047243  108.5300268
 147.95728389 128.59355217 165.16433938 119.20609848  61.51098972
  81.32880997 153.977328   183.24348701 125.7272335   70.64092737
  75.77187492 180.6890656  145.51053869 173.22791007 129.71834832
  81.7623713  113.82536102  99.89584281 176.07525396 148.74908728
  80.59312517  84.67732918 143.94416478  60.86095441  97.51947168
 110.69175125 128.37845048  81.88579374 148.53487162 101.58696458
 173.34872102  87.88950725 119.79471656  63.49051604 103.76908374
  84.96602464 180.71431649  69.0903558  136.61154226 111.90464976
 129.67544554 118.41066967 144.8927583  110.13964241 196.52340783]"|[169.55584141 118.99218753  72.6775249 ]|[14.81592868 13.39873273 13.38513515]
1|"[134.23147176 148.80338536 153.28207271  64.47151021 147.63626932
 113.93320955 120.95383152  73.84367272 136.91979714 164.49676796
 109.03410983  98.27606612 158.99171453 111.56124369 130.62480436
 189.15977366 143.41201855  86.2650583  195.96617115 172.47429978
  63.34577307 153.20342924 154.778674    86.26134539 106.39627126
  61.78540795 149.41869639 113.92984093 101.0157223  130.01252422
 194.73242272 197.78795251 145.64494073  56.54668725  58.13240693
 100.96892936 146.88022345 144.50005005  61.57000703 113.78238358
 137.77139518 188.0582962   52.26628167  52.15302274 164.16702748
 105.70792098 104.92517847 156.13276625 123.00719198  99.82970174
  92.91827503 116.69807078  98.26390328 113.58097553  95.27044271
 117.77724717 139.98359385 159.06367286 122.21286968 169.13404994
 159.90584592 157.07794456 199.29928347 139.23486449  54.01473208
 144.03439517 187.94838457 150.87882458 164.88655793 173.34381287
 179.08831082 174.79482667  99.03369294  84.64348679 131.21751185
  92.84370929 117.96349714 104.56505047  56.73317486 155.79537962
 191.36601735 147.1579666  188.13114216 182.5270802   84.70073732
 154.8451802  110.13121152 174.9701209  181.51001257 198.30741809
 126.83166999 167.22558394 183.60637339 190.13552769  72.17067909
  53.81167975 145.5603263   55.6216087  169.34146024 101.97649123]"|"[ 93.24552468 194.62611552 184.31367562 188.38072504  97.42153849
 100.16111843  92.96583946 112.33562321  65.88489974 193.34960697
 187.08157717  96.3316471  103.67992343 141.61455667  74.65642583
 103.42574218 119.39795042 186.1508542   99.17416193  70.42719794
  93.39523782 126.01033363  85.09385505  79.99094471 136.88169528
  71.42920554 139.70448614 129.29650237 190.46382246 194.09301794
 104.50074213 191.88596263  71.6757012  125.93756983 120.98119044
 109.93964098  79.09905714 159.76365098  62.81598117  50.90186827
 185.24552013 143.78094824 186.36646629 188.11374891 105.96447931
  95.1183003   56.71405841 117.22910271 166.82517121 110.86041346
  81.45388024 174.71936538  54.34601911  84.5047243  108.5300268
 147.95728389 128.59355217 166.0440828  119.20609848  60.65534189
  81.32880997 153.977328   183.24348701 125.86464087  70.64092737
  75.77187492 180.6890656  145.51053869 173.22791007 129.71834832
  81.24908405 113.82536102  99.89584281 176.07525396 148.74908728
  80.59312517  84.67732918 143.94416478  60.86095441  97.51947168
 110.69175125 128.37845048  81.00580366 148.53487162 101.58696458
 173.34872102  87.88950725 119.79471656  63.49051604 103.76908374
  84.30381245 180.71431649  68.14602627 136.61154226 111.90464976
 129.67544554 118.41066967 144.8927583  110.13964241 196.52340783]"|[170.34501169 119.02107529  73.06113533]|[16.09155019 14.89845454 14.83525344]
2|"[134.23147176 148.80338536 153.28207271  64.47151021 147.63626932
 113.93320955 120.95383152  72.85095544 136.91979714 164.49676796
 109.03410983  99.27088167 158.99171453 111.56124369 130.53614214
 189.15977366 143.41201855  86.2650583  195.96617115 172.47429978
  64.3310377  153.20342924 154.778674    86.26134539 106.39627126
  61.78540795 149.41869639 113.92984093 101.0157223  130.01252422
 194.73242272 197.78795251 145.64494073  56.54668725  58.13240693
 100.96892936 146.88022345 144.50005005  61.57000703 113.10223481
 137.77139518 188.0582962   52.26628167  52.15302274 164.16702748
 105.70792098 105.68070465 156.13276625 123.00719198  99.82970174
  92.91827503 116.69807078  98.79315135 113.58097553  95.27044271
 117.77724717 139.98359385 159.06367286 122.21286968 169.71968686
 159.90584592 157.07794456 199.29928347 140.06339105  54.01473208
 144.03439517 187.94838457 150.87882458 164.88655793 173.34381287
 179.08831082 174.79482667  99.03369294  84.64348679 131.84364302
  92.84370929 117.96349714 104.56505047  56.73317486 155.79537962
 191.36601735 147.1579666  189.11374197 182.5270802   84.70073732
 154.8451802  110.67302571 174.9701209  181.51001257 198.30741809
 126.83166999 167.22558394 183.60637339 190.13552769  72.17067909
  52.8128738  145.5603263   55.6216087  169.34146024 101.97649123]"|"[ 93.24552468 194.62611552 184.31367562 188.38072504  97.42153849
 100.16111843  92.96583946 112.45609063  65.88489974 193.34960697
 187.08157717  96.22995141 103.67992343 141.61455667  73.66036407
 103.42574218 119.39795042 186.1508542   99.17416193  70.42719794
  93.56627469 126.01033363  85.09385505  79.99094471 136.88169528
  71.42920554 139.70448614 129.29650237 190.46382246 194.09301794
 104.50074213 191.88596263  71.6757012  125.93756983 120.98119044
 109.93964098  79.09905714 159.76365098  62.81598117  51.63494239
 185.24552013 143.78094824 186.36646629 188.11374891 105.96447931
  95.1183003   57.36917688 117.22910271 166.82517121 110.86041346
  81.45388024 174.71936538  55.19448625  84.5047243  108.5300268
 147.95728389 128.59355217 166.0440828  119.20609848  61.46591539
  81.32880997 153.977328   183.24348701 125.3046911   70.64092737
  75.77187492 180.6890656  145.51053869 173.22791007 129.71834832
  81.24908405 113.82536102  99.89584281 176.07525396 149.52880503
  80.59312517  84.67732918 143.94416478  60.86095441  97.51947168
 110.69175125 128.37845048  81.19153898 148.53487162 101.58696458
 173.34872102  88.73000554 119.79471656  63.49051604 103.76908374
  84.30381245 180.71431649  68.14602627 136.61154226 111.90464976
 129.62659191 118.41066967 144.8927583  110.13964241 196.52340783]"|[171.09751207 118.63703295  72.7525158 ]|[17.38914149 16.34845849 16.30316147]
3|"[134.23147176 148.80338536 153.28207271  64.47151021 148.11880716
 113.93320955 120.95383152  72.85095544 136.91979714 164.49676796
 109.03410983  99.27088167 159.50272184 111.56124369 130.53614214
 189.15977366 143.41201855  86.2650583  195.96617115 172.47429978
  64.3310377  153.20342924 154.778674    86.26134539 106.39627126
  61.78540795 149.41869639 113.92984093 101.03358181 130.01252422
 194.73242272 198.39750995 145.64494073  56.54668725  58.13240693
 100.96892936 146.88022345 144.50005005  60.64855805 112.5242577
 137.77139518 188.0582962   52.26628167  52.15302274 164.16702748
 105.76307841 105.31817676 156.13276625 123.00719198  99.82970174
  92.91827503 116.69807078  99.35958362 113.58097553  95.27044271
 117.77724717 139.98359385 159.06367286 122.21286968 170.11181359
 159.90584592 157.07794456 199.29928347 140.06339105  54.01473208
 144.03439517 187.94838457 150.87882458 164.88655793 173.34381287
 179.08831082 174.79482667  99.03369294  84.64348679 131.84364302
  92.84370929 117.96349714 104.56505047  56.73317486 155.79537962
 191.36601735 147.1579666  189.11374197 182.5270802   84.70073732
 154.8451802  110.67302571 174.9701209  181.51001257 198.30741809
 126.83166999 167.22558394 183.60637339 190.13552769  72.17067909
  52.8128738  145.5603263   54.74820792 169.34146024 101.97649123]"|"[ 93.24552468 194.62611552 184.31367562 188.38072504  96.54566336
 100.16111843  92.96583946 112.45609063  65.88489974 193.34960697
 187.08157717  96.22995141 104.53949979 141.61455667  73.66036407
 103.42574218 119.39795042 186.1508542   99.17416193  70.42719794
  93.56627469 126.01033363  85.09385505  79.99094471 136.88169528
  71.42920554 139.70448614 129.29650237 191.46366296 194.09301794
 104.50074213 191.09322072  71.6757012  125.93756983 120.98119044
 109.93964098  79.09905714 159.76365098  62.42748178  52.45099536
 185.24552013 143.78094824 186.36646629 188.11374891 105.96447931
  94.11982263  58.3011498  117.22910271 166.82517121 110.86041346
  81.45388024 174.71936538  56.01859454  84.5047243  108.5300268
 147.95728389 128.59355217 166.0440828  119.20609848  62.3858266
  81.32880997 153.977328   183.24348701 125.3046911   70.64092737
  75.77187492 180.6890656  145.51053869 173.22791007 129.71834832
  81.24908405 113.82536102  99.89584281 176.07525396 149.52880503
  80.59312517  84.67732918 143.94416478  60.86095441  97.51947168
 110.69175125 128.37845048  81.19153898 148.53487162 101.58696458
 173.34872102  88.73000554 119.79471656  63.49051604 103.76908374
  84.30381245 180.71431649  68.14602627 136.61154226 111.90464976
 129.62659191 118.41066967 145.37976043 110.13964241 196.52340783]"|[171.83444139 118.10284781  72.18224416]|[18.69563879 17.75011688 17.69052957]
4|"[134.23147176 148.80338536 153.28207271  64.47151021 148.11880716
 113.93320955 120.95383152  72.85095544 136.91979714 164.49676796
 109.03410983  99.27088167 159.86089777 111.56124369 130.53614214
 189.15977366 143.41201855  86.2650583  195.96617115 172.47429978
  64.3310377  153.20342924 154.778674    86.26134539 106.39627126
  61.78540795 149.41869639 113.92984093 101.04080664 130.01252422
 194.73242272 198.39750995 145.64494073  56.54668725  58.13240693
 100.96892936 146.88022345 144.50005005  60.64855805 111.82190596
 137.77139518 188.0582962   52.26628167  52.15302274 164.16702748
 105.76307841 104.36457993 156.13276625 123.00719198  99.82970174
  92.91827503 116.69807078  99.82015477 113.58097553  95.27044271
 117.77724717 139.98359385 159.06367286 122.21286968 170.6845046
 159.90584592 157.07794456 199.29928347 140.06339105  54.01473208
 143.04286621 187.94838457 150.87882458 164.88655793 173.34381287
 179.08831082 174.79482667  99.03369294  84.64348679 131.84364302
  92.84370929 117.96349714 104.56505047  56.73317486 155.79537962
 191.36601735 147.1579666  189.11374197 182.5270802   84.70073732
 154.8451802  110.67302571 174.9701209  181.51001257 198.30741809
 126.83166999 167.22558394 183.60637339 190.13552769  72.17067909
  52.8128738  145.5603263   54.74820792 169.34146024 101.97649123]"|"[ 93.24552468 194.62611552 184.31367562 188.38072504  96.54566336
 100.16111843  92.96583946 112.45609063  65.88489974 193.34960697
 187.08157717  96.22995141 105.4731539  141.61455667  73.66036407
 103.42574218 119.39795042 186.1508542   99.17416193  70.42719794
  93.56627469 126.01033363  85.09385505  79.99094471 136.88169528
  71.42920554 139.70448614 129.29650237 190.46368906 194.09301794
 104.50074213 191.09322072  71.6757012  125.93756983 120.98119044
 109.93964098  79.09905714 159.76365098  62.42748178  53.16282542
 185.24552013 143.78094824 186.36646629 188.11374891 105.96447931
  94.11982263  58.60223632 117.22910271 166.82517121 110.86041346
  81.45388024 174.71936538  56.90621733  84.5047243  108.5300268
 147.95728389 128.59355217 166.0440828  119.20609848  63.20559791
  81.32880997 153.977328   183.24348701 125.3046911   70.64092737
  75.90176067 180.6890656  145.51053869 173.22791007 129.71834832
  81.24908405 113.82536102  99.89584281 176.07525396 149.52880503
  80.59312517  84.67732918 143.94416478  60.86095441  97.51947168
 110.69175125 128.37845048  81.19153898 148.53487162 101.58696458
 173.34872102  88.73000554 119.79471656  63.49051604 103.76908374
  84.30381245 180.71431649  68.14602627 136.61154226 111.90464976
 129.62659191 118.41066967 145.37976043 110.13964241 196.52340783]"|[172.56291334 117.51511642  71.51047812]|[20.00687051 19.13017913 19.03169712]
5|"[134.23147176 148.80338536 153.28207271  64.47151021 148.11880716
 113.93320955 121.74743674  72.85095544 136.91979714 164.49676796
 109.03410983  99.27088167 159.86089777 111.56124369 130.53614214
 189.15977366 143.41201855  86.2650583  195.96617115 172.47429978
  64.3310377  153.20342924 154.778674    86.26134539 106.39627126
  61.78540795 149.41869639 113.92984093 101.04080664 130.01252422
 194.73242272 198.39750995 145.64494073  56.54668725  58.13240693
 100.96892936 146.88022345 144.50005005  60.25289258 111.15345634
 137.77139518 188.0582962   52.26628167  52.15302274 164.16702748
 105.76307841 103.37135081 156.13276625 123.00719198 100.3922534
  92.91827503 115.8632073  100.29069126 113.58097553  95.27044271
 117.77724717 139.98359385 159.06367286 122.21286968 171.22339438
 159.90584592 157.07794456 199.29928347 140.06339105  54.01473208
 143.04286621 187.94838457 150.87882458 164.88655793 173.34381287
 179.08831082 174.79482667  99.03369294  84.64348679 131.84364302
  92.84370929 117.96349714 104.56505047  56.7668701  155.79537962
 191.36601735 147.1579666  189.11374197 182.5270802   84.70073732
 154.8451802  110.67302571 174.9701209  181.32931699 199.07139152
 126.83166999 167.22558394 183.60637339 189.3047599   72.17067909
  52.8128738  145.5603263   54.74820792 169.34146024 101.97649123]"|"[ 93.24552468 194.62611552 184.31367562 188.38072504  96.54566336
 100.16111843  93.57427249 112.45609063  65.88489974 193.34960697
 187.08157717  96.22995141 105.4731539  141.61455667  73.66036407
 103.42574218 119.39795042 186.1508542   99.17416193  70.42719794
  93.56627469 126.01033363  85.09385505  79.99094471 136.88169528
  71.42920554 139.70448614 129.29650237 190.46368906 194.09301794
 104.50074213 191.09322072  71.6757012  125.93756983 120.98119044
 109.93964098  79.09905714 159.76365098  63.34587648  53.90658285
 185.24552013 143.78094824 186.36646629 188.11374891 105.96447931
  94.11982263  58.48606442 117.22910271 166.82517121 110.03365133
  81.45388024 175.26982244  57.78859787  84.5047243  108.5300268
 147.95728389 128.59355217 166.0440828  119.20609848  64.0479742
  81.32880997 153.977328   183.24348701 125.3046911   70.64092737
  75.90176067 180.6890656  145.51053869 173.22791007 129.71834832
  81.24908405 113.82536102  99.89584281 176.07525396 149.52880503
  80.59312517  84.67732918 143.94416478  61.86038656  97.51947168
 110.69175125 128.37845048  81.19153898 148.53487162 101.58696458
 173.34872102  88.73000554 119.79471656  64.47405511 104.41433145
  84.30381245 180.71431649  68.14602627 137.16816141 111.90464976
 129.62659191 118.41066967 145.37976043 110.13964241 196.52340783]"|[173.30239138 116.90441819  70.80358482]|[21.31192691 20.50023302 20.35468686]
6|"[134.23147176 148.80338536 153.28207271  64.47151021 148.11880716
 113.93320955 121.74743674  72.85095544 136.91979714 164.49676796
 109.03410983  99.27088167 159.86089777 111.56124369 130.73502996
 189.15977366 143.41201855  86.2650583  195.96617115 172.47429978
  64.3310377  153.20342924 154.778674    86.26134539 106.39627126
  61.78540795 149.41869639 113.92984093 101.04080664 130.01252422
 194.73242272 198.39750995 145.64494073  56.54668725  58.13240693
 100.96892936 146.88022345 144.50005005  59.9209029  110.53022677
 137.77139518 189.05382072  52.26628167  52.15302274 164.16702748
 105.76307841 103.92432381 156.13276625 123.00719198 100.3922534
  92.91827503 115.8632073  100.91450601 113.58097553  95.27044271
 117.77724717 139.98359385 159.06367286 121.46215222 171.54774017
 159.90584592 157.07794456 199.29928347 140.06339105  54.01473208
 143.04286621 187.94838457 150.87882458 164.88655793 173.34381287
 179.08831082 174.79482667  99.03369294  84.64348679 131.84364302
  92.84370929 117.96349714 104.56505047  56.84344415 155.79537962
 191.36601735 147.1579666  189.11374197 182.5270802   84.70073732
 154.8451802  110.67302571 174.9701209  181.24815926 199.07139152
 126.83166999 167.22558394 183.60637339 189.3047599   72.17067909
  52.8128738  145.5603263   54.74820792 169.34146024 101.97649123]"|"[ 93.24552468 194.62611552 184.31367562 188.38072504  96.54566336
 100.16111843  93.57427249 112.45609063  65.88489974 193.34960697
 187.08157717  96.22995141 105.4731539  141.61455667  74.64038634
 103.42574218 119.39795042 186.1508542   99.17416193  70.42719794
  93.56627469 126.01033363  85.09385505  79.99094471 136.88169528
  71.42920554 139.70448614 129.29650237 190.46368906 194.09301794
 104.50074213 191.09322072  71.6757012  125.93756983 120.98119044
 109.93964098  79.09905714 159.76365098  64.2891595   54.68862179
 185.24552013 143.87545176 186.36646629 188.11374891 105.96447931
  94.11982263  57.65286525 117.22910271 166.82517121 110.03365133
  81.45388024 175.26982244  58.57017011  84.5047243  108.5300268
 147.95728389 128.59355217 166.0440828  118.54547506  64.99391278
  81.32880997 153.977328   183.24348701 125.3046911   70.64092737
  75.90176067 180.6890656  145.51053869 173.22791007 129.71834832
  81.24908405 113.82536102  99.89584281 176.07525396 149.52880503
  80.59312517  84.67732918 143.94416478  62.85745046  97.51947168
 110.69175125 128.37845048  81.19153898 148.53487162 101.58696458
 173.34872102  88.73000554 119.79471656  65.47075638 104.41433145
  84.30381245 180.71431649  68.14602627 137.16816141 111.90464976
 129.62659191 118.41066967 145.37976043 110.13964241 196.52340783]"|[174.01228729 116.46730903  70.09289915]|[22.63330793 21.93513218 21.67564329]
7|"[134.23147176 148.80338536 153.28207271  64.47151021 148.11880716
 113.93320955 121.74743674  72.85095544 136.91979714 163.83268069
 109.03410983 100.12519329 159.86089777 111.56124369 130.73502996
 189.15977366 143.41201855  86.2650583  195.96617115 172.47429978
  64.3310377  153.20342924 154.778674    86.26134539 106.39627126
  61.78540795 149.41869639 113.92984093 101.04080664 130.01252422
 194.73242272 198.39750995 145.64494073  56.21583992  58.13240693
 100.96892936 146.88022345 144.50005005  59.4478897  109.97728039
 137.77139518 189.05382072  52.26628167  52.15302274 164.16702748
 105.76307841 104.91992846 156.13276625 123.00719198 100.3922534
  92.91827503 115.8632073  101.42402387 113.58097553  95.27044271
 117.77724717 139.98359385 159.06367286 121.46215222 171.82409349
 158.97282418 157.07794456 199.29928347 140.06339105  54.01473208
 143.04286621 187.94838457 150.87882458 164.88655793 173.34381287
 179.08831082 174.79482667  99.03369294  84.64348679 131.84364302
  92.32805501 117.96349714 104.56505047  56.96986543 155.79537962
 191.36601735 147.1579666  189.11374197 182.5270802   84.70073732
 154.8451802  110.67302571 174.9701209  181.07546622 199.07139152
 126.83166999 167.22558394 183.60637339 189.3047599   72.17067909
  52.8128738  145.5603263   54.74820792 169.34146024 101.97649123]"|"[ 93.24552468 194.62611552 184.31367562 188.38072504  96.54566336
 100.16111843  93.57427249 112.45609063  65.88489974 192.6019519
 187.08157717  95.71019025 105.4731539  141.61455667  74.64038634
 103.42574218 119.39795042 186.1508542   99.17416193  70.42719794
  93.56627469 126.01033363  85.09385505  79.99094471 136.88169528
  71.42920554 139.70448614 129.29650237 190.46368906 194.09301794
 104.50074213 191.09322072  71.6757012  124.99388554 120.98119044
 109.93964098  79.09905714 159.76365098  65.17021484  55.52183862
 185.24552013 143.87545176 186.36646629 188.11374891 105.96447931
  94.11982263  57.74652092 117.22910271 166.82517121 110.03365133
  81.45388024 175.26982244  59.43063019  84.5047243  108.5300268
 147.95728389 128.59355217 166.0440828  118.54547506  65.95496889
  80.96898997 153.977328   183.24348701 125.3046911   70.64092737
  75.90176067 180.6890656  145.51053869 173.22791007 129.71834832
  81.24908405 113.82536102  99.89584281 176.07525396 149.52880503
  81.44992192  84.67732918 143.94416478  63.8494271   97.51947168
 110.69175125 128.37845048  81.19153898 148.53487162 101.58696458
 173.34872102  88.73000554 119.79471656  66.45573208 104.41433145
  84.30381245 180.71431649  68.14602627 137.16816141 111.90464976
 129.62659191 118.41066967 145.37976043 110.13964241 196.52340783]"|[174.70629736 116.10758941  69.49522122]|[23.96310116 23.3913608  23.0514271 ]
8|"[134.23147176 148.80338536 153.28207271  64.47151021 148.11880716
 113.93320955 121.74743674  72.85095544 136.91979714 163.83268069
 109.03410983 100.12519329 159.86089777 111.56124369 130.73502996
 189.15977366 143.41201855  86.2650583  195.96617115 172.47429978
  65.0902669  153.20342924 154.778674    86.26134539 106.39627126
  61.78540795 149.41869639 113.92984093 101.04080664 130.01252422
 194.73242272 198.39750995 145.64494073  56.21583992  58.13240693
 100.96892936 146.88022345 144.50005005  58.99974951 109.37340409
 137.77139518 189.05382072  52.26628167  52.15302274 164.16702748
 105.76307841 105.66879559 156.13276625 123.00719198 100.3922534
  92.91827503 115.8632073  102.11094677 113.58097553  95.27044271
 117.77724717 139.98359385 159.06367286 121.46215222 171.97292977
 158.97282418 157.07794456 199.29928347 140.06339105  54.01473208
 143.96261284 187.94838457 150.87882458 164.88655793 173.34381287
 178.40307581 174.79482667  99.03369294  84.64348679 131.84364302
  92.32805501 117.96349714 104.56505047  56.91756723 155.79537962
 191.36601735 147.1579666  189.11374197 182.5270802   84.70073732
 154.8451802  110.67302571 174.9701209  180.95210009 199.07139152
 126.83166999 167.22558394 183.60637339 189.3047599   72.96712036
  52.8128738  145.5603263   54.74820792 169.34146024 101.97649123]"|"[ 93.24552468 194.62611552 184.31367562 188.38072504  96.54566336
 100.16111843  93.57427249 112.45609063  65.88489974 192.6019519
 187.08157717  95.71019025 105.4731539  141.61455667  74.64038634
 103.42574218 119.39795042 186.1508542   99.17416193  70.42719794
  92.91545135 126.01033363  85.09385505  79.99094471 136.88169528
  71.42920554 139.70448614 129.29650237 190.46368906 194.09301794
 104.50074213 191.09322072  71.6757012  124.99388554 120.98119044
 109.93964098  79.09905714 159.76365098  66.06417813  56.31891667
 185.24552013 143.87545176 186.36646629 188.11374891 105.96447931
  94.11982263  58.40924109 117.22910271 166.82517121 110.03365133
  81.45388024 175.26982244  60.15736049  84.5047243  108.5300268
 147.95728389 128.59355217 166.0440828  118.54547506  66.94383074
  80.96898997 153.977328   183.24348701 125.3046911   70.64092737
  75.50924808 180.6890656  145.51053869 173.22791007 129.71834832
  80.52076201 113.82536102  99.89584281 176.07525396 149.52880503
  81.44992192  84.67732918 143.94416478  64.84805861  97.51947168
 110.69175125 128.37845048  81.19153898 148.53487162 101.58696458
 173.34872102  88.73000554 119.79471656  67.4480933  104.41433145
  84.30381245 180.71431649  68.14602627 137.16816141 112.50936565
 129.62659191 118.41066967 145.37976043 110.13964241 196.52340783]"|[175.3896547  115.78813369  68.91735854]|[25.29839991 24.85694875 24.43565061]
9|"[134.23147176 148.80338536 153.28207271  64.47151021 148.11880716
 113.93320955 121.74743674  72.85095544 136.91979714 163.83268069
 109.03410983 100.12519329 159.86089777 111.56124369 130.73502996
 189.15977366 143.41201855  86.2650583  195.96617115 172.47429978
  65.0902669  153.20342924 154.778674    86.26134539 106.39627126
  61.78540795 149.41869639 113.92984093 101.04080664 129.78166046
 194.73242272 198.39750995 145.64494073  56.21583992  58.13240693
 100.96892936 146.88022345 144.50005005  58.53446244 108.67311646
 137.77139518 189.05382072  52.26628167  52.15302274 164.16702748
 105.76307841 106.56086722 156.13276625 123.00719198 100.3922534
  92.91827503 115.8632073  102.95315172 113.58097553  95.27044271
 117.77724717 139.98359385 159.06367286 121.46215222 172.02328655
 158.97282418 157.83367662 199.29928347 140.06339105  54.01473208
 143.96261284 187.94838457 150.87882458 164.88655793 173.34381287
 178.40307581 174.79482667  99.03369294  83.83467441 131.84364302
  92.32805501 117.96349714 104.56505047  56.90023973 155.79537962
 191.36601735 147.1579666  189.11374197 182.5270802   84.70073732
 154.8451802  110.67302571 174.9701209  180.97409874 199.07139152
 126.83166999 167.22558394 183.41835644 189.3047599   72.96712036
  52.8128738  145.5603263   54.74820792 169.34146024 101.97649123]"|"[ 93.24552468 194.62611552 184.31367562 188.38072504  96.54566336
 100.16111843  93.57427249 112.45609063  65.88489974 192.6019519
 187.08157717  95.71019025 105.4731539  141.61455667  74.64038634
 103.42574218 119.39795042 186.1508542   99.17416193  70.42719794
  92.91545135 126.01033363  85.09385505  79.99094471 136.88169528
  71.42920554 139.70448614 129.29650237 190.46368906 193.12003185
 104.50074213 191.09322072  71.6757012  124.99388554 120.98119044
 109.93964098  79.09905714 159.76365098  66.94933797  57.03277747
 185.24552013 143.87545176 186.36646629 188.11374891 105.96447931
  94.11982263  58.86113512 117.22910271 166.82517121 110.03365133
  81.45388024 175.26982244  60.696518    84.5047243  108.5300268
 147.95728389 128.59355217 166.0440828  118.54547506  67.94256204
  80.96898997 153.32244705 183.24348701 125.3046911   70.64092737
  75.50924808 180.6890656  145.51053869 173.22791007 129.71834832
  80.52076201 113.82536102  99.89584281 175.48718719 149.52880503
  81.44992192  84.67732918 143.94416478  65.84790848  97.51947168
 110.69175125 128.37845048  81.19153898 148.53487162 101.58696458
 173.34872102  88.73000554 119.79471656  68.4478513  104.41433145
  84.30381245 180.71431649  69.12819205 137.16816141 112.50936565
 129.62659191 118.41066967 145.37976043 110.13964241 196.52340783]"|[176.06417292 115.49335233  68.23856604]|[26.6381854  26.3276982  25.77327564]
