|X_Positions|Y_Positions
0|[25.01706757]|[177.18175691]
1|[26.2885192]|[177.97762798]
2|[27.62485978]|[178.65894571]
3|[28.98507128]|[179.29126262]
4|[30.35465148]|[179.90302245]
5|[31.72802831]|[180.50621072]
6|[33.10296519]|[181.10583441]
7|[34.47854814]|[181.70397449]
8|[35.85439847]|[182.30149927]
9|[37.23036265]|[182.89876184]
10|[38.60637327]|[183.4959174]
11|[39.98240425]|[184.09302605]
12|[41.35844414]|[184.69011417]
13|[42.73448874]|[185.28719143]
14|[44.110536]|[185.88426258]
15|[45.48658272]|[186.48133494]
16|[46.86263061]|[187.07840463]
17|[48.23868085]|[187.67546888]
18|[49.61808437]|[188.26474467]
19|[51.00252937]|[188.8420765]
20|[52.15125318]|[187.87748664]
21|[52.84590018]|[186.54802601]
22|[53.32349273]|[185.12608883]
23|[53.70891417]|[183.67645083]
24|[54.05622041]|[182.21721186]
25|[54.38330165]|[180.75330686]
26|[54.70209837]|[179.28757542]
27|[55.01750544]|[177.82111083]
28|[55.33152817]|[176.35434919]
29|[55.64835422]|[174.88819052]
30|[55.96632726]|[173.42228017]
31|[56.28338933]|[171.95617252]
32|[56.60007425]|[170.48998335]
33|[56.91660523]|[169.02376095]
34|[57.23307267]|[167.55752483]
35|[57.54950983]|[166.09128217]
36|[57.86593482]|[164.62503689]
37|[58.18235609]|[163.15879081]
38|[58.49877847]|[161.69254496]
39|[58.81519562]|[160.22629799]
40|[59.13160608]|[158.76004957]
41|[59.4480129]|[157.29380037]
42|[59.76441032]|[155.82754914]
43|[60.08079741]|[154.36129568]
44|[60.39717401]|[152.89503996]
45|[60.71354084]|[151.42878212]
46|[61.02989985]|[149.9625226]
47|[61.34624973]|[148.49626112]
48|[61.66259412]|[147.02999844]
49|[61.98878168]|[145.56589405]
50|[62.31902294]|[144.10269867]
51|[62.66294361]|[142.64265807]
52|[63.01249157]|[141.18395446]
53|[63.36435791]|[139.72580834]
54|[63.71717726]|[138.26789254]
55|[64.07038832]|[136.81007158]
56|[64.42375694]|[135.3522888]
57|[64.77718025]|[133.89451929]
58|[65.13061782]|[132.43675323]
59|[65.48405611]|[130.97898734]
60|[65.83748531]|[129.52121925]
61|[66.19089697]|[128.06344691]
62|[66.54429481]|[126.60567122]
63|[66.89768062]|[125.14789261]
64|[67.25105105]|[123.69011028]
65|[67.60441345]|[122.23232599]
66|[67.95776938]|[120.77454014]
67|[68.31111931]|[119.31675284]
68|[68.66446073]|[117.85896347]
69|[69.01778313]|[116.40116949]
70|[69.37108974]|[114.94337169]
71|[69.69956385]|[113.47977859]
72|[70.04029871]|[112.01899121]
73|[70.40712437]|[110.56453635]
74|[70.80721311]|[109.11887768]
75|[71.86598363]|[110.18142415]
76|[72.45213848]|[111.56215674]
77|[72.81876962]|[113.01666065]
78|[73.09279984]|[114.49141738]
79|[73.32854727]|[115.97277593]
80|[73.54855182]|[117.45655422]
81|[73.7620876]|[118.94127725]
82|[73.97296043]|[120.42638083]
83|[74.18273569]|[121.91163984]
84|[74.39205558]|[123.3969631]
85|[74.60118263]|[124.88231352]
86|[74.81022211]|[126.36767627]
87|[75.01921637]|[127.85304538]
88|[75.22818776]|[129.33841772]
89|[75.43713962]|[130.82379279]
90|[75.64608257]|[132.30916912]
91|[75.8550106]|[133.79454755]
92|[76.06392166]|[135.27992837]
93|[76.27281714]|[136.76531138]
94|[76.48170174]|[138.25069591]
95|[76.69058226]|[139.73608102]
96|[76.89945279]|[141.22146754]
97|[77.10831852]|[142.70685473]
98|[77.31718105]|[144.19224237]
99|[77.52604661]|[145.67762959]
100|[77.73491033]|[147.16301706]
101|[77.94376442]|[148.64840589]
102|[78.15260872]|[150.13379609]
103|[78.36144468]|[151.61918747]
104|[78.5702683]|[153.10458058]
105|[78.77909755]|[154.5899729]
106|[78.98792816]|[156.07536503]
107|[79.19676181]|[157.56075673]
108|[79.40560357]|[159.04614729]
109|[79.61444056]|[160.53153852]
110|[79.82326678]|[162.01693127]
111|[80.03207376]|[163.50232672]
112|[80.24086387]|[164.98772454]
113|[80.44960742]|[166.47312891]
114|[80.68329665]|[167.95481354]
115|[80.95116799]|[169.43070139]
116|[81.25887693]|[170.89880057]
117|[81.94456549]|[169.56469743]
118|[82.25396107]|[168.09695277]
119|[82.40229642]|[166.60430525]
120|[82.48408871]|[165.1065369]
121|[82.53855733]|[163.60752617]
122|[83.41835492]|[164.82241555]
123|[83.94794068]|[166.22581817]
124|[84.31924239]|[167.6791368]
125|[84.62273924]|[169.14811252]
126|[84.89752852]|[170.62272801]
127|[85.40286028]|[169.21041083]
128|[85.6015469]|[167.72362785]
