|X_Positions|Y_Positions
0|[30.08102325]|[29.52681581]
1|[32.72540542]|[30.94358781]
2|[35.17629042]|[32.67366374]
3|[37.49827133]|[34.57324386]
4|[39.74044838]|[36.56639266]
5|[41.93483735]|[38.61203608]
6|[44.1010841]|[40.68745773]
7|[46.25090443]|[42.77988994]
8|[48.39118337]|[44.88208072]
9|[50.52593522]|[46.98988396]
10|[52.65749029]|[49.10091997]
11|[54.78719799]|[51.21381966]
12|[56.91583865]|[53.32779434]
13|[59.04386316]|[55.44238926]
14|[61.17153192]|[57.55734213]
15|[63.29899531]|[59.67250158]
16|[65.42634014]|[61.78778028]
17|[67.55361653]|[63.90312781]
18|[69.6808534]|[66.01851508]
19|[71.80806747]|[68.13392528]
20|[73.93526836]|[70.24934873]
21|[76.06246165]|[72.36477982]
22|[78.18965055]|[74.48021532]
23|[80.31683692]|[76.59565338]
24|[82.44402182]|[78.7110929]
25|[84.57120588]|[80.82653328]
26|[86.69838946]|[82.94197414]
27|[88.82557275]|[85.05741529]
28|[90.95275587]|[87.1728566]
29|[93.07993891]|[89.288298]
30|[95.20712189]|[91.40373946]
31|[97.33430484]|[93.51918096]
32|[99.46148777]|[95.63462247]
33|[101.58867069]|[97.75006399]
34|[103.7158536]|[99.86550551]
35|[105.84303651]|[101.98094704]
36|[107.97021942]|[104.09638857]
37|[110.09740232]|[106.21183011]
38|[112.22458523]|[108.32727164]
39|[114.35176814]|[110.44271318]
40|[116.47895104]|[112.55815471]
41|[118.60613395]|[114.67359624]
42|[120.73331685]|[116.78903778]
43|[122.86049976]|[118.90447931]
44|[124.98768266]|[121.01992085]
45|[127.11486557]|[123.13536238]
46|[129.24204848]|[125.25080392]
47|[131.36923138]|[127.36624545]
48|[133.49641429]|[129.48168699]
49|[135.62359719]|[131.59712852]
50|[137.7507801]|[133.71257006]
51|[139.877963]|[135.82801159]
52|[142.00514591]|[137.94345313]
53|[144.13232881]|[140.05889466]
54|[146.25951172]|[142.1743362]
55|[148.38669463]|[144.28977773]
56|[150.51387753]|[146.40521926]
57|[152.64106044]|[148.5206608]
58|[154.76824334]|[150.63610233]
59|[156.89542625]|[152.75154387]
60|[159.02260915]|[154.8669854]
61|[161.14979206]|[156.98242694]
62|[163.27697496]|[159.09786847]
63|[165.40415787]|[161.21331001]
64|[167.53134077]|[163.32875154]
65|[169.65852368]|[165.44419308]
66|[171.78570642]|[167.55963478]
67|[173.91288894]|[169.6750767]
68|[176.04007116]|[171.79051892]
69|[178.16725295]|[173.90596158]
70|[180.29443422]|[176.02140476]
71|[182.42161538]|[178.13684805]
72|[184.54879675]|[180.25229113]
73|[186.67597855]|[182.36773377]
74|[188.80316143]|[184.48317534]
75|[190.93034579]|[186.59861541]
76|[193.05753218]|[188.71405344]
77|[195.18472081]|[190.82948922]
78|[197.31191232]|[192.94492209]
79|[199.43910703]|[195.06035177]
80|[201.56630451]|[197.17577864]
81|[203.69350532]|[199.29120217]
82|[205.82071098]|[201.40662083]
83|[207.94792244]|[203.52203365]
84|[210.07514033]|[205.63744]
85|[212.20236483]|[207.75283971]
86|[214.32959647]|[209.86823224]
87|[216.45683498]|[211.98361786]
88|[218.58408115]|[214.09899578]
89|[220.71133447]|[216.2143665]
90|[222.83859571]|[218.32972927]
91|[224.96586595]|[220.44508297]
92|[227.09314538]|[222.56042745]
93|[229.22043671]|[224.67575995]
94|[231.34774352]|[226.79107689]
95|[233.47506553]|[228.90637854]
96|[235.60240541]|[231.02166221]
97|[237.72976551]|[233.13692556]
98|[239.85714622]|[235.25216817]
99|[241.98454841]|[237.36738918]
100|[244.11197207]|[239.4825886]
101|[246.23942117]|[241.59776243]
102|[248.36689402]|[243.71291236]
103|[250.49438943]|[245.82803961]
104|[252.62190861]|[247.94314296]
105|[254.74945026]|[250.05822369]
106|[256.87701662]|[252.17327957]
107|[259.00460863]|[254.28830966]
108|[261.13222394]|[256.4033163]
109|[263.93225797]|[257.48026079]
110|[266.91057043]|[257.84033702]
111|[269.90968008]|[257.76725305]
112|[272.89194382]|[257.44151849]
113|[275.8545747]|[256.96948216]
114|[278.80245268]|[256.41269192]
115|[281.74061091]|[255.8067]
116|[284.67272261]|[255.17209697]
117|[287.60117716]|[254.52082596]
118|[290.52745342]|[253.85983634]
119|[293.45244281]|[253.19317521]
120|[296.37667394]|[252.52319589]
121|[299.30045834]|[251.85126973]
122|[302.22397863]|[251.17819536]
123|[305.14734216]|[250.50444042]
124|[308.07061175]|[249.83027806]
125|[310.9938241]|[249.15586752]
126|[313.91700049]|[248.48130118]
127|[316.84015284]|[247.80663063]
128|[319.76328801]|[247.13188566]
129|[322.68640934]|[246.45708073]
130|[325.60951871]|[245.78222399]
131|[328.53261685]|[245.10731862]
132|[331.45570432]|[244.43236703]
133|[334.3787808]|[243.75736783]
134|[337.30184727]|[243.08232534]
135|[340.22490306]|[242.40723656]
136|[343.14794706]|[241.73209674]
137|[346.07097711]|[241.05689651]
138|[348.99399222]|[240.38163163]
139|[351.9169913]|[239.70629737]
140|[354.83997512]|[239.03089705]
141|[357.76294365]|[238.35543057]
142|[360.68589623]|[237.67989506]
143|[363.60883137]|[237.00428409]
144|[366.53174833]|[236.32859451]
145|[369.45464574]|[235.65282034]
146|[372.37752444]|[234.97696525]
147|[375.30038516]|[234.30103237]
148|[378.22322671]|[233.62501667]
149|[381.14604957]|[232.94892013]
150|[384.06885329]|[232.27274085]
151|[386.99163911]|[231.59648418]
152|[389.91441023]|[230.92016403]
153|[392.83716664]|[230.24378027]
154|[395.75990905]|[229.56733605]
155|[398.68263656]|[228.89082744]
156|[401.60534765]|[228.21424786]
157|[404.5280415]|[227.53759386]
158|[407.45071871]|[226.86086797]
159|[410.37337975]|[226.18407227]
160|[413.29602269]|[225.50719836]
161|[416.21864926]|[224.83025381]
162|[419.14125908]|[224.15323694]
163|[422.06385038]|[223.47614012]
164|[424.98642473]|[222.79897019]
165|[427.92062477]|[222.1740941]
166|[430.87252704]|[221.63904925]
167|[433.84232077]|[221.21440208]
168|[436.82742141]|[220.91578161]
169|[439.82298336]|[220.75266022]
170|[442.82291954]|[220.73309165]
171|[445.82061728]|[220.8506002]
172|[448.80935345]|[221.11032337]
173|[451.78243057]|[221.51133762]
174|[454.73408344]|[222.04775661]
175|[457.65553122]|[222.72977045]
176|[460.53885069]|[223.55830458]
177|[462.72576477]|[225.61193717]
178|[465.19051613]|[227.32220052]
179|[466.92436243]|[229.77041967]
180|[469.17558198]|[231.75334945]
181|[471.65693774]|[233.43943178]
182|[473.3837443]|[235.89262135]
183|[474.55347014]|[238.65518202]
184|[475.37171151]|[241.5414393]
185|[475.97917503]|[244.47929363]
186|[476.46253268]|[247.44009849]
187|[476.87333942]|[250.41183835]
188|[477.2418654]|[253.38911708]
189|[477.58579296]|[256.36933751]
190|[477.9154299]|[259.35117243]
191|[478.23677774]|[262.33391203]
192|[478.55332859]|[265.31716455]
193|[478.8671155]|[268.30070905]
194|[479.17932878]|[271.28441863]
195|[479.49066476]|[274.26821988]
196|[479.80153053]|[277.25207016]
197|[480.11215568]|[280.23594549]
198|[480.42267174]|[283.21983218]
199|[480.73315571]|[286.20372221]
200|[481.0436537]|[289.18761078]
201|[481.35418248]|[292.17149615]
202|[481.66474244]|[295.15537827]
203|[481.97533708]|[298.13925678]
204|[482.28596918]|[301.12313139]
205|[482.59663513]|[304.10700248]
206|[482.90733024]|[307.09087053]
207|[483.21805254]|[310.07473575]
208|[483.52881026]|[313.05859728]
209|[483.8396049]|[316.04245497]
210|[484.15043389]|[319.02630908]
211|[484.46130144]|[322.01015917]
212|[484.77220639]|[324.99400536]
213|[485.08313884]|[327.97784869]
214|[485.39408966]|[330.96169011]
215|[485.70507025]|[333.94552842]
216|[486.01608762]|[336.9293629]
217|[486.32714803]|[339.91319289]
218|[486.32714803]|[339.91319289]
219|[486.32714803]|[339.91319289]
220|[486.6383859]|[342.89700437]
221|[486.6383859]|[342.89700437]
222|[486.94969097]|[345.88080885]
223|[486.94969097]|[345.88080885]
