|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[ 87.69588864 116.23925724  81.38717725 177.20716733 126.36446995
  81.02019027 123.15868222 182.1766877  173.9854349  119.06069022
 126.62954946 123.40148746 187.41407061  61.52087907 154.51329173
  93.77741105 145.44722852 167.88930077 154.95828807  87.82451999
 161.15957646 135.83293774 165.7019255  182.50259468 123.07587338
  66.18386889 163.00906626 170.28612071 175.09850972 143.03451507
 151.35884645  76.47061085  51.70452874 123.8018388  120.47598481
  84.12598571  74.10013444 100.28823456 177.78795363 158.24634029
 159.92622744 108.16830474 102.69683796 164.157093   119.25230474
 132.52176043 184.62081409 144.56733236  74.14516437 183.58453094
 117.94823001 106.88494949 147.89010478 182.75345647  72.10342799
 171.7134494  156.46690931 116.87073472 138.6385246   83.79340542
 172.43859199 124.99892062 188.32588764 130.10988257  85.4683723
 180.87490995 183.53921686  75.48780467 165.12031548  79.78112552
  59.84752608 105.80541058 181.78978812  81.84406156 100.50042938]"|"[ 60.6087218   98.40350683 113.68069243  70.5889906  189.7232866
 194.59289629 140.92367256 129.62219562 111.23422096  67.76639694
  76.49427769 191.76344104 159.48990084  55.33822792  81.92411381
 118.62817024  97.43950726 105.76530845 138.41931891  84.94296253
 196.9281107  178.98405754 182.79727993 182.4809536  182.49834012
 131.00521115 139.41752725 155.36301808 133.88646811 176.74439973
 141.45299556 197.56877431 198.6788217   64.72832709  77.30975343
 191.40851636 119.01954806  65.12355566 166.79546206  86.78141937
  91.44291611 198.2516996  108.83283751 115.23656122 125.28307823
 108.303609    72.96613908 179.14351382  94.07965043 149.8537121
 156.12792912  92.38787419 151.28401422 136.44959335 133.13568394
  77.09922517  70.26702725 180.29819383  67.96194253 143.14982032
 180.07119866 197.95475377 104.60898478 113.07331517 108.55338223
 197.26958969 127.95200827 157.09592083 118.89761367 197.13213644
  88.34540581  54.18999001 192.46801203  95.50659147  62.31303449]"|[106.58017178 127.35604513  81.24898964]|[12.23917031 13.7862997  12.85897169]
1|"[ 87.91254901 116.23925724  81.38717725 177.20716733 126.36446995
  81.02019027 123.15868222 182.1766877  173.9854349  119.1043883
 126.38863807 124.3805931  187.41407061  62.22537271 154.51329173
  93.77741105 145.44722852 167.88930077 154.95828807  87.82451999
 161.15957646 135.83293774 165.7019255  183.05499586 123.07587338
  66.18386889 163.00906626 170.28612071 175.09850972 143.03451507
 151.35884645  77.43926303  50.84388146 123.43554544 120.76299895
  84.12598571  74.10013444 100.59521484 177.78795363 158.24634029
 159.92622744 108.16830474 102.69683796 164.157093   119.25230474
 132.52176043 184.62081409 144.56733236  74.14516437 183.58453094
 117.94823001 106.88494949 147.89010478 182.75345647  72.10342799
 171.7134494  156.27370798 116.87073472 138.76264047  83.79340542
 172.43859199 124.99892062 188.32588764 130.10988257  85.4683723
 180.87490995 183.53921686  75.48780467 165.12031548  79.78112552
  59.84752608 106.22254976 181.78978812  80.9985678  100.58763718]"|"[ 61.58496884  98.40350683 113.68069243  70.5889906  189.7232866
 194.59289629 140.92367256 129.62219562 111.23422096  68.76544172
  77.4648248  191.9667933  159.48990084  56.04793823  81.92411381
 118.62817024  97.43950726 105.76530845 138.41931891  84.94296253
 196.9281107  178.98405754 182.79727993 181.6473752  182.49834012
 131.00521115 139.41752725 155.36301808 133.88646811 176.74439973
 141.45299556 197.32035341 198.1696201   65.65882651  78.26767978
 191.40851636 119.01954806  66.07527154 166.79546206  86.78141937
  91.44291611 198.2516996  108.83283751 115.23656122 125.28307823
 108.303609    72.96613908 179.14351382  94.07965043 149.8537121
 156.12792912  92.38787419 151.28401422 136.44959335 133.13568394
  77.09922517  71.24818638 180.29819383  68.95421027 143.14982032
 180.07119866 197.95475377 104.60898478 113.07331517 108.55338223
 197.26958969 127.95200827 157.09592083 118.89761367 197.13213644
  88.34540581  55.09883263 192.46801203  96.04057676  63.30922463]"|[105.24139718 126.68558831  80.05103911]|[12.91569273 15.12812221 13.76169784]
2|"[ 88.14982347 116.23925724  81.38717725 177.20716733 126.36446995
  81.02019027 123.15868222 182.1766877  173.9854349  119.23945649
 126.18565521 124.3805931  187.41407061  62.44250883 154.51329173
  93.77741105 145.44722852 167.88930077 154.95828807  87.82451999
 161.15957646 135.83293774 165.7019255  183.05499586 123.07587338
  66.18386889 163.00906626 170.28612071 175.09850972 143.03451507
 151.35884645  77.43926303  50.84388146 123.45067758 121.02737236
  84.12598571  74.10013444 100.87408728 177.78795363 158.24634029
 159.92622744 108.16830474 102.69683796 164.157093   119.25230474
 132.52176043 184.62081409 144.56733236  74.14516437 183.58453094
 117.94823001 106.88494949 147.89010478 182.75345647  72.10342799
 171.7134494  156.23391149 116.87073472 138.71834258  83.79340542
 172.43859199 124.99892062 188.32588764 130.10988257  85.4683723
 180.87490995 183.53921686  75.48780467 165.12031548  79.78112552
  59.84752608 106.41954195 181.78978812  80.9985678  100.6919701 ]"|"[ 62.55641149  98.40350683 113.68069243  70.5889906  189.7232866
 194.59289629 140.92367256 129.62219562 111.23422096  69.75627803
  78.44400709 191.9667933  159.48990084  57.02407956  81.92411381
 118.62817024  97.43950726 105.76530845 138.41931891  84.94296253
 196.9281107  178.98405754 182.79727993 181.6473752  182.49834012
 131.00521115 139.41752725 155.36301808 133.88646811 176.74439973
 141.45299556 197.32035341 198.1696201   66.65871201  79.23210017
 191.40851636 119.01954806  67.03559969 166.79546206  86.78141937
  91.44291611 198.2516996  108.83283751 115.23656122 125.28307823
 108.303609    72.96613908 179.14351382  94.07965043 149.8537121
 156.12792912  92.38787419 151.28401422 136.44959335 133.13568394
  77.09922517  72.24739419 180.29819383  69.95322863 143.14982032
 180.07119866 197.95475377 104.60898478 113.07331517 108.55338223
 197.26958969 127.95200827 157.09592083 118.89761367 197.13213644
  88.34540581  56.07923769 192.46801203  96.04057676  64.30376706]"|[103.91757247 125.74658996  78.86243451]|[13.62102112 16.29785812 14.67669462]
3|"[ 88.19458957 116.23925724  81.38717725 177.20716733 126.36446995
  81.02019027 123.15868222 182.1766877  173.9854349  119.19946518
 126.00312299 124.3805931  187.41407061  62.4819391  154.51329173
  93.77741105 145.44722852 167.88930077 154.95828807  87.82451999
 161.15957646 135.83293774 166.18999679 183.05499586 123.07587338
  66.18386889 163.00906626 170.28612071 175.09850972 143.03451507
 151.35884645  77.43926303  50.84388146 123.55727613 121.15429372
  84.12598571  74.10013444 101.15064015 177.78795363 158.24634029
 159.92622744 108.16830474 102.69683796 164.157093   119.25230474
 132.52176043 184.62081409 144.56733236  74.14516437 183.58453094
 117.94823001 107.07282716 147.89010478 182.75345647  72.10342799
 171.7134494  156.02245121 116.87073472 138.52955184  83.79340542
 172.43859199 124.99892062 188.32588764 130.10988257  85.4683723
 180.87490995 183.53921686  75.48780467 165.12031548  79.78112552
  59.84752608 106.49248508 181.78978812  80.9985678  100.69806045]"|"[ 63.55540899  98.40350683 113.68069243  70.5889906  189.7232866
 194.59289629 140.92367256 129.62219562 111.23422096  70.75547806
  79.42720696 191.9667933  159.48990084  58.02330189  81.92411381
 118.62817024  97.43950726 105.76530845 138.41931891  84.94296253
 196.9281107  178.98405754 181.92447616 181.6473752  182.49834012
 131.00521115 139.41752725 155.36301808 133.88646811 176.74439973
 141.45299556 197.32035341 198.1696201   67.65301415  80.22401296
 191.40851636 119.01954806  67.9965984  166.79546206  86.78141937
  91.44291611 198.2516996  108.83283751 115.23656122 125.28307823
 108.303609    72.96613908 179.14351382  94.07965043 149.8537121
 156.12792912  93.37006663 151.28401422 136.44959335 133.13568394
  77.09922517  73.22478078 180.29819383  70.93524597 143.14982032
 180.07119866 197.95475377 104.60898478 113.07331517 108.55338223
 197.26958969 127.95200827 157.09592083 118.89761367 197.13213644
  88.34540581  57.07657379 192.46801203  96.04057676  65.30374851]"|[102.61080935 124.54948661  77.68554315]|[14.35747894 17.20170743 15.60670899]
4|"[ 88.17277961 116.74811142  81.38717725 177.20716733 126.36446995
  81.02019027 123.15868222 182.1766877  173.9854349  119.25242994
 126.00555902 125.28907624 187.41407061  62.53893854 154.51329173
  93.77741105 145.44722852 167.88930077 154.95828807  87.82451999
 161.15957646 135.83293774 166.18999679 183.05499586 123.07587338
  66.18386889 163.00906626 170.28612071 175.09850972 143.03451507
 151.35884645  77.43926303  50.84388146 123.49598487 121.39693235
  84.12598571  74.10013444 101.42296421 177.78795363 158.24634029
 159.92622744 108.16830474 102.69683796 164.157093   119.25230474
 132.52176043 184.62081409 144.56733236  74.14516437 183.58453094
 117.94823001 107.07282716 147.89010478 182.75345647  72.10342799
 171.7134494  155.78492509 116.87073472 138.4246949   83.79340542
 172.43859199 124.99892062 188.32588764 130.10988257  85.4683723
 180.87490995 183.53921686  75.48780467 164.39580732  79.78112552
  59.84752608 106.54962843 181.78978812  80.9985678  100.78580131]"|"[ 64.55517112  99.26435956 113.68069243  70.5889906  189.7232866
 194.59289629 140.92367256 129.62219562 111.23422096  71.75407444
  80.427204   191.54887179 159.48990084  59.0216761   81.92411381
 118.62817024  97.43950726 105.76530845 138.41931891  84.94296253
 196.9281107  178.98405754 181.92447616 181.6473752  182.49834012
 131.00521115 139.41752725 155.36301808 133.88646811 176.74439973
 141.45299556 197.32035341 198.1696201   68.65113408  81.1941297
 191.40851636 119.01954806  68.95880399 166.79546206  86.78141937
  91.44291611 198.2516996  108.83283751 115.23656122 125.28307823
 108.303609    72.96613908 179.14351382  94.07965043 149.8537121
 156.12792912  93.37006663 151.28401422 136.44959335 133.13568394
  77.09922517  74.19616193 180.29819383  71.92973329 143.14982032
 180.07119866 197.95475377 104.60898478 113.07331517 108.55338223
 197.26958969 127.95200827 157.09592083 119.58687989 197.13213644
  88.34540581  58.07493977 192.46801203  96.04057676  66.29989184]"|[101.32096356 123.1938678   76.5202586 ]|[15.12317984 17.8438115  16.55122576]
5|"[ 88.16563854 116.74811142  80.81191377 177.76462645 126.36446995
  81.02019027 123.15868222 182.1766877  173.9854349  119.45763038
 125.91830365 125.28907624 187.41407061  62.5819369  154.51329173
  93.77741105 145.44722852 167.88930077 154.95828807  87.82451999
 161.15957646 135.83293774 166.18999679 183.05499586 123.07587338
  66.18386889 163.00906626 169.59816091 175.09850972 143.03451507
 151.35884645  77.43926303  50.84388146 123.60475546 121.84336095
  84.12598571  74.10013444 101.72838601 177.78795363 158.24634029
 159.92622744 108.16830474 102.69683796 164.157093   119.25230474
 132.52176043 184.62081409 144.56733236  74.14516437 183.58453094
 118.48364905 107.07282716 147.89010478 182.75345647  72.10342799
 171.7134494  155.78492509 116.87073472 138.22039022  83.79340542
 172.43859199 124.99892062 188.32588764 130.10988257  85.4683723
 180.87490995 183.53921686  75.48780467 164.39580732  79.78112552
  59.84752608 106.65137286 181.78978812  80.9985678  100.87996154]"|"[ 65.55514562  99.26435956 112.86272426  71.419195   189.7232866
 194.59289629 140.92367256 129.62219562 111.23422096  72.73279441
  81.42338997 191.54887179 159.48990084  60.02075124  81.92411381
 118.62817024  97.43950726 105.76530845 138.41931891  84.94296253
 196.9281107  178.98405754 181.92447616 181.6473752  182.49834012
 131.00521115 139.41752725 156.08876688 133.88646811 176.74439973
 141.45299556 197.32035341 198.1696201   69.64520095  82.08894896
 191.40851636 119.01954806  69.91102115 166.79546206  86.78141937
  91.44291611 198.2516996  108.83283751 115.23656122 125.28307823
 108.303609    72.96613908 179.14351382  94.07965043 149.8537121
 156.97251568  93.37006663 151.28401422 136.44959335 133.13568394
  77.09922517  74.19616193 180.29819383  72.90864064 143.14982032
 180.07119866 197.95475377 104.60898478 113.07331517 108.55338223
 197.26958969 127.95200827 157.09592083 119.58687989 197.13213644
  88.34540581  59.06975034 192.46801203  96.04057676  67.2954489 ]"|[100.04798279 121.7893857   75.36650612]|[15.91660277 18.37052776 17.50979511]
6|"[ 88.3649266  116.74811142  80.81191377 177.76462645 126.36446995
  81.02019027 123.15868222 182.1766877  173.9854349  119.67011881
 125.9776527  125.28907624 187.41407061  62.56120196 154.51329173
  93.77741105 145.29212533 167.88930077 154.95828807  87.82451999
 161.15957646 135.83293774 166.18999679 183.05499586 123.07587338
  66.18386889 163.00906626 169.59816091 175.09850972 143.03451507
 151.35884645  77.43926303  50.84388146 123.6012221  122.18739759
  84.12598571  74.10013444 102.01759613 177.78795363 158.24634029
 159.92622744 108.16830474 102.69683796 164.157093   119.25230474
 132.52176043 184.62081409 145.55125574  74.14516437 183.58453094
 118.48364905 107.07282716 147.89010478 182.75345647  72.10342799
 171.7134494  155.78492509 116.87073472 138.12471344  83.79340542
 172.43859199 124.99892062 188.32588764 130.10988257  85.4683723
 180.87490995 183.53921686  75.48780467 164.39580732  79.78112552
  59.84752608 106.9675169  181.78978812  80.9985678  101.01570187]"|"[ 66.53508658  99.26435956 112.86272426  71.419195   189.7232866
 194.59289629 140.92367256 129.62219562 111.23422096  73.70995799
  82.42162727 191.54887179 159.48990084  61.02053625  81.92411381
 118.62817024  96.45160898 105.76530845 138.41931891  84.94296253
 196.9281107  178.98405754 181.92447616 181.6473752  182.49834012
 131.00521115 139.41752725 156.08876688 133.88646811 176.74439973
 141.45299556 197.32035341 198.1696201   70.64519471  83.02790518
 191.40851636 119.01954806  70.86828679 166.79546206  86.78141937
  91.44291611 198.2516996  108.83283751 115.23656122 125.28307823
 108.303609    72.96613908 178.9649227   94.07965043 149.8537121
 156.97251568  93.37006663 151.28401422 136.44959335 133.13568394
  77.09922517  74.19616193 180.29819383  73.90405309 143.14982032
 180.07119866 197.95475377 104.60898478 113.07331517 108.55338223
 197.26958969 127.95200827 157.09592083 119.58687989 197.13213644
  88.34540581  60.01846155 192.46801203  96.04057676  68.28619335]"|[ 98.79184516 120.38644867  74.22422054]|[16.73643096 18.90134571 18.48200068]
7|"[ 88.50712455 116.74811142  80.81191377 177.76462645 126.36446995
  81.02019027 123.15868222 182.1766877  173.9854349  119.67636754
 126.01946499 125.28907624 188.28810422  62.71933409 154.60762371
  93.77741105 145.29212533 167.88930077 154.95828807  87.82451999
 161.15957646 135.83293774 166.18999679 183.05499586 123.07587338
  66.18386889 163.00906626 169.59816091 175.09850972 143.03451507
 151.35884645  77.43926303  50.84388146 123.60058099 122.73390962
  84.12598571  74.10013444 102.23599852 177.78795363 158.24634029
 159.92622744 108.16830474 102.69683796 164.157093   119.25230474
 132.52176043 184.62081409 145.55125574  74.14516437 183.58453094
 118.48364905 107.07282716 147.89010478 182.75345647  72.10342799
 171.7134494  155.05021383 116.87073472 137.93509144  83.79340542
 172.43859199 124.99892062 188.32588764 130.10988257  86.24251128
 180.87490995 183.53921686  75.48780467 164.39580732  79.78112552
  59.84752608 107.33153773 181.78978812  80.9985678  101.24653569]"|"[ 67.52492482  99.26435956 112.86272426  71.419195   189.7232866
 194.59289629 140.92367256 129.62219562 111.23422096  74.70993847
  83.42075275 191.54887179 159.00403538  62.00795421  80.92857301
 118.62817024  96.45160898 105.76530845 138.41931891  84.94296253
 196.9281107  178.98405754 181.92447616 181.6473752  182.49834012
 131.00521115 139.41752725 156.08876688 133.88646811 176.74439973
 141.45299556 197.32035341 198.1696201   71.64519451  83.86535643
 191.40851636 119.01954806  71.84414559 166.79546206  86.78141937
  91.44291611 198.2516996  108.83283751 115.23656122 125.28307823
 108.303609    72.96613908 178.9649227   94.07965043 149.8537121
 156.97251568  93.37006663 151.28401422 136.44959335 133.13568394
  77.09922517  73.51778198 180.29819383  74.88591026 143.14982032
 180.07119866 197.95475377 104.60898478 113.07331517 109.18639789
 197.26958969 127.95200827 157.09592083 119.58687989 197.13213644
  88.34540581  60.94985235 192.46801203  96.04057676  69.25918654]"|[ 97.55244063 119.00703259  73.09332726]|[17.58134303 19.49059209 19.4674348 ]
8|"[ 88.62044834 116.74811142  80.08079886 177.76462645 126.36446995
  81.02019027 123.15868222 182.1766877  173.9854349  119.68098899
 126.15427134 124.33609357 188.28810422  62.73065493 154.60762371
  93.77741105 145.29212533 167.88930077 154.95828807  88.0076237
 161.15957646 135.83293774 166.18999679 183.05499586 123.07587338
  66.18386889 163.00906626 169.59816091 175.09850972 143.03451507
 151.35884645  78.34980117  50.84388146 123.60457438 123.3412721
  84.12598571  74.10013444 102.51592835 177.78795363 158.24634029
 159.92622744 108.16830474 101.69958105 164.157093   119.25230474
 132.52176043 184.62081409 144.67459452  74.14516437 183.58453094
 118.48364905 107.07282716 147.89010478 182.75345647  72.10342799
 171.7134494  154.94049522 116.87073472 137.95887351  83.79340542
 172.43859199 124.99892062 188.32588764 130.10988257  86.24251128
 180.87490995 183.53921686  75.48780467 164.39580732  79.78112552
  59.84752608 107.65505969 181.78978812  80.9985678  101.40952127]"|"[ 68.51848293  99.26435956 113.5449786   71.419195   189.7232866
 194.59289629 140.92367256 129.62219562 111.23422096  75.70992779
  84.41162471 191.8518966  159.00403538  63.00789012  80.92857301
 118.62817024  96.45160898 105.76530845 138.41931891  83.95986893
 196.9281107  178.98405754 181.92447616 181.6473752  182.49834012
 131.00521115 139.41752725 156.08876688 133.88646811 176.74439973
 141.45299556 197.7337785  198.1696201   72.64518653  84.65978127
 191.40851636 119.01954806  72.80416606 166.79546206  86.78141937
  91.44291611 198.2516996  108.75881966 115.23656122 125.28307823
 108.303609    72.96613908 179.44603089  94.07965043 149.8537121
 156.97251568  93.37006663 151.28401422 136.44959335 133.13568394
  77.09922517  74.51174467 180.29819383  75.88562743 143.14982032
 180.07119866 197.95475377 104.60898478 113.07331517 109.18639789
 197.26958969 127.95200827 157.09592083 119.58687989 197.13213644
  88.34540581  61.89607302 192.46801203  96.04057676  70.24581499]"|[ 96.3295877  117.66257785  71.97374479]|[18.45003786 20.1557548  20.46570084]
9|"[ 88.91261696 116.74811142  80.94942779 177.76462645 126.36446995
  81.02019027 123.15868222 182.06759791 173.9854349  119.6766397
 126.08468274 124.33609357 188.28810422  62.72457402 154.60762371
  93.77741105 145.29212533 167.88930077 154.95828807  88.0076237
 161.15957646 135.83293774 166.18999679 183.05499586 123.82557753
  66.18386889 163.00906626 169.59816091 175.09850972 143.03451507
 151.35884645  78.34980117  50.84388146 123.80214773 123.77024891
  84.12598571  74.10013444 102.74335928 176.80445227 158.24634029
 159.92622744 108.16830474 101.69958105 164.157093   119.25230474
 132.52176043 184.62081409 144.67459452  74.14516437 183.58453094
 118.48364905 107.07282716 147.89010478 182.75345647  72.10342799
 171.7134494  154.94049522 116.87073472 137.72575152  83.79340542
 172.43859199 124.99892062 188.57805891 130.10988257  86.24251128
 180.87490995 183.53921686  75.48780467 164.39580732  79.78112552
  59.84752608 108.0386246  181.78978812  80.9985678  101.68170386]"|"[ 69.47484975  99.26435956 114.0404418   71.419195   189.7232866
 194.59289629 140.92367256 128.62816372 111.23422096  76.70991833
  85.40920049 191.8518966  159.00403538  64.00787164  80.92857301
 118.62817024  96.45160898 105.76530845 138.41931891  83.95986893
 196.9281107  178.98405754 181.92447616 181.6473752  183.16011327
 131.00521115 139.41752725 156.08876688 133.88646811 176.74439973
 141.45299556 197.7337785  198.1696201   73.62547464  85.56309677
 191.40851636 119.01954806  73.77796027 166.61456131  86.78141937
  91.44291611 198.2516996  108.75881966 115.23656122 125.28307823
 108.303609    72.96613908 179.44603089  94.07965043 149.8537121
 156.97251568  93.37006663 151.28401422 136.44959335 133.13568394
  77.09922517  74.51174467 180.29819383  76.85807492 143.14982032
 180.07119866 197.95475377 103.64130216 113.07331517 109.18639789
 197.26958969 127.95200827 157.09592083 119.58687989 197.13213644
  88.34540581  62.81958693 192.46801203  96.04057676  71.20806061]"|[ 95.12307092 116.3589195   70.86538958]|[19.34128265 20.89769476 21.47641777]
