|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[ 87.62406298  69.7507216  188.84321289 176.23648287 121.18693919
 175.56316469  72.84469612 123.17250267 112.72304195 164.28477737
 193.52049417 140.55186296 107.43066845 124.02394357 145.35520789
 147.87133471 173.87196183 177.65399013 169.23954322 159.80004029
 177.09638729  56.39273982 108.65009251  69.7685952  110.25034409
  87.38390964 149.38850851 153.75796838  74.12575614 134.64496236
  61.23849677 165.92546464 187.60901115 186.54372872 124.9228164
 126.62955506  61.35633852 177.52060514 125.49315612 108.10971049
  56.30429352 152.69018926  79.63263741 176.10958261 156.74599452
 154.78305629 192.23487421 110.98773495 194.49399095 186.48451525
 169.3236858  172.09541121 195.17342922 188.38860395 186.34896504
 115.80064764  64.91914266 168.19220968  71.94315952 173.5582828
 180.20897041 192.63740738 154.9067431  115.94437825 153.39128967
 174.49393337 120.17447817  52.65271502 154.28629452  80.51783094
 100.24868341 192.54121624 143.09596362  70.96201776  74.86606574]"|"[199.64360301  60.02820284 167.52432567  97.60015761 117.61044192
 132.16318554 147.10637123 127.08160708 113.49875848  82.75329139
 148.78038321  75.44379426 146.578628    58.88867878 196.7903357
  65.99260355 127.50202049 152.39180012  52.94882831 154.78414864
  75.2515031   67.3706592  165.49510609 196.48776177 149.78861865
  57.20019437  65.14925348 165.98359842 145.59509991 121.23292376
 183.9694264   59.76952268  68.33577734 109.04004348 114.31496987
  99.28574245 168.95260387 158.28135955  82.46466461 198.39044093
  81.51841079 100.62445688  56.97182618 149.40353841 108.77418834
  60.45614206 176.7379473  160.23989665  68.34351812  66.29989998
  59.37422257 159.32340217  78.52211427  57.7276077  166.00706743
  73.80598373  54.20078088 182.9824555   94.13909597 123.7842093
 103.14775331  77.80693337 166.07410306 179.22800534 182.52150141
 183.69427644 111.7122211   55.26862333 137.94439292  58.29491773
  95.2752947  188.7250003  156.05122501 110.38969252  56.25099839]"|[148.52821871 171.56165739 165.06544485]|[12.18653806 14.54649149 12.82670022]
1|"[ 87.62406298  69.7507216  188.84321289 176.23648287 120.77994354
 175.56316469  72.84469612 123.17250267 112.72304195 164.28477737
 193.52049417 141.2083777  107.43066845 123.95904359 145.35520789
 147.39524004 173.87196183 177.65399013 169.39145059 159.80004029
 176.29791993  56.39273982 108.65009251  69.7685952  110.25034409
  87.38390964 150.28418696 153.75796838  74.12575614 134.64496236
  61.23849677 166.17571722 187.38080407 186.54372872 124.9228164
 126.62955506  61.35633852 177.52060514 125.49315612 108.10971049
  56.30429352 151.90869797  79.63263741 176.10958261 156.74599452
 154.84843065 192.23487421 110.98773495 194.28825966 186.58382892
 169.31759684 172.09541121 195.17342922 188.00827604 186.34896504
 115.80064764  65.00185029 168.19220968  71.94315952 173.5582828
 180.20897041 192.63740738 154.9067431  115.94437825 153.39128967
 174.49393337 120.17447817  52.65271502 154.28629452  80.51783094
 100.24868341 192.54121624 143.09596362  70.96201776  74.86606574]"|"[199.64360301  60.02820284 167.52432567  97.60015761 117.32000338
 132.16318554 147.10637123 127.08160708 113.49875848  82.75329139
 148.78038321  76.19810745 146.578628    59.88657056 196.7903357
  66.87199758 127.50202049 152.39180012  53.93722304 154.78414864
  75.8535412   67.3706592  165.49510609 196.48776177 149.78861865
  57.20019437  65.59395576 165.98359842 145.59509991 121.23292376
 183.9694264   60.73770326  69.30938995 109.04004348 114.31496987
  99.28574245 168.95260387 158.28135955  82.46466461 198.39044093
  81.51841079 101.24837304  56.97182618 149.40353841 108.77418834
  61.45400287 176.7379473  160.23989665  69.32212665  67.29495615
  60.37420404 159.32340217  78.52211427  58.65245941 166.00706743
  73.80598373  53.70766888 182.9824555   94.13909597 123.7842093
 103.14775331  77.80693337 166.07410306 179.22800534 182.52150141
 183.69427644 111.7122211   55.26862333 137.94439292  58.29491773
  95.2752947  188.7250003  156.05122501 110.38969252  56.25099839]"|[149.74385975 172.88855317 165.36571782]|[13.06529675 15.24602532 14.29633832]
2|"[ 87.62406298  69.7507216  188.84321289 176.23648287 120.77994354
 175.56316469  72.84469612 123.36271708 112.72304195 164.28477737
 193.52049417 141.8046513  107.43066845 123.97849355 145.35520789
 147.3247505  173.87196183 177.65399013 169.53884485 159.80004029
 175.64881693  56.39273982 108.65009251  69.7685952  110.25034409
  87.38390964 150.94439714 153.75796838  73.37972031 134.64496236
  61.23849677 166.40337419 187.12360585 186.54372872 124.9228164
 126.62955506  61.35633852 177.52060514 126.33276928 108.10971049
  56.30429352 151.90869797  79.63263741 176.10958261 156.74599452
 155.09529916 192.23487421 110.98773495 194.06833346 186.13885743
 169.39474318 172.09541121 195.17342922 187.84264882 186.34896504
 115.80064764  65.00185029 169.14616237  71.94315952 173.5582828
 180.20897041 192.63740738 154.9067431  115.94437825 153.39128967
 174.49393337 120.17447817  52.26737229 154.28629452  80.51783094
 100.24868341 192.54121624 143.09596362  70.96201776  74.86606574]"|"[199.64360301  60.02820284 167.52432567  97.60015761 117.32000338
 132.16318554 147.10637123 126.61920198 113.49875848  82.75329139
 148.78038321  77.00088873 146.578628    60.88638139 196.7903357
  67.8695101  127.50202049 152.39180012  54.92630086 154.78414864
  76.61424173  67.3706592  165.49510609 196.48776177 149.78861865
  57.20019437  66.34503665 165.98359842 146.26100571 121.23292376
 183.9694264   61.71144466  70.27574862 109.04004348 114.31496987
  99.28574245 168.95260387 158.28135955  81.92147979 198.39044093
  81.51841079 101.24837304  56.97182618 149.40353841 108.77418834
  62.42305186 176.7379473  160.23989665  70.29764316  68.19050089
  61.37122382 159.32340217  78.52211427  59.63864784 166.00706743
  73.80598373  53.70766888 183.2824126   94.13909597 123.7842093
 103.14775331  77.80693337 166.07410306 179.22800534 182.52150141
 183.69427644 111.7122211   55.58723121 137.94439292  58.29491773
  95.2752947  188.7250003  156.05122501 110.38969252  56.25099839]"|[150.93056042 174.22788061 166.02393704]|[13.98276149 15.9214526  15.64420606]
3|"[ 87.62406298  69.7507216  188.84321289 176.23648287 120.77994354
 175.56316469  72.46371929 123.36271708 112.72304195 164.28477737
 193.52049417 142.61387639 107.43066845 123.95548789 145.35520789
 147.51573586 173.87196183 177.65399013 169.81562015 159.80004029
 175.12483656  56.39273982 108.65009251  69.7685952  110.25034409
  87.38390964 151.28732335 153.75796838  73.37972031 134.64496236
  61.23849677 166.61042015 186.85511029 186.54372872 124.9228164
 126.62955506  61.35633852 177.52060514 126.33276928 108.10971049
  56.30429352 151.90869797  79.63263741 176.10958261 156.74599452
 155.46968758 192.23487421 110.98773495 193.82219042 185.83061266
 169.5039298  172.09541121 195.17342922 187.65389762 186.34896504
 115.80064764  65.00185029 169.14616237  71.94315952 173.5582828
 180.20897041 191.79985233 154.9067431  115.94437825 153.39128967
 174.49393337 120.17447817  52.26737229 154.28629452  80.51783094
 100.24868341 192.54121624 143.09596362  70.96201776  74.86606574]"|"[199.64360301  60.02820284 167.52432567  97.60015761 117.32000338
 132.16318554 146.18178664 126.61920198 113.49875848  82.75329139
 148.78038321  77.58838747 146.578628    61.88611673 196.7903357
  68.85110298 127.50202049 152.39180012  55.88723553 154.78414864
  77.46597207  67.3706592  165.49510609 196.48776177 149.78861865
  57.20019437  67.284399   165.98359842 146.26100571 121.23292376
 183.9694264   62.68977587  71.23902954 109.04004348 114.31496987
  99.28574245 168.95260387 158.28135955  81.92147979 198.39044093
  81.51841079 101.24837304  56.97182618 149.40353841 108.77418834
  63.35032383 176.7379473  160.23989665  71.26687667  69.14180797
  62.36524508 159.32340217  78.52211427  60.62067278 166.00706743
  73.80598373  53.70766888 183.2824126   94.13909597 123.7842093
 103.14775331  78.3532863  166.07410306 179.22800534 182.52150141
 183.69427644 111.7122211   55.58723121 137.94439292  58.29491773
  95.2752947  188.7250003  156.05122501 110.38969252  56.25099839]"|[152.09088423 175.56777059 166.7827787 ]|[14.93336585 16.59576324 16.93809916]
4|"[ 87.62406298  69.7507216  188.84321289 176.23648287 120.77994354
 175.56316469  72.46371929 123.36271708 112.72304195 164.28477737
 193.52049417 143.42576505 107.43066845 123.94440036 145.35520789
 147.70758562 173.87196183 177.65399013 170.09971791 159.80004029
 174.43313248  56.39273982 108.65009251  69.7685952  110.25034409
  87.38390964 151.60213609 153.75796838  73.37972031 134.64496236
  61.23849677 166.83101603 186.43447789 186.54372872 124.9228164
 126.62955506  61.35633852 177.52060514 126.33276928 108.10971049
  56.30429352 151.90869797  79.63263741 176.10958261 156.74599452
 155.70152347 192.23487421 110.98773495 193.29397491 185.50422964
 169.57810088 172.80681384 194.6972254  187.37951093 186.34896504
 115.80064764  65.00185029 169.14616237  71.94315952 173.5582828
 180.20897041 190.94349611 154.9067431  115.94437825 153.39128967
 174.49393337 120.17447817  52.26737229 154.28629452  80.51783094
 100.24868341 192.54121624 143.09596362  70.96201776  74.86606574]"|"[199.64360301  60.02820284 167.52432567  97.60015761 117.32000338
 132.16318554 146.18178664 126.61920198 113.49875848  82.75329139
 148.78038321  78.17219977 146.578628    62.88605526 196.7903357
  69.83252729 127.50202049 152.39180012  56.84603085 154.78414864
  78.18815311  67.3706592  165.49510609 196.48776177 149.78861865
  57.20019437  68.2335528  165.98359842 146.26100571 121.23292376
 183.9694264   63.66514117  72.14626071 109.04004348 114.31496987
  99.28574245 168.95260387 158.28135955  81.92147979 198.39044093
  81.51841079 101.24837304  56.97182618 149.40353841 108.77418834
  64.32307874 176.7379473  160.23989665  72.11598701  70.08704557
  63.36249062 160.02618685  79.4014492   61.58229222 166.00706743
  73.80598373  53.70766888 183.2824126   94.13909597 123.7842093
 103.14775331  78.86967185 166.07410306 179.22800534 182.52150141
 183.69427644 111.7122211   55.58723121 137.94439292  58.29491773
  95.2752947  188.7250003  156.05122501 110.38969252  56.25099839]"|[153.22532984 176.90171233 167.60013886]|[15.91470838 17.28176575 18.19584411]
5|"[ 87.62406298  69.7507216  188.84321289 176.23648287 120.77994354
 175.56316469  72.46371929 123.36271708 112.72304195 164.98485863
 193.52049417 144.22794776 107.43066845 124.00733379 145.35520789
 148.02105816 173.87196183 177.65399013 170.15806785 159.80004029
 173.86184227  56.39273982 108.65009251  69.7685952  110.25034409
  87.38390964 151.75442758 153.75796838  73.37972031 134.64496236
  61.23849677 166.996863   185.91095625 186.54372872 124.9228164
 126.62955506  61.35633852 177.52060514 126.33276928 108.10971049
  56.30429352 151.90869797  79.63263741 176.10958261 156.74599452
 156.04060993 192.23487421 110.98773495 192.71631088 185.25633168
 169.72502417 172.80681384 193.94825822 187.02862359 186.34896504
 115.80064764  65.00185029 169.14616237  71.94315952 173.5582828
 180.20897041 190.21011885 154.9067431  115.94437825 153.39128967
 174.49393337 120.92485267  52.26737229 154.28629452  80.51783094
 100.24868341 192.54121624 143.09596362  70.96201776  74.86606574]"|"[199.64360301  60.02820284 167.52432567  97.60015761 117.32000338
 132.16318554 146.18178664 126.61920198 113.49875848  83.46735458
 148.78038321  78.76927841 146.578628    63.88407298 196.7903357
  70.78212455 127.50202049 152.39180012  57.84432704 154.78414864
  79.00890125  67.3706592  165.49510609 196.48776177 149.78861865
  57.20019437  69.22188842 165.98359842 146.26100571 121.23292376
 183.9694264   64.65129267  72.99827309 109.04004348 114.31496987
  99.28574245 168.95260387 158.28135955  81.92147979 198.39044093
  81.51841079 101.24837304  56.97182618 149.40353841 108.77418834
  65.26383396 176.7379473  160.23989665  72.93226164  71.05583172
  64.3516385  160.02618685  80.06405629  62.5187099  166.00706743
  73.80598373  53.70766888 183.2824126   94.13909597 123.7842093
 103.14775331  79.54949373 166.07410306 179.22800534 182.52150141
 183.69427644 111.05120816  55.58723121 137.94439292  58.29491773
  95.2752947  188.7250003  156.05122501 110.38969252  56.25099839]"|[154.37143166 178.22548842 168.45550079]|[16.88241216 17.98718537 19.42805999]
6|"[ 87.62406298  69.7507216  188.84321289 176.23648287 120.77994354
 175.56316469  72.46371929 123.36271708 112.72304195 165.91642405
 193.52049417 144.91321363 107.43066845 123.83093736 145.35520789
 148.38363819 173.87196183 177.65399013 170.22860794 159.80004029
 173.29782738  56.39273982 108.86258549  69.7685952  110.25034409
  87.38390964 152.0705971  153.75796838  73.37972031 134.64496236
  61.23849677 167.07745115 185.55077991 186.54372872 124.9228164
 126.62955506  61.35633852 177.52060514 126.33276928 108.10971049
  56.30429352 151.90869797  79.63263741 176.10958261 156.74599452
 156.36541283 192.23487421 110.98773495 192.33631265 185.02470597
 169.88823625 172.80681384 193.1440642  186.62332372 186.34896504
 115.80064764  65.00185029 169.14616237  71.94315952 173.5582828
 180.20897041 189.40927804 154.9067431  115.94437825 153.39128967
 174.49393337 120.92485267  52.26737229 154.19881588  80.51783094
 100.24868341 192.54121624 143.09596362  70.96201776  74.86606574]"|"[199.64360301  60.02820284 167.52432567  97.60015761 117.32000338
 132.16318554 146.18178664 126.61920198 113.49875848  83.83092832
 148.78038321  79.4975714  146.578628    64.86839219 196.7903357
  71.71407719 127.50202049 152.39180012  58.84183598 154.78414864
  79.83466587  67.3706592  164.5179435  196.48776177 149.78861865
  57.20019437  70.17059113 165.98359842 146.26100571 121.23292376
 183.9694264   65.64804015  73.93115732 109.04004348 114.31496987
  99.28574245 168.95260387 158.28135955  81.92147979 198.39044093
  81.51841079 101.24837304  56.97182618 149.40353841 108.77418834
  66.20961568 176.7379473  160.23989665  73.85724886  72.0286367
  65.33822951 160.02618685  80.65842317  63.4328937  166.00706743
  73.80598373  53.70766888 183.2824126   94.13909597 123.7842093
 103.14775331  80.14837101 166.07410306 179.22800534 182.52150141
 183.69427644 111.05120816  55.58723121 137.4521049   58.29491773
  95.2752947  188.7250003  156.05122501 110.38969252  56.25099839]"|[155.49406815 179.53624946 169.33638617]|[17.87724246 18.7165039  20.64216087]
7|"[ 87.62406298  69.7507216  188.84321289 176.23648287 120.77994354
 175.56316469  72.46371929 123.36271708 112.72304195 166.82662148
 193.52049417 145.55538863 107.43066845 123.63515543 145.35520789
 148.83522519 173.87196183 177.65399013 170.21907269 159.80004029
 172.7841655   56.39273982 108.86258549  69.7685952  110.25034409
  87.38390964 152.26259451 153.75796838  73.37972031 134.64496236
  61.23849677 167.30998922 185.42328877 186.54372872 124.9228164
 126.62955506  61.35633852 177.52060514 126.33276928 108.10971049
  56.30429352 151.90869797  79.63263741 176.10958261 156.74599452
 156.7664721  192.23487421 110.98773495 191.99165124 184.0250302
 169.94544013 172.80681384 192.30081222 186.20357476 186.34896504
 115.80064764  65.00185029 168.22870189  71.94315952 173.5582828
 180.20897041 188.72079856 154.9067431  115.94437825 153.39128967
 174.49393337 121.54950164  52.26737229 154.19881588  80.51783094
 100.24868341 192.54121624 143.09596362  70.96201776  74.86606574]"|"[199.64360301  60.02820284 167.52432567  97.60015761 117.32000338
 132.16318554 146.18178664 126.61920198 113.49875848  84.24510296
 148.78038321  80.26412946 146.578628    65.84903965 196.7903357
  72.60630429 127.50202049 152.39180012  59.84179052 154.78414864
  80.69265856  67.3706592  164.5179435  196.48776177 149.78861865
  57.20019437  71.15198656 165.98359842 146.26100571 121.23292376
 183.9694264   66.62062745  74.92299703 109.04004348 114.31496987
  99.28574245 168.95260387 158.28135955  81.92147979 198.39044093
  81.51841079 101.24837304  56.97182618 149.40353841 108.77418834
  67.12566779 176.7379473  160.23989665  74.79597593  72.00317419
  66.33659203 160.02618685  81.19594163  64.34053394 166.00706743
  73.80598373  53.70766888 182.88458568  94.13909597 123.7842093
 103.14775331  80.87362683 166.07410306 179.22800534 182.52150141
 183.69427644 111.83211383  55.58723121 137.4521049   58.29491773
  95.2752947  188.7250003  156.05122501 110.38969252  56.25099839]"|[156.59341883 180.83208042 170.23419904]|[18.8977463  19.47203161 21.84379811]
8|"[ 87.62406298  69.7507216  188.84321289 176.23648287 120.32082855
 175.56316469  72.46371929 123.36271708 112.72304195 167.69975269
 193.52049417 145.91935571 107.43066845 123.53982257 145.35520789
 149.079922   173.87196183 177.65399013 170.32680072 159.80004029
 172.20600081  56.39273982 108.86258549  69.7685952  110.25034409
  87.38390964 152.44732373 153.75796838  73.37972031 134.64496236
  61.63640169 167.42372918 184.8778401  186.54372872 124.9228164
 126.62955506  61.35633852 177.52060514 126.33276928 108.10971049
  56.30429352 151.90869797  79.63263741 176.10958261 156.74599452
 157.08278055 192.23487421 110.98773495 191.65955237 183.54382674
 170.12576174 173.8053127  191.60625459 186.05068958 186.34896504
 115.80064764  65.00185029 168.22870189  71.94315952 173.5582828
 180.20897041 187.88875341 154.9067431  116.75058518 153.39128967
 174.49393337 121.54950164  52.26737229 154.19881588  80.51783094
 100.24868341 192.54121624 143.09596362  70.96201776  74.86606574]"|"[199.64360301  60.02820284 167.52432567  97.60015761 117.51802717
 132.16318554 146.18178664 126.61920198 113.49875848  84.73258824
 148.78038321  81.19554128 146.578628    66.8444851  196.7903357
  73.57590393 127.50202049 152.39180012  60.83597092 154.78414864
  81.50857865  67.3706592  164.5179435  196.48776177 149.78861865
  57.20019437  72.13477602 165.98359842 146.26100571 121.23292376
 184.27219971  67.614138    75.76114126 109.04004348 114.31496987
  99.28574245 168.95260387 158.28135955  81.92147979 198.39044093
  81.51841079 101.24837304  56.97182618 149.40353841 108.77418834
  68.07432419 176.7379473  160.23989665  75.73922051  72.87978313
  67.32019974 159.97141436  81.91537871  65.3287779  166.00706743
  73.80598373  53.70766888 182.88458568  94.13909597 123.7842093
 103.14775331  81.42833474 166.07410306 178.63637168 182.52150141
 183.69427644 111.83211383  55.58723121 137.4521049   58.29491773
  95.2752947  188.7250003  156.05122501 110.38969252  56.25099839]"|[157.66966624 182.1116798  171.14283964]|[19.94258671 20.25473552 23.03726879]
9|"[ 87.62406298  69.7507216  189.73554081 176.23648287 120.32082855
 174.91776729  72.46371929 123.36271708 112.72304195 168.54596148
 193.52049417 146.5016315  107.43066845 123.44678184 145.35520789
 149.4325196  173.87196183 177.65399013 170.28398281 159.80004029
 171.41752244  56.39273982 108.86258549  69.7685952  110.25034409
  87.38390964 152.5946474  153.75796838  73.37972031 134.64496236
  61.63640169 167.65008672 184.48147459 186.54372872 124.9228164
 126.62955506  61.35633852 177.52060514 126.33276928 108.10971049
  56.30429352 151.90869797  79.63263741 176.10958261 156.74599452
 157.24054481 192.23487421 110.98773495 191.21249516 183.24473142
 170.13520806 173.8053127  191.04238351 185.75745463 186.34896504
 115.80064764  65.00185029 168.22870189  71.94315952 173.5582828
 180.20897041 187.24576634 154.9067431  116.75058518 153.39128967
 174.49393337 121.54950164  52.26737229 154.19881588  80.51783094
 100.24868341 192.54121624 143.09596362  70.96201776  74.5428645 ]"|"[199.64360301  60.02820284 167.97571339  97.60015761 117.51802717
 132.92703251 146.18178664 126.61920198 113.49875848  85.2654397
 148.78038321  82.00853261 146.578628    67.8401474  196.7903357
  74.51167897 127.50202049 152.39180012  61.83505382 154.78414864
  82.12364113  67.3706592  164.5179435  196.48776177 149.78861865
  57.20019437  73.12386436 165.98359842 146.26100571 121.23292376
 184.27219971  68.58818229  76.67923406 109.04004348 114.31496987
  99.28574245 168.95260387 158.28135955  81.92147979 198.39044093
  81.51841079 101.24837304  56.97182618 149.40353841 108.77418834
  69.06180099 176.7379473  160.23989665  76.63372587  73.83400637
  68.32015512 159.97141436  82.74124153  66.28481831 166.00706743
  73.80598373  53.70766888 182.88458568  94.13909597 123.7842093
 103.14775331  82.19421177 166.07410306 178.63637168 182.52150141
 183.69427644 111.83211383  55.58723121 137.4521049   58.29491773
  95.2752947  188.7250003  156.05122501 110.38969252  56.6324967 ]"|[158.72300992 183.37416348 172.05782614]|[21.01051325 21.06475711 24.2258813 ]
