|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[158.86227296 150.26773817  92.9664343   53.24901526 199.46409958
 199.13580951 128.14665266 132.3877543  100.90669623  77.18408447
  93.93826984 142.48922214 140.43253313 143.28892176 159.89114111
  57.80325884 118.82494508  67.62767415 166.99794129 123.5876002
 140.36664578 143.02362952  77.1177055  173.26131127 132.97149663
 116.59031791 199.77199464 186.20871083 167.44787211 193.31012694
 150.439284    55.19395109 191.69782748 172.32274317 198.61990114
 176.99089486  76.36704761  79.11013481 118.98680296 156.49312395
  75.47785934  57.96382445 109.07578322 180.51766249  55.88233879
 132.28572781 189.40413917 116.39902665 112.66697865  94.84231045
 114.72183064  92.34258605 123.7492451   94.88844216  52.78110435
  98.03467508  85.45296181  61.08302008 114.30619498  83.41468977
 100.26057734 164.89781327 165.57451935 191.64022693 198.96304934
 138.55900322 169.96039614 164.14239237  94.75366532 110.8509602
 141.55708555  82.96617538 150.54621139 122.00625253 123.46079213]"|"[110.46766737 137.35218072 150.8455113  138.85322336 194.81390941
 194.4334063  148.9005264  156.14053991 195.177579    68.82184317
 112.67796876 182.49168685 198.15837543 121.01223036  80.16044241
  69.67046629  72.79293127 135.75825052 168.531693   140.79959789
 142.61206995 119.22175292 162.05517928 156.54716132 183.49570507
 102.08732919 112.02479953 153.17860095  65.02056001 177.67695596
  78.24622385 153.37000511  55.05008116 150.46544404 107.30036037
 167.74545598 151.10826136 139.94111658  94.69507309  73.84761495
 152.81107494 184.7422439  103.35265918 147.34699103 146.68055026
 199.61794104  75.1683008  113.40731528 107.93009899  65.13861997
 195.36905554  52.41431537  60.07806536 191.75796518 159.01588848
  71.1770905  176.54039358  90.44508795 121.00805215 164.28321034
 132.96613858 146.33651324 169.92956941 168.9256139  141.54738054
 168.41497588 137.30533731 118.18679043  68.63074587 101.07465786
 165.86185432 182.27144002 113.93540718  66.0960356  135.5213582 ]"|[124.95500792]|[10.52002845]
1|"[158.86227296 150.26773817  92.9664343   53.24901526 199.46409958
 199.13580951 128.14665266 132.3877543  100.90669623  77.18408447
  93.93826984 142.48922214 140.43253313 143.28892176 159.89114111
  57.80325884 118.5956086   67.62767415 166.99794129 123.5876002
 140.36664578 143.02362952  77.1177055  173.26131127 132.97149663
 116.59031791 199.77199464 186.20871083 167.44787211 193.31012694
 150.439284    55.19395109 191.69782748 171.89837954 198.61990114
 176.99089486  76.36704761  79.11013481 118.98680296 156.49312395
  75.47785934  57.96382445 109.07578322 180.51766249  56.82663205
 132.28572781 189.40413917 116.39902665 112.66697865  95.04472644
 114.72183064  92.08773451 123.747046    94.88844216  52.78110435
  98.03467508  85.45296181  61.08302008 114.30619498  83.41468977
 100.26057734 164.89781327 165.57451935 191.64022693 198.96304934
 138.55900322 169.96039614 164.14239237  94.75366532 110.8509602
 141.55708555  82.96617538 150.54621139 121.6046841  123.46079213]"|"[110.46766737 137.35218072 150.8455113  138.85322336 194.81390941
 194.4334063  148.9005264  156.14053991 195.177579    68.82184317
 112.67796876 182.49168685 198.15837543 121.01223036  80.16044241
  69.67046629  73.76627848 135.75825052 168.531693   140.79959789
 142.61206995 119.22175292 162.05517928 156.54716132 183.49570507
 102.08732919 112.02479953 153.17860095  65.02056001 177.67695596
  78.24622385 153.37000511  55.05008116 149.55995218 107.30036037
 167.74545598 151.10826136 139.94111658  94.69507309  73.84761495
 152.81107494 184.7422439  103.35265918 147.34699103 146.35144508
 199.61794104  75.1683008  113.40731528 107.93009899  66.1179196
 195.36905554  53.38129557  61.07806294 191.75796518 159.01588848
  71.1770905  176.54039358  90.44508795 121.00805215 164.28321034
 132.96613858 146.33651324 169.92956941 168.9256139  141.54738054
 168.41497588 137.30533731 118.18679043  68.63074587 101.07465786
 165.86185432 182.27144002 113.93540718  67.01186462 135.5213582 ]"|[126.37410485]|[11.00599544]
2|"[158.86227296 150.26773817  92.9664343   53.24901526 199.46409958
 199.13580951 128.14665266 132.3877543  100.90669623  77.18408447
  93.93826984 142.48922214 140.43253313 143.28892176 159.89114111
  57.80325884 118.26619277  67.62767415 166.99794129 123.5876002
 140.36664578 143.02362952  77.75233198 173.26131127 132.97149663
 116.59031791 198.88170225 185.22151117 167.44787211 193.31012694
 150.439284    55.19395109 191.69782748 171.89837954 198.61990114
 176.99089486  76.36704761  79.11013481 118.98680296 156.49312395
  75.47785934  57.96382445 109.07578322 180.51766249  56.82663205
 132.28572781 189.40413917 116.39902665 112.66697865  95.22238047
 115.18206255  92.01785157 123.36746696  94.88844216  52.78110435
  97.41754325  85.45296181  61.08302008 114.30619498  83.77113252
 100.26057734 164.89781327 165.57451935 192.11952298 198.96304934
 138.55900322 170.83662279 164.14239237  94.75366532 110.8509602
 141.55708555  82.96617538 150.54621139 121.37277102 123.46079213]"|"[110.46766737 137.35218072 150.8455113  138.85322336 194.81390941
 194.4334063  148.9005264  156.14053991 195.177579    68.82184317
 112.67796876 182.49168685 198.15837543 121.01223036  80.16044241
  69.67046629  74.71046342 135.75825052 168.531693   140.79959789
 142.61206995 119.22175292 162.8279983  156.54716132 183.49570507
 102.08732919 112.4801889  153.01911167  65.02056001 177.67695596
  78.24622385 153.37000511  55.05008116 149.55995218 107.30036037
 167.74545598 151.10826136 139.94111658  94.69507309  73.84761495
 152.81107494 184.7422439  103.35265918 147.34699103 146.35144508
 199.61794104  75.1683008  113.40731528 107.93009899  67.10201261
 196.25685428  54.37885076  62.00322226 191.75796518 159.01588848
  70.39023072 176.54039358  90.44508795 121.00805215 165.21752751
 132.96613858 146.33651324 169.92956941 169.80326719 141.54738054
 168.41497588 136.82343809 118.18679043  68.63074587 101.07465786
 165.86185432 182.27144002 113.93540718  67.98460113 135.5213582 ]"|[127.81157255]|[11.43458219]
3|"[158.86227296 150.26773817  92.9664343   53.24901526 199.46409958
 199.13580951 128.14665266 132.3877543  100.90669623  77.58075171
  94.89514723 142.48922214 140.43253313 143.28892176 159.89114111
  57.80325884 117.95235525  67.62767415 166.99794129 123.5876002
 140.36664578 143.02362952  77.75233198 173.26131127 132.97149663
 116.59031791 198.88170225 185.22151117 167.44787211 193.31012694
 150.439284    55.19395109 191.69782748 171.89837954 198.61990114
 176.99089486  76.36704761  79.11013481 118.98680296 156.49312395
  75.47785934  57.96382445 109.07578322 180.51766249  56.82663205
 132.28572781 189.40413917 116.39902665 112.66697865  96.0898903
 115.18206255  91.98335979 122.95410408  94.88844216  52.78110435
  97.41754325  85.45296181  61.08302008 114.30619498  83.77113252
 100.26057734 164.89781327 165.57451935 192.11952298 198.96304934
 138.55900322 170.83662279 164.14239237  94.75366532 110.8509602
 141.55708555  82.96617538 150.54621139 121.0893679  123.46079213]"|"[110.46766737 137.35218072 150.8455113  138.85322336 194.81390941
 194.4334063  148.9005264  156.14053991 195.177579    67.9038807
 112.38747667 182.49168685 198.15837543 121.01223036  80.16044241
  69.67046629  75.65994012 135.75825052 168.531693   140.79959789
 142.61206995 119.22175292 162.8279983  156.54716132 183.49570507
 102.08732919 112.4801889  153.01911167  65.02056001 177.67695596
  78.24622385 153.37000511  55.05008116 149.55995218 107.30036037
 167.74545598 151.10826136 139.94111658  94.69507309  73.84761495
 152.81107494 184.7422439  103.35265918 147.34699103 146.35144508
 199.61794104  75.1683008  113.40731528 107.93009899  67.59943264
 196.25685428  55.37825575  62.91378863 191.75796518 159.01588848
  70.39023072 176.54039358  90.44508795 121.00805215 165.21752751
 132.96613858 146.33651324 169.92956941 169.80326719 141.54738054
 168.41497588 136.82343809 118.18679043  68.63074587 101.07465786
 165.86185432 182.27144002 113.93540718  68.943602   135.5213582 ]"|[129.25520673]|[11.84191539]
4|"[158.86227296 150.26773817  92.9664343   53.24901526 199.46409958
 199.13580951 128.14665266 132.3877543  100.90669623  77.58075171
  94.89514723 143.43884872 140.43253313 143.28892176 159.89114111
  57.80325884 117.80093156  67.62767415 166.99794129 123.5876002
 140.36664578 143.02362952  77.75233198 173.26131127 132.97149663
 116.59031791 198.88170225 185.22151117 166.94831023 193.31012694
 150.439284    55.19395109 191.69782748 171.89837954 198.61990114
 176.99089486  76.36704761  79.11013481 118.22844    156.49312395
  75.47785934  57.96382445 109.07578322 180.51766249  56.82663205
 132.28572781 189.40413917 116.39902665 112.36841197  97.04296334
 115.18206255  91.94588385 122.69864919  94.88844216  52.78110435
  97.41754325  85.45296181  61.08302008 114.30619498  83.77113252
 100.26057734 164.89781327 165.57451935 192.11952298 198.96304934
 138.55900322 170.83662279 164.14239237  94.75366532 110.8509602
 141.55708555  82.96617538 150.54621139 120.6889848  123.46079213]"|"[110.46766737 137.35218072 150.8455113  138.85322336 194.81390941
 194.4334063  148.9005264  156.14053991 195.177579    67.9038807
 112.38747667 182.80507059 198.15837543 121.01223036  80.16044241
  69.67046629  76.64840907 135.75825052 168.531693   140.79959789
 142.61206995 119.22175292 162.8279983  156.54716132 183.49570507
 102.08732919 112.4801889  153.01911167  65.88683822 177.67695596
  78.24622385 153.37000511  55.05008116 149.55995218 107.30036037
 167.74545598 151.10826136 139.94111658  95.34690561  73.84761495
 152.81107494 184.7422439  103.35265918 147.34699103 146.35144508
 199.61794104  75.1683008  113.40731528 106.97571022  67.90217308
 196.25685428  56.37755328  63.88060961 191.75796518 159.01588848
  70.39023072 176.54039358  90.44508795 121.00805215 165.21752751
 132.96613858 146.33651324 169.92956941 169.80326719 141.54738054
 168.41497588 136.82343809 118.18679043  68.63074587 101.07465786
 165.86185432 182.27144002 113.93540718  69.85994985 135.5213582 ]"|[130.69737533]|[12.25440752]
5|"[158.86227296 150.26773817  92.9664343   53.38796655 199.46409958
 199.13580951 128.14665266 132.3877543  100.90669623  77.58075171
  94.89514723 143.43884872 140.43253313 143.28892176 159.89114111
  58.29871117 117.80093156  67.62767415 166.99794129 123.5876002
 140.36664578 143.02362952  77.75233198 173.26131127 132.97149663
 116.59031791 198.88170225 185.22151117 167.35947804 193.31012694
 150.439284    55.19395109 191.69782748 171.89837954 198.61990114
 176.99089486  76.36704761  79.11013481 118.22844    156.49312395
  75.47785934  57.96382445 109.07578322 180.51766249  56.82663205
 132.28572781 189.40413917 116.39902665 112.36841197  97.04296334
 115.18206255  91.91815845 122.49235891  94.88844216  52.78110435
  97.41754325  85.45296181  61.08302008 114.30619498  83.77113252
 100.26057734 164.89781327 165.57451935 192.11952298 199.72928061
 138.55900322 170.83662279 164.14239237  94.75366532 110.8509602
 141.55708555  82.96617538 150.54621139 120.47828211 123.46079213]"|"[110.46766737 137.35218072 150.8455113  137.86292415 194.81390941
 194.4334063  148.9005264  156.14053991 195.177579    67.9038807
 112.38747667 182.80507059 198.15837543 121.01223036  80.16044241
  70.53910142  76.64840907 135.75825052 168.531693   140.79959789
 142.61206995 119.22175292 162.8279983  156.54716132 183.49570507
 102.08732919 112.4801889  153.01911167  66.79839789 177.67695596
  78.24622385 153.37000511  55.05008116 149.55995218 107.30036037
 167.74545598 151.10826136 139.94111658  95.34690561  73.84761495
 152.81107494 184.7422439  103.35265918 147.34699103 146.35144508
 199.61794104  75.1683008  113.40731528 106.97571022  67.90217308
 196.25685428  57.37716885  64.85910045 191.75796518 159.01588848
  70.39023072 176.54039358  90.44508795 121.00805215 165.21752751
 132.96613858 146.33651324 169.92956941 169.80326719 142.18994543
 168.41497588 136.82343809 118.18679043  68.63074587 101.07465786
 165.86185432 182.27144002 113.93540718  70.83750004 135.5213582 ]"|[132.13282767]|[12.68969659]
6|"[158.86227296 150.26773817  92.9664343   52.60354262 199.46409958
 199.13580951 128.14665266 132.3877543  100.90669623  77.58075171
  94.89514723 143.43884872 140.43253313 143.28892176 159.89114111
  58.29871117 117.80093156  67.62767415 166.99794129 123.5876002
 140.36664578 143.02362952  77.12270147 173.26131127 132.97149663
 116.59031791 198.88170225 185.22151117 167.76118117 193.31012694
 150.439284    55.19395109 191.69782748 171.89837954 198.61990114
 176.99089486  76.36704761  79.11013481 118.22844    156.49312395
  75.47785934  57.96382445 109.07578322 180.51766249  56.82663205
 132.28572781 189.40413917 116.39902665 112.36841197  97.04296334
 114.23452129  91.83904287 122.08925665  94.88844216  52.78110435
  97.41754325  85.45296181  61.08302008 114.30619498  82.82650127
 100.26057734 164.89781327 165.57451935 192.11952298 199.72928061
 138.55900322 170.83662279 164.14239237  94.75366532 110.8509602
 141.55708555  82.96617538 150.54621139 120.14227876 123.46079213]"|"[110.46766737 137.35218072 150.8455113  138.48314919 194.81390941
 194.4334063  148.9005264  156.14053991 195.177579    67.9038807
 112.38747667 182.80507059 198.15837543 121.01223036  80.16044241
  70.53910142  76.64840907 135.75825052 168.531693   140.79959789
 142.61206995 119.22175292 162.05110356 156.54716132 183.49570507
 102.08732919 112.4801889  153.01911167  67.71416783 177.67695596
  78.24622385 153.37000511  55.05008116 149.55995218 107.30036037
 167.74545598 151.10826136 139.94111658  95.34690561  73.84761495
 152.81107494 184.7422439  103.35265918 147.34699103 146.35144508
 199.61794104  75.1683008  113.40731528 106.97571022  67.90217308
 195.93722079  58.3740343   65.77425539 191.75796518 159.01588848
  70.39023072 176.54039358  90.44508795 121.00805215 165.54566132
 132.96613858 146.33651324 169.92956941 169.80326719 142.18994543
 168.41497588 136.82343809 118.18679043  68.63074587 101.07465786
 165.86185432 182.27144002 113.93540718  71.77936083 135.5213582 ]"|[133.55760726]|[13.15874149]
7|"[158.86227296 150.26773817  92.9664343   52.60354262 199.46409958
 199.13580951 128.14665266 132.3877543  100.90669623  77.58075171
  95.23931765 143.43884872 140.43253313 143.28892176 159.89114111
  58.29871117 117.80093156  67.62767415 166.99794129 123.5876002
 140.36664578 143.02362952  77.12270147 173.26131127 132.97149663
 116.59031791 199.75262734 185.22151117 168.13472406 193.31012694
 150.439284    55.19395109 191.69782748 171.89837954 198.61990114
 176.99089486  76.36704761  79.11013481 118.22844    156.21648172
  75.47785934  57.96382445 109.07578322 180.51766249  56.82663205
 132.28572781 189.40413917 116.39902665 112.36841197  97.04296334
 114.23452129  91.80522648 121.6518283   93.99706111  52.61760026
  97.41754325  85.45296181  61.08302008 114.30619498  82.82650127
 100.26057734 164.89781327 165.57451935 192.83329867 199.72928061
 138.75112124 170.83662279 164.14239237  94.75366532 110.8509602
 141.55708555  82.96617538 150.54621139 119.89176055 123.46079213]"|"[110.46766737 137.35218072 150.8455113  138.48314919 194.81390941
 194.4334063  148.9005264  156.14053991 195.177579    67.9038807
 111.44856947 182.80507059 198.15837543 121.01223036  80.16044241
  70.53910142  76.64840907 135.75825052 168.531693   140.79959789
 142.61206995 119.22175292 162.05110356 156.54716132 183.49570507
 102.08732919 112.9716047  153.01911167  68.64178074 177.67695596
  78.24622385 153.37000511  55.05008116 149.55995218 107.30036037
 167.74545598 151.10826136 139.94111658  95.34690561  74.80858793
 152.81107494 184.7422439  103.35265918 147.34699103 146.35144508
 199.61794104  75.1683008  113.40731528 106.97571022  67.90217308
 195.93722079  59.37346237  66.67350866 192.21121989 160.00243114
  70.39023072 176.54039358  90.44508795 121.00805215 165.54566132
 132.96613858 146.33651324 169.92956941 170.50364156 142.18994543
 169.39634771 136.82343809 118.18679043  68.63074587 101.07465786
 165.86185432 182.27144002 113.93540718  72.74747272 135.5213582 ]"|[134.96860073]|[13.66775762]
8|"[158.86227296 150.26773817  92.9664343   52.60354262 199.46409958
 199.13580951 128.14665266 132.3877543  100.90669623  77.58075171
  95.23931765 143.43884872 140.43253313 143.28892176 159.89114111
  58.29871117 117.80093156  67.62767415 166.99794129 123.5876002
 140.36664578 143.02362952  77.12270147 173.26131127 132.97149663
 116.59031791 199.75262734 185.22151117 168.53183625 193.31012694
 150.439284    55.19395109 191.69782748 171.89837954 198.61990114
 176.99089486  76.36704761  79.11013481 118.22844    156.10026279
  75.47785934  57.96382445 109.07578322 180.51766249  56.82663205
 132.28572781 189.40413917 116.39902665 112.36841197  97.04296334
 114.23452129  91.82453767 121.23971037  93.99706111  52.61760026
  97.41754325  85.45296181  61.08302008 114.30619498  82.82650127
 100.26057734 164.89781327 165.57451935 192.83329867 199.72928061
 138.75112124 170.83662279 164.14239237  94.75366532 110.8509602
 141.55708555  82.96617538 150.54621139 119.44895701 123.46079213]"|"[110.46766737 137.35218072 150.8455113  138.48314919 194.81390941
 194.4334063  148.9005264  156.14053991 195.177579    67.9038807
 111.44856947 182.80507059 198.15837543 121.01223036  80.16044241
  70.53910142  76.64840907 135.75825052 168.531693   140.79959789
 142.61206995 119.22175292 162.05110356 156.54716132 183.49570507
 102.08732919 112.9716047  153.01911167  69.55955082 177.67695596
  78.24622385 153.37000511  55.05008116 149.55995218 107.30036037
 167.74545598 151.10826136 139.94111658  95.34690561  75.80181156
 152.81107494 184.7422439  103.35265918 147.34699103 146.35144508
 199.61794104  75.1683008  113.40731528 106.97571022  67.90217308
 195.93722079  60.37327589  67.58463917 192.21121989 160.00243114
  70.39023072 176.54039358  90.44508795 121.00805215 165.54566132
 132.96613858 146.33651324 169.92956941 170.50364156 142.18994543
 169.39634771 136.82343809 118.18679043  68.63074587 101.07465786
 165.86185432 182.27144002 113.93540718  73.64409138 135.5213582 ]"|[136.36335761]|[14.21971165]
9|"[158.86227296 150.26773817  93.82996018  52.60354262 199.46409958
 199.13580951 128.14665266 132.3877543  100.90669623  77.58075171
  95.23931765 143.43884872 140.43253313 143.28892176 159.89114111
  58.29871117 117.80093156  67.62767415 166.99794129 123.5876002
 140.36664578 143.02362952  77.12270147 173.26131127 132.97149663
 116.59031791 199.75262734 185.22151117 168.82464926 193.31012694
 150.439284    55.19395109 191.69782748 171.89837954 198.61990114
 176.32266832  76.36704761  79.11013481 118.64880377 155.92117761
  75.47785934  57.96382445 109.07578322 180.51766249  56.82663205
 132.28572781 189.40413917 116.39902665 112.36841197  97.04296334
 113.5053651   91.76998598 120.8612113   93.99706111  52.61760026
  97.41754325  85.45296181  61.08302008 114.30619498  82.82650127
 100.26057734 164.89781327 165.57451935 192.83329867 199.72928061
 138.75112124 170.83662279 164.14239237  94.75366532 110.8509602
 141.55708555  82.96617538 150.54621139 119.13188499 123.86339931]"|"[110.46766737 137.35218072 150.34120678 138.48314919 194.81390941
 194.4334063  148.9005264  156.14053991 195.177579    67.9038807
 111.44856947 182.80507059 198.15837543 121.01223036  80.16044241
  70.53910142  76.64840907 135.75825052 168.531693   140.79959789
 142.61206995 119.22175292 162.05110356 156.54716132 183.49570507
 102.08732919 112.9716047  153.01911167  70.51572054 177.67695596
  78.24622385 153.37000511  55.05008116 149.55995218 107.30036037
 168.48941383 151.10826136 139.94111658  94.43954994  76.78564513
 152.81107494 184.7422439  103.35265918 147.34699103 146.35144508
 199.61794104  75.1683008  113.40731528 106.97571022  67.90217308
 196.62156811  61.37178684  68.51024084 192.21121989 160.00243114
  70.39023072 176.54039358  90.44508795 121.00805215 165.54566132
 132.96613858 146.33651324 169.92956941 170.50364156 142.18994543
 169.39634771 136.82343809 118.18679043  68.63074587 101.07465786
 165.86185432 182.27144002 113.93540718  74.59249284 134.60598535]"|[137.74000078]|[14.81540752]
