,flock_gcm,avg_sheep_dist_from_gcm,furthest_sheep_from_gcm
0,"[129.35812200386673, 115.8992389996]",57.78666865247652,98.44089696523201
1,"[129.31248590586677, 116.07785115360004]",57.66423351152698,98.31617975680705
2,"[129.3033735773334, 116.28115215800001]",57.5311198853876,98.15098986977426
3,"[129.2730361082667, 116.50079738800001]",57.408835072107216,97.9839277533755
4,"[129.2865763838667, 116.69768327880001]",57.25600074316107,97.81196409021153
5,"[129.27238721120003, 116.90273186933334]",57.123599063372964,97.64855140987025
6,"[129.2831852878667, 117.12227062946666]",56.98772216651412,97.45942629260249
7,"[129.2894589277334, 117.34093694493335]",56.86916940846192,97.27365782350695
8,"[129.26576741400004, 117.53942041746669]",56.72166935706231,97.12142590577622
9,"[129.2414011342667, 117.82359473840002]",56.50338327717763,96.89846698286017
10,"[129.2077229346667, 118.10967420719999]",56.26062480890375,96.6794387827192
11,"[129.18560819053337, 118.41623833559999]",56.06304937099177,96.4373232762056
12,"[129.13501306226672, 118.75359424719997]",55.827673829745414,96.18603733165801
13,"[129.09579349146674, 119.09088079693335]",55.58543447362455,95.92896471823416
14,"[129.05848216453333, 119.42555030653334]",55.38172466699766,95.67348997761009
15,"[129.01519703360006, 119.76466642893334]",55.160816337651426,95.41823759159944
16,"[128.98602983906673, 120.11532636919998]",54.919480932098914,95.14600715675937
17,"[128.95397029000006, 120.4965979572]",54.67326707171565,94.85080381308974
18,"[128.8939060617334, 120.85940347866665]",54.4281579843378,94.58740053220946
19,"[128.82441516253337, 121.21740351853335]",54.1791301948678,94.33404634558902
20,"[128.76830217080004, 121.56066731266668]",53.94691368162381,94.08573901883047
21,"[128.69091600706673, 121.90945376399996]",53.727448230453476,93.84588266216046
22,"[128.67244501826667, 122.24731073919999]",53.500322944702695,93.58141880826925
23,"[128.6423680214667, 122.59339772093332]",53.259691166538026,93.31751201659768
24,"[128.61798417520006, 122.98230724240001]",53.022865627814795,93.01609584658281
25,"[128.56953243293336, 123.3365786272]",52.75859591187598,92.75750757905423
26,"[128.5449643049334, 123.70170000880002]",52.547193931618615,92.47673537602947
27,"[128.5080470750667, 124.09359443293332]",52.28751578629605,92.18228073373972
28,"[128.48561361520004, 124.47821592813331]",52.044034638249315,91.88581769272022
29,"[128.45366055346668, 124.83850443666667]",51.809995021511995,91.61522851400967
30,"[128.39373991586666, 125.24423494693333]",51.600537329548516,91.32559075536287
31,"[128.33834186226673, 125.63128935106668]",51.33968572432466,91.04908807683721
32,"[128.29664402240007, 126.03486345066669]",51.11261652336008,90.75198724242132
33,"[128.2018374297334, 126.43062157693336]",50.8709106561736,90.49412965749158
34,"[128.1487912821334, 126.86836636586668]",50.6371871133908,90.17863714158744
35,"[128.09160992853336, 127.29076324613338]",50.43613535363801,89.87887308342016
36,"[128.05431287880006, 127.73291720826674]",50.1831723030388,89.55233007861364
37,"[128.02983492733338, 128.17447701973342]",49.9732774965378,89.21936007929096
38,"[128.0091729673334, 128.60913906626672]",49.786386568860976,88.89039598789755
39,"[127.92887043466668, 128.9905295936]",49.60051308801867,88.64115381775525
40,"[127.87422528360005, 129.4426319908]",49.40714402932717,88.3216808140382
41,"[127.78970904960006, 129.9160985977333]",49.22255220188855,88.00552754032464
42,"[127.68443526120001, 130.36091346746664]",49.07145124581095,87.72619742576072
43,"[127.62194678720005, 130.82179857200003]",48.89298425037204,87.40880336888695
44,"[127.57072381720005, 131.2751180728]",48.78174830623751,87.09139039511113
45,"[127.51730338120007, 131.74518512853334]",48.65649053196826,86.76375305034901
46,"[127.4250286522667, 132.2100381558667]",48.519257540356506,86.46644745695689
47,"[127.37872885666671, 132.67978856253336]",48.40897116679714,87.01669935435852
48,"[127.30136032093333, 133.16930305879998]",48.26439181656992,86.69607018172147
49,"[127.19012015559998, 133.61035017093334]",48.1226190524782,86.43588622171538
50,"[127.0265723798667, 134.0791989982667]",47.97649547413684,86.19099936545189
51,"[126.89308986813332, 134.52250811119998]",47.85653576373857,85.94739400561893
52,"[126.76722902706673, 134.99282754306668]",47.79078207314412,85.68040171413966
53,"[126.6480215032, 135.44549398413335]",47.70033245309431,85.42396829681303
54,"[126.53964035293339, 135.87969383253335]",47.605144753456116,84.18180490741238
55,"[126.41779558106673, 136.33003900466665]",47.51375208160493,83.93291540204905
56,"[126.27192768746677, 136.81790570666672]",47.44238322261652,83.67485851996952
57,"[126.10963306120003, 137.27035762199995]",47.370990603547504,83.45614014036363
58,"[125.93765145960002, 137.77826725600005]",47.30028915782715,83.20618833069466
59,"[125.84653499506669, 138.27554695546667]",47.206391513281375,82.91044608911713
60,"[125.70683302319999, 138.77597528506666]",47.15948384768293,82.64838889349205
61,"[125.52783449040002, 139.27339918906665]",47.17701169181859,83.3205909175225
62,"[125.39360998520004, 139.7749908866667]",47.17530240771005,84.05535374035117
63,"[125.31321149146669, 140.26379067533333]",47.17012640855684,83.76951531701273
64,"[125.22051440146674, 140.77184549066664]",47.09808165833699,83.48104710101548
65,"[125.13506822039999, 141.26336956026665]",47.05853149459543,83.2010106654453
66,"[125.01411791133333, 141.7463611404]",47.04585128812214,82.95463360105431
67,"[124.86395555839998, 142.27028351666664]",47.025508825107224,82.70375171678398
68,"[124.73862240466667, 142.75892886226663]",47.016608519681455,82.4615428019536
69,"[124.61701095773334, 143.24304753226664]",47.05866078017699,82.2220419411989
70,"[124.47330139120002, 143.75923385720006]",47.112957790795605,81.97964212205606
71,"[124.28697368506664, 144.25845238239998]",47.14747645172865,80.78309240347835
72,"[124.10702759293338, 144.80112446199996]",47.21622172409178,80.55597694745961
73,"[123.9185495784, 145.25158590506672]",47.33122535223577,80.39946025482718
74,"[123.74902939213331, 145.7964237065333]",47.40164957025029,80.16950504452883
75,"[123.55463618693332, 146.3249055161333]",47.51693476817267,79.97249799551028
76,"[123.38420947866668, 146.79618506906667]",47.72736153878331,79.79751989823258
77,"[123.21737862746666, 147.22881127866665]",47.91499107174251,79.64730327968263
78,"[123.12185332613335, 147.71294696493325]",48.07012186268017,79.41172391614977
