|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[186.6204456  142.72238167  82.39398655 163.11194673 186.82823097
 133.3971141   62.0813797  133.3734054   55.22782895  97.87471676
 163.66196243  85.4199027  145.92571164 134.59165493  78.45568983
  56.40284049  65.64032229 124.9520921  193.10751403 101.81368805
 167.41377526 150.76229609 120.89577375 102.29231963 172.69511068
 120.34197447 140.9200102   89.94496127 140.51804454  75.66395733
 194.50256014  73.46542797 177.5194186   86.36359075  54.50270651
 119.72792606 148.07014999 121.55977259  94.18433714 175.80847952
  65.32711696  84.56105688 144.41522159 140.42139091  69.93215902
  53.86928895 178.54127139 101.72211221  84.61812712  95.46561783
  93.69797833 162.89574186 130.39090123 169.87014294 199.02489053
 156.20747692  54.55777071 106.16317952  92.3633061   55.75566711
 174.97533928 103.44719525 174.19525402 118.49555239  66.33588898
 168.37898493 160.95071411  85.23736973  53.15328971 157.70458943
 163.03277287 128.79655902 157.48129523  63.45075309 143.84787085]"|"[ 59.48978112 104.39526318  69.45520428 180.99597507  79.31815199
  99.86102622 198.67042355 121.90486825 150.74545409 161.0265896
  53.38345786 109.11381295 149.33357567 198.84588183 149.34442587
 134.77897289  66.63259066  95.6619859   64.63155733  84.16039048
  97.16655895 112.50243497  52.60286813 133.6922238   59.00112967
  55.12746351 184.23467528  73.11038486 128.13065375 171.85833662
  80.50426479 151.84733352 147.25696277 144.41905832 109.30274309
 140.92943442 137.62740663 110.22343596 112.81279618 138.63384396
  98.89356809  54.3979437  188.9948626  104.66880519  71.16898618
 141.47214807 137.14444484 117.00600835 182.071198   103.40587899
  93.44665461 197.71030181 140.10383031  69.63792843 178.15381986
  55.57918507  71.75138067  94.62121934  68.56729015 187.07558631
 160.59146296  59.79412381  61.21533962 149.6113959   93.85867671
 170.32407308 194.60291589 132.9623921  145.2516748  182.45889271
 176.62007831  61.49784029 180.96736227 162.37841932  66.66229493]"|[191.90667804 114.02355169 159.1379349 ]|[12.49665434 12.28358608 14.50503532]
1|"[186.080854   142.72238167  82.39398655 163.11194673 186.82823097
 133.3971141   62.0813797  133.3734054   55.22782895  97.87471676
 164.07696075  85.4199027  145.92571164 134.59165493  78.45568983
  56.40284049  65.64032229 124.9520921  192.23403703 101.81368805
 167.41377526 150.76229609 120.71157322 102.29231963 172.73417112
 119.7226105  140.9200102   89.94496127 140.51804454  75.66395733
 194.50256014  73.46542797 177.5194186   86.36359075  54.50270651
 119.72792606 148.07014999 121.55977259  94.18433714 176.60733507
  65.32711696  84.68961956 144.41522159 140.42139091  69.93215902
  53.86928895 179.13172939 101.72211221  84.61812712  95.46561783
  93.69797833 162.89574186 130.39090123 170.13719181 199.02489053
 156.45365419  54.55777071 106.16317952  92.25005475  55.75566711
 174.97533928 103.44339066 174.05295324 118.49555239  66.33588898
 168.37898493 160.95071411  85.23736973  53.15328971 157.70458943
 163.03277287 128.55831523 157.48129523  63.45075309 144.07359005]"|"[ 60.33170802 104.39526318  69.45520428 180.99597507  79.31815199
  99.86102622 198.67042355 121.90486825 150.74545409 161.0265896
  54.29328004 109.11381295 149.33357567 198.84588183 149.34442587
 134.77897289  66.63259066  95.6619859   65.11842273  84.16039048
  97.16655895 112.50243497  53.58575681 133.6922238   60.00036652
  55.91256749 184.23467528  73.11038486 128.13065375 171.85833662
  80.50426479 151.84733352 147.25696277 144.41905832 109.30274309
 140.92943442 137.62740663 110.22343596 112.81279618 138.03232105
  98.89356809  55.38964509 188.9948626  104.66880519  71.16898618
 141.47214807 137.95151321 117.00600835 182.071198   103.40587899
  93.44665461 197.71030181 140.10383031  70.60161142 178.15381986
  56.54840989  71.75138067  94.62121934  69.56085652 187.07558631
 160.59146296  60.79411657  62.20516309 149.6113959   93.85867671
 170.32407308 194.60291589 132.9623921  145.2516748  182.45889271
 176.62007831  62.46904567 180.96736227 162.37841932  67.63648733]"|[192.98278323 112.5699778  160.1139174 ]|[13.54164124 12.65388724 15.64409553]
2|"[185.71858403 142.72238167  82.70067402 163.11194673 186.82823097
 133.3971141   62.0813797  133.3734054   55.22782895  97.87471676
 164.30016909  85.4199027  145.92571164 134.59165493  78.45568983
  56.40284049  65.64032229 124.9520921  191.42994867 101.81368805
 167.41377526 150.76229609 120.28929947 102.29231963 172.82006818
 119.1022494  140.9200102   88.94759761 140.51804454  75.66395733
 194.50256014  73.46542797 177.5194186   86.36359075  53.53905617
 119.72792606 148.07014999 121.55977259  94.18433714 176.60733507
  65.32711696  84.5345284  144.41522159 140.42139091  69.93215902
  53.86928895 179.13172939 101.72211221  84.61812712  95.46561783
  93.69797833 162.89574186 130.39090123 170.96425012 199.02489053
 156.68529389  55.30326731 105.20363922  91.98944618  55.75566711
 174.97533928 103.17813503 174.04220166 119.13550403  66.33588898
 168.37898493 160.95071411  85.23736973  53.15328971 156.71536461
 163.03277287 128.38631196 157.48129523  63.45075309 144.45043268]"|"[ 61.26378124 104.39526318  70.40701455 180.99597507  79.31815199
  99.86102622 198.67042355 121.90486825 150.74545409 161.0265896
  55.2680508  109.11381295 149.33357567 198.84588183 149.34442587
 134.77897289  66.63259066  95.6619859   65.71293254  84.16039048
  97.16655895 112.50243497  54.49222517 133.6922238   60.99667053
  56.69688383 184.23467528  73.03781952 128.13065375 171.85833662
  80.50426479 151.84733352 147.25696277 144.41905832 109.03557643
 140.92943442 137.62740663 110.22343596 112.81279618 138.03232105
  98.89356809  56.37754525 188.9948626  104.66880519  71.16898618
 141.47214807 137.95151321 117.00600835 182.071198   103.40587899
  93.44665461 197.71030181 140.10383031  71.16372756 178.15381986
  57.52121154  71.08487124  94.33964802  70.52630107 187.07558631
 160.59146296  61.75829469  63.20510529 148.84298072  93.85867671
 170.32407308 194.60291589 132.9623921  145.2516748  182.31248832
 176.62007831  63.45414205 180.96736227 162.37841932  68.56276463]"|[194.04161515 111.12960823 161.06515528]|[14.60412652 13.07261806 16.80390004]
3|"[185.2742365  142.72238167  83.01421544 163.11194673 186.82823097
 133.3971141   62.0813797  133.3734054   55.22782895  97.87471676
 164.44952357  85.4199027  145.92571164 134.59165493  78.45568983
  56.40284049  65.64032229 124.9520921  190.92916034 101.81368805
 167.41377526 150.76229609 119.87822367 102.29231963 172.93373337
 118.51346132 140.9200102   88.70229766 140.31818107  75.66395733
 194.50256014  73.46542797 177.5194186   86.36359075  53.53905617
 119.72792606 148.07014999 121.55977259  94.18433714 176.60733507
  65.32711696  84.36453278 144.41522159 140.42139091  69.93215902
  53.86928895 179.13172939 101.72211221  84.46290195  95.46561783
  93.69797833 162.89574186 130.39090123 171.8801232  199.90742427
 157.05068314  55.30326731 105.20363922  91.85472878  55.75566711
 174.97533928 102.72646841 174.07568948 119.13550403  66.33588898
 168.37898493 160.95071411  85.23736973  53.15328971 156.71536461
 163.03277287 128.00762454 157.48129523  63.45075309 144.80751481]"|"[ 62.15963573 104.39526318  71.35658907 180.99597507  79.31815199
  99.86102622 198.67042355 121.90486825 150.74545409 161.0265896
  56.25683452 109.11381295 149.33357567 198.84588183 149.34442587
 134.77897289  66.63259066  95.6619859   66.57850232  84.16039048
  97.16655895 112.50243497  55.40382633 133.6922238   61.99018964
  57.50517127 184.23467528  74.00726675 129.1104775  171.85833662
  80.50426479 151.84733352 147.25696277 144.41905832 109.03557643
 140.92943442 137.62740663 110.22343596 112.81279618 138.03232105
  98.89356809  57.36299007 188.9948626  104.66880519  71.16898618
 141.47214807 137.95151321 117.00600835 183.05907711 103.40587899
  93.44665461 197.71030181 140.10383031  71.56519549 178.62406894
  58.45206636  71.08487124  94.33964802  71.51718513 187.07558631
 160.59146296  62.65048148  64.20454441 148.84298072  93.85867671
 170.32407308 194.60291589 132.9623921  145.2516748  182.31248832
 176.62007831  64.37966668 180.96736227 162.37841932  69.49683762]"|[195.08283171 109.70364737 161.99179538]|[15.68388022 13.53805937 17.98345001]
4|"[184.78764531 142.72238167  83.21572098 163.11194673 185.9341021
 133.3971141   62.0813797  133.3734054   55.22782895  98.78838256
 164.65604159  85.4199027  145.92571164 134.59165493  78.45568983
  56.40284049  65.64032229 124.9520921  190.28686119 101.81368805
 167.41377526 150.76229609 119.39305386 102.29231963 172.94486828
 118.05068418 140.9200102   88.2426859  140.31818107  75.66395733
 193.6406741   73.46542797 177.5194186   86.36359075  53.53905617
 119.72792606 148.07014999 121.55977259  94.18433714 176.60733507
  65.32711696  84.38164531 144.41522159 140.42139091  69.93215902
  53.86928895 179.13172939 101.72211221  84.46290195  95.46561783
  93.69797833 162.89574186 130.39090123 172.80397021 199.90742427
 156.9956182   55.30326731 105.20363922  91.70249369  55.75566711
 174.97533928 102.49750826 173.90424884 119.13550403  65.37830981
 168.37898493 160.95071411  85.23736973  53.15328971 156.71536461
 163.03277287 127.66508372 157.48129523  63.45075309 144.88986658]"|"[ 63.03326552 104.39526318  72.33607645 180.99597507  79.76596173
  99.86102622 198.67042355 121.90486825 150.74545409 160.62012336
  57.23527732 109.11381295 149.33357567 198.84588183 149.34442587
 134.77897289  66.63259066  95.6619859   67.34495636  84.16039048
  97.16655895 112.50243497  56.27824628 133.6922238   62.99012765
  58.39164593 184.23467528  74.89538669 129.1104775  171.85833662
  81.01136681 151.84733352 147.25696277 144.41905832 109.03557643
 140.92943442 137.62740663 110.22343596 112.81279618 138.03232105
  98.89356809  58.36284364 188.9948626  104.66880519  71.16898618
 141.47214807 137.95151321 117.00600835 183.05907711 103.40587899
  93.44665461 197.71030181 140.10383031  71.94795743 178.62406894
  59.45054913  71.08487124  94.33964802  72.50552944 187.07558631
 160.59146296  63.62391728  65.18973886 148.84298072  94.14684703
 170.32407308 194.60291589 132.9623921  145.2516748  182.31248832
 176.62007831  65.31916962 180.96736227 162.37841932  70.49344095]"|[196.10607728 108.29305946 162.89395557]|[16.78067944 14.04819833 19.18182681]
5|"[184.50291029 142.72238167  83.76611744 163.11194673 185.00125557
 133.3971141   62.0813797  133.3734054   55.22782895  98.78838256
 164.65746087  85.4199027  145.92571164 134.59165493  79.155179
  56.40284049  65.64032229 124.9520921  189.8386918  101.81368805
 167.41377526 150.76229609 119.03866526 102.29231963 172.87626564
 117.51644289 140.9200102   87.60464906 140.31818107  75.66395733
 192.85150268  73.46542797 177.5194186   86.36359075  53.53905617
 119.72792606 148.07014999 121.55977259  94.18433714 176.60733507
  65.32711696  84.48704196 144.41522159 140.42139091  69.93215902
  53.86928895 179.13172939 101.72211221  84.46290195  95.46561783
  93.69797833 162.89574186 130.39090123 173.80170855 199.90742427
 156.9403282   55.30326731 105.20363922  91.32551741  55.75566711
 174.97533928 102.32868928 173.83093747 119.13550403  65.37830981
 168.37898493 160.95071411  86.12742798  53.15328971 156.71536461
 163.03277287 127.4823007  158.14530696  63.45075309 144.94251962]"|"[ 63.99187179 104.39526318  73.17097987 180.99597507  80.12623571
  99.86102622 198.67042355 121.90486825 150.74545409 160.62012336
  58.23527631 109.11381295 149.33357567 198.84588183 148.62978268
 134.77897289  66.63259066  95.6619859   68.23890502  84.16039048
  97.16655895 112.50243497  57.21334453 133.6922238   63.98777171
  59.23697797 184.23467528  75.66539253 129.1104775  171.85833662
  81.6255398  151.84733352 147.25696277 144.41905832 109.03557643
 140.92943442 137.62740663 110.22343596 112.81279618 138.03232105
  98.89356809  59.3572739  188.9948626  104.66880519  71.16898618
 141.47214807 137.95151321 117.00600835 183.05907711 103.40587899
  93.44665461 197.71030181 140.10383031  71.88073977 178.62406894
  60.44901947  71.08487124  94.33964802  73.43175235 187.07558631
 160.59146296  64.60956435  66.18704796 148.84298072  94.14684703
 170.32407308 194.60291589 132.50654529 145.2516748  182.31248832
 176.62007831  66.3023229  180.21964011 162.37841932  71.49205381]"|[197.10224412 106.89859344 163.77173689]|[17.90213012 14.60088676 20.39817379]
6|"[184.12622643 142.72238167  84.15612372 163.11194673 184.15031932
 133.3971141   62.0813797  133.3734054   55.22782895  98.78838256
 164.71899372  85.4199027  146.72373339 134.59165493  79.155179
  56.40284049  65.64032229 124.9520921  189.18360979 101.81368805
 167.41377526 150.76229609 118.66594614 102.29231963 172.70697652
 116.99373923 140.9200102   87.09334428 140.31818107  75.66395733
 191.92470874  73.46542797 177.5194186   86.36359075  53.53905617
 119.72792606 148.07014999 121.55977259  94.18433714 176.60733507
  65.32711696  84.30233572 144.41522159 140.42139091  69.93215902
  53.86928895 179.13172939 101.72211221  84.46290195  95.46561783
  93.69797833 162.89574186 130.39090123 173.03339548 199.90742427
 156.81633851  55.30326731 105.20363922  91.30363376  55.75566711
 174.97533928 102.00662862 173.78030491 119.13550403  65.37830981
 168.37898493 160.95071411  86.12742798  53.15328971 156.71536461
 163.03277287 127.28002179 158.14530696  63.45075309 144.87855521]"|"[ 64.91821366 104.39526318  74.09179207 180.99597507  80.65150469
  99.86102622 198.67042355 121.90486825 150.74545409 160.62012336
  59.23338137 109.11381295 149.93620431 198.84588183 148.62978268
 134.77897289  66.63259066  95.6619859   68.9944628   84.16039048
  97.16655895 112.50243497  58.14128874 133.6922238   64.97333815
  60.08949241 184.23467528  76.52479198 129.1104775  171.85833662
  82.00111001 151.84733352 147.25696277 144.41905832 109.03557643
 140.92943442 137.62740663 110.22343596 112.81279618 138.03232105
  98.89356809  60.34006768 188.9948626  104.66880519  71.16898618
 141.47214807 137.95151321 117.00600835 183.05907711 103.40587899
  93.44665461 197.71030181 140.10383031  72.52081401 178.62406894
  61.44130298  71.08487124  94.33964802  74.43151288 187.07558631
 160.59146296  65.55628339  67.18576531 148.84298072  94.14684703
 170.32407308 194.60291589 132.50654529 145.2516748  182.31248832
 176.62007831  67.28165086 180.21964011 162.37841932  72.49000599]"|[198.07156957 105.52081185 164.62521259]|[19.04686073 15.19394486 21.63169688]
7|"[183.79923855 142.72238167  84.6979397  163.11194673 183.1729027
 133.3971141   62.0813797  133.3734054   55.22782895  98.78838256
 164.63995304  85.4199027  146.72373339 134.59165493  79.155179
  56.40284049  65.64032229 124.9520921  188.52938258 101.81368805
 167.41377526 150.76229609 118.15417181 102.29231963 172.50909097
 116.62492018 140.9200102   87.11055637 140.31818107  75.66395733
 190.95002197  73.46542797 177.5194186   86.36359075  53.53905617
 119.72792606 148.07014999 121.55977259  94.18433714 176.60733507
  65.32711696  84.15154041 144.41522159 140.42139091  69.93215902
  53.86928895 179.13172939 101.72211221  84.46290195  95.46561783
  93.69797833 162.79529403 130.39090123 172.03499437 199.90742427
 156.8410695   55.30326731 105.20363922  91.6892436   55.75566711
 174.97533928 101.65896957 173.53773484 119.13550403  65.37830981
 168.37898493 160.95071411  86.12742798  53.15328971 156.71536461
 163.03277287 127.07194601 158.14530696  63.45075309 145.18551191]"|"[ 65.86324219 104.39526318  74.93228922 180.99597507  80.86282612
  99.86102622 198.67042355 121.90486825 150.74545409 160.62012336
  60.23025276 109.11381295 149.93620431 198.84588183 148.62978268
 134.77897289  66.63259066  95.6619859   69.75076086  84.16039048
  97.16655895 112.50243497  59.00040866 133.6922238   65.95356328
  61.01899363 184.23467528  77.52464384 129.1104775  171.85833662
  82.22468484 151.84733352 147.25696277 144.41905832 109.03557643
 140.92943442 137.62740663 110.22343596 112.81279618 138.03232105
  98.89356809  61.32863269 188.9948626  104.66880519  71.16898618
 141.47214807 137.95151321 117.00600835 183.05907711 103.40587899
  93.44665461 196.71535948 140.10383031  72.46428767 178.62406894
  62.44099712  71.08487124  94.33964802  75.35417482 187.07558631
 160.59146296  66.49390441  68.1558992  148.84298072  94.14684703
 170.32407308 194.60291589 132.50654529 145.2516748  182.31248832
 176.62007831  68.25976357 180.21964011 162.37841932  73.44172947]"|[199.01177054 104.16012128 165.45445181]|[20.21563022 15.82523019 22.88164181]
8|"[183.23158257 142.72238167  85.41356701 163.11194673 182.21173013
 133.3971141   62.0813797  133.3734054   55.22782895  98.78838256
 164.50618123  85.4199027  146.72373339 134.59165493  79.155179
  56.40284049  65.97379124 125.86814063 187.89508077 101.81368805
 167.41377526 150.76229609 117.63082815 102.29231963 172.27965191
 116.1761832  140.9200102   87.29503727 140.31818107  75.66395733
 189.97668222  73.46542797 177.5194186   86.36359075  53.53905617
 119.72792606 148.07014999 121.55977259  94.18433714 176.60733507
  65.32711696  83.97302193 144.41522159 140.42139091  69.93215902
  53.86928895 179.13172939 101.72211221  84.46290195  95.46561783
  93.69797833 162.79529403 130.39090123 172.52386865 199.90742427
 156.99724084  55.30326731 105.20363922  92.05006398  55.75566711
 174.97533928 101.3217335  173.34000654 119.13550403  65.37830981
 168.37898493 160.95071411  86.12742798  53.15328971 156.71536461
 163.03277287 126.8423145  158.14530696  63.45075309 145.55266488]"|"[ 66.68650806 104.39526318  75.63077153 180.99597507  81.13877411
  99.86102622 198.67042355 121.90486825 150.74545409 160.62012336
  61.22126492 109.11381295 149.93620431 198.84588183 148.62978268
 134.77897289  67.57535175  96.06305334  70.52384638  84.16039048
  97.16655895 112.50243497  59.85253037 133.6922238   66.92688631
  61.9126575  184.23467528  78.50747994 129.1104775  171.85833662
  82.45405295 151.84733352 147.25696277 144.41905832 109.03557643
 140.92943442 137.62740663 110.22343596 112.81279618 138.03232105
  98.89356809  62.31256924 188.9948626  104.66880519  71.16898618
 141.47214807 137.95151321 117.00600835 183.05907711 103.40587899
  93.44665461 196.71535948 140.10383031  73.33664192 178.62406894
  63.4287271   71.08487124  94.33964802  76.28681015 187.07558631
 160.59146296  67.43532452  69.13615606 148.84298072  94.14684703
 170.32407308 194.60291589 132.50654529 145.2516748  182.31248832
 176.62007831  69.23304121 180.21964011 162.37841932  74.37189005]"|[199.92135589 102.81680007 166.25951718]|[21.40838103 16.49267917 24.14729174]
9|"[182.7910715  142.72238167  86.16790895 163.11194673 181.29597322
 133.3971141   62.0813797  133.3734054   55.22782895  98.78838256
 164.37415849  85.4199027  146.72373339 134.59165493  79.155179
  56.40284049  66.37857601 125.86814063 187.34373739 101.81368805
 167.41377526 150.76229609 117.23678851 102.29231963 172.03270589
 115.5975946  140.9200102   87.94101875 140.31818107  75.66395733
 189.13982478  73.46542797 177.5194186   86.36359075  53.53905617
 119.72792606 148.07014999 121.55977259  93.20945089 176.60733507
  66.10893328  83.99874748 144.41522159 140.42139091  70.09629729
  53.86928895 179.13172939 101.72211221  84.46290195  95.46561783
  93.69797833 162.79529403 130.39090123 171.80335566 199.90742427
 157.06659482  55.30326731 105.20363922  92.67274314  55.75566711
 174.97533928 101.13013343 173.06438201 119.13550403  65.37830981
 168.37898493 160.95071411  86.12742798  53.15328971 156.71536461
 163.03277287 126.60932357 158.14530696  63.45075309 145.70126182]"|"[ 67.58425523 104.39526318  76.28725325 180.99597507  81.54050696
  99.86102622 198.67042355 121.90486825 150.74545409 160.62012336
  62.21251161 109.11381295 149.93620431 198.84588183 148.62978268
 134.77897289  68.48976374  96.06305334  71.35812479  84.16039048
  97.16655895 112.50243497  60.77162382 133.6922238   67.89591555
  62.72827704 184.23467528  79.27083302 129.1104775  171.85833662
  83.00147384 151.84733352 147.25696277 144.41905832 109.03557643
 140.92943442 137.62740663 110.22343596 112.59009278 138.03232105
  98.27005928  63.31223829 188.9948626  104.66880519  72.15542352
 141.47214807 137.95151321 117.00600835 183.05907711 103.40587899
  93.44665461 196.71535948 140.10383031  74.03008336 178.62406894
  64.42631921  71.08487124  94.33964802  77.06928741 187.07558631
 160.59146296  68.41679761  70.09742144 148.84298072  94.14684703
 170.32407308 194.60291589 132.50654529 145.2516748  182.31248832
 176.62007831  70.20552012 180.21964011 162.37841932  75.3607879 ]"|[200.79952237 101.4910233  167.04046807]|[22.62444996 17.19433146 25.42796176]
