,flock_gcm,avg_sheep_dist_from_gcm,furthest_sheep_from_gcm
0,"[123.40923577480001, 119.64269890599995]",57.90183524117776,96.21990514796238
1,"[123.4305123538667, 119.81296161559995]",57.806248733423246,96.09289041472321
2,"[123.45461654573334, 119.97718676146663]",57.673939734077834,95.97257727790299
3,"[123.5148806866667, 120.15975535866662]",57.499429454978525,94.96345970049077
4,"[123.55901368466667, 120.34920696613332]",57.330734614825126,94.83382727226609
5,"[123.58377710506672, 120.54901216359995]",57.173472829096404,95.47190842384785
6,"[123.637925464, 120.77737209519996]",56.995890234609966,95.31560793045529
7,"[123.66953071840001, 120.95205745506665]",56.80539264430297,95.19062736349215
8,"[123.71803378253334, 121.15340386239998]",56.63040634982365,95.05372575445698
9,"[123.7556105928, 121.36750686453333]",56.44956128814352,94.90035585465989
10,"[123.82960028293337, 121.55636111573334]",56.264497383268306,94.78888843365027
11,"[123.8881071506667, 121.75864938946667]",56.064962141000215,94.65780316051683
12,"[123.95493116386666, 121.97917473520002]",55.89117879598742,94.51699551532025
13,"[123.98819098293335, 122.19824078879998]",55.67784508411632,94.35817245382454
14,"[124.00713400293336, 122.45080648293336]",55.46710729175805,94.16404669652924
15,"[124.06372016506667, 122.66893656653335]",55.26370917763366,94.02015627482449
16,"[124.08744818133336, 122.9025276510667]",55.06470745608531,93.84478617656391
17,"[124.13600493213339, 123.14740529053333]",54.839627061576685,93.67515206722706
18,"[124.16516869320003, 123.40794093493336]",54.594212436738765,93.48179376758617
19,"[124.24514197013333, 123.65767649813333]",54.37365091169536,93.32753344029291
20,"[124.31680874893335, 123.88598685853336]",54.132145020241154,93.18607194820171
21,"[124.37520331773335, 124.13489040159999]",53.88076792657798,93.02056255734594
22,"[124.41399203426666, 124.39791326719995]",53.65685636592537,92.83243341562826
23,"[124.49763475280002, 124.63064110439996]",53.423496619391884,92.6957965794831
24,"[124.54730872240002, 124.86080310719994]",53.16792775708343,92.54128784106639
25,"[124.62538518120003, 125.1187080492]",52.91486928407133,92.38204925845778
26,"[124.72097005893336, 125.36247333973331]",52.676936809851505,92.24516537250373
27,"[124.79433689066673, 125.58920497546666]",52.44622826705941,92.1089233685433
28,"[124.87787964080002, 125.81670246733336]",52.23948268062602,91.97866697838708
29,"[124.92112661320003, 126.06204693253333]",52.04768109341878,91.81017265416442
30,"[124.98683469106666, 126.30881210506668]",51.844026123747405,92.6158242587772
31,"[125.02950645706665, 126.51627426253332]",51.64436547696964,92.47722891035386
32,"[125.10990031760002, 126.7615316864]",51.475516079560045,92.3320491710776
33,"[125.16675480466665, 127.04001008920001]",51.300126800164996,92.14668689982761
34,"[125.22734900360001, 127.28665870759995]",51.110934350269915,91.98922811380002
35,"[125.32406348533334, 127.51471330213329]",50.95169381605179,91.86911452447903
36,"[125.35949652653333, 127.72864693666668]",50.73300708863358,91.72271354954259
37,"[125.38388056040004, 127.94049358959998]",50.56459307723429,91.57138565394466
38,"[125.39413590119999, 128.1519301216]",50.36316104613059,91.24393862749314
39,"[125.38859694493331, 128.40351195253334]",50.1793996840897,91.04173140908881
40,"[125.40443605986661, 128.5968792944]",50.01448159659592,90.89883074368646
41,"[125.4238834849333, 128.82079069026665]",49.85456823386179,90.73427623022323
42,"[125.41563902053332, 129.04880107613334]",49.64500662887819,90.54966522526374
43,"[125.37694969746666, 129.28735054199998]",49.4563561294559,90.33814916861542
44,"[125.31632236039998, 129.52804893146666]",49.25540295184094,90.1115167105959
