|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[187.75663951 115.46135845 188.4544675   97.3718767  159.2603615
 107.97467085  75.89370333  55.00538899  91.40628707  58.93891888
  55.42940839 138.59185345 193.02012381 149.33256863 127.42462462
 103.38999131  57.76004974  64.35462314  56.77295761  70.8705229
  58.601938   106.29828559 166.54126882 127.84808051  71.18059119
 173.80151553 140.04595824 159.1821651  192.65900081 197.54414542
  76.02934045 150.23836884 144.86742569 183.72968517  50.26643667
 110.7470286  112.28267087  70.12550436  89.61862122 127.61262706
  80.70293239  67.89752379  69.15886059 184.86549422 160.0927442
 193.80406811  91.97041761  98.37069345  73.9523743  136.59830036
 183.01831131 161.24458672 150.45540828 137.64486354 151.02554066
 156.07127302 129.76455581  51.54935631 108.42702346  73.2576802
 136.22158878 127.31973047  74.94652345  65.12947023 104.35297516
  56.23712298  98.72243769 178.81984259 121.09312906 127.7436075
 197.77018666 139.40919178 171.5671588  130.24564793  91.99735624]"|"[ 86.41309708 124.48930234 174.90304296  86.86828105 140.42588495
  67.71677376 134.97336059 120.22838137 108.19617577 104.71373976
 177.99356824  67.99975905 185.59100278 118.12644544 133.61531716
  65.79068251  92.67168849 109.23553899 131.85162793  83.40539452
 167.89992174 186.96691365 119.31246193 110.82808393  92.33876393
 112.77570971  92.28298092  80.17116698 164.32270591 183.3144075
 159.84511518 162.4921368  173.69265021 195.13777185 149.58300444
 191.79995283  75.48452939 162.78340215 104.06164769 123.51756417
 185.7552848   93.49975997  76.21769571  61.04151267 142.23362798
 160.75067775  72.289443    77.61507959 190.51951994  82.42389084
 129.00404395  64.45507957 179.60385865  56.57673004 125.62428722
 114.61398092  63.8222132   58.39886857  95.26185894 149.67305363
  78.04745473  60.22244283  67.88212891 113.91949807 106.34989459
 106.29825965 107.74319036  65.16508807 198.55081572 135.34711408
 131.37033667 143.29751841 181.5004178  142.09367655  78.7846703 ]"|[100.44442145 128.6408502  161.09029549]|[13.26140803 11.01691863 12.66246261]
1|"[187.75663951 114.60787627 188.4544675   97.3718767  159.2603615
 108.12427582  75.89370333  55.00538899  91.40628707  58.93891888
  55.42940839 138.01021375 193.02012381 150.02840577 127.42462462
 103.69444433  57.76004974  64.35462314  56.77295761  70.8705229
  58.601938   106.29828559 166.54126882 127.84808051  71.18059119
 173.80151553 140.04595824 159.1821651  192.65900081 197.54414542
  76.02934045 150.23836884 144.86742569 183.72968517  50.26643667
 110.05539912 112.23689344  70.12550436  89.61862122 127.61262706
  80.70293239  67.89752379  69.15886059 184.36564108 160.0927442
 193.80406811  92.18310417  98.71158948  73.9523743  136.59830036
 183.01831131 160.42423042 150.45540828 137.5713461  151.02554066
 156.07127302 129.59837286  51.54935631 108.76629349  73.2576802
 136.22158878 127.16494418  75.17809358  65.12947023 104.35297516
  56.23712298  98.72243769 178.82023947 121.09312906 127.7436075
 197.77018666 139.40919178 171.5671588  130.24564793  91.99735624]"|"[ 86.41309708 125.01042439 174.90304296  86.86828105 140.42588495
  68.70551961 134.97336059 120.22838137 108.19617577 104.71373976
 177.99356824  68.81320558 185.59100278 118.84464504 133.61531716
  66.74320986  92.67168849 109.23553899 131.85162793  83.40539452
 167.89992174 186.96691365 119.31246193 110.82808393  92.33876393
 112.77570971  92.28298092  80.17116698 164.32270591 183.3144075
 159.84511518 162.4921368  173.69265021 195.13777185 149.58300444
 191.07770033  76.48348105 162.78340215 104.06164769 123.51756417
 185.7552848   93.49975997  76.21769571  61.90762285 142.23362798
 160.75067775  73.26656348  78.5551806  190.51951994  82.42389084
 129.00404395  65.02693229 179.60385865  57.57402397 125.62428722
 114.61398092  64.80830813  58.39886857  96.20254797 149.67305363
  78.04745473  61.21039081  68.85494713 113.91949807 106.34989459
 106.29825965 107.74319036  64.16508815 198.55081572 135.34711408
 131.37033667 143.29751841 181.5004178  142.09367655  78.7846703 ]"|[ 99.06483419 130.14079571 162.38066841]|[13.85025351 11.02970367 13.42727484]
2|"[187.75663951 114.60787627 188.4544675   97.3718767  159.2603615
 108.31979778  75.89370333  55.00538899  91.40628707  58.93891888
  55.42940839 137.48031017 193.02012381 150.02840577 127.42462462
 103.70302641  57.76004974  64.35462314  56.77295761  70.8705229
  58.601938   106.29828559 166.54126882 127.84808051  71.18059119
 173.80151553 140.04595824 159.1821651  192.65900081 197.54414542
  76.02934045 150.23836884 144.86742569 183.72968517  50.26643667
 110.05539912 112.38915609  70.12550436  89.61862122 127.61262706
  80.70293239  67.89752379  69.15886059 185.23738015 160.0927442
 193.80406811  92.30762042  98.82343031  73.9523743  136.59830036
 183.01831131 159.82236313 150.45540828 137.57815931 151.02554066
 155.18443425 129.46682419  51.54935631 108.76629349  73.2576802
 136.22158878 127.05642802  75.44253889  65.12947023 104.35297516
  56.23712298  98.72243769 179.02081415 121.09312906 127.7436075
 197.77018666 139.40919178 171.5671588  130.24564793  91.99735624]"|"[ 86.41309708 125.01042439 174.90304296  86.86828105 140.42588495
  69.68621894 134.97336059 120.22838137 108.19617577 104.71373976
 177.99356824  69.66126347 185.59100278 118.84464504 133.61531716
  67.74317304  92.67168849 109.23553899 131.85162793  83.40539452
 167.89992174 186.96691365 119.31246193 110.82808393  92.33876393
 112.77570971  92.28298092  80.17116698 164.32270591 183.3144075
 159.84511518 162.4921368  173.69265021 195.13777185 149.58300444
 191.07770033  77.47182112 162.78340215 104.06164769 123.51756417
 185.7552848   93.49975997  76.21769571  61.41765245 142.23362798
 160.75067775  74.25878105  79.54890673 190.51951994  82.42389084
 129.00404395  65.82552841 179.60385865  58.57400076 125.62428722
 114.15190194  65.79961785  58.39886857  96.20254797 149.67305363
  78.04745473  62.20448549  69.81934781 113.91949807 106.34989459
 106.29825965 107.74319036  65.14476657 198.55081572 135.34711408
 131.37033667 143.29751841 181.5004178  142.09367655  78.7846703 ]"|[ 97.72484806 131.63947469 163.6559387 ]|[14.52437305 11.09264268 14.21701257]
3|"[187.75663951 114.60787627 188.4544675   97.3718767  159.2603615
 108.37676376  75.89370333  55.00538899  91.40628707  58.93891888
  55.42940839 136.98580733 193.5733335  150.02840577 127.42462462
 103.86105821  58.27740044  64.35462314  56.77295761  70.8705229
  58.601938   106.29828559 167.43809888 127.84808051  71.18059119
 173.80151553 140.04595824 159.1821651  192.65900081 198.11093693
  76.02934045 150.23836884 144.86742569 184.12536052  50.26643667
 110.05539912 112.37826833  70.12550436  89.61862122 127.61262706
  80.70293239  67.89752379  68.17205441 185.32731236 160.0927442
 193.80406811  92.390173    98.82343031  73.9523743  136.59830036
 183.01831131 159.24348922 150.45540828 137.60889512 151.02554066
 155.18443425 129.1658931   51.54935631 108.76629349  73.2576802
 136.22158878 126.8910551   75.55257374  65.12947023 104.35297516
  56.23712298  98.72243769 178.99897421 121.09312906 127.7436075
 197.77018666 139.40919178 171.5671588  130.24564793  92.21098661]"|"[ 86.41309708 125.01042439 174.90304296  86.86828105 140.42588495
  70.68459506 134.97336059 120.22838137 108.19617577 104.71373976
 177.99356824  70.53043949 186.42404482 118.84464504 133.61531716
  68.73060706  91.81591501 109.23553899 131.85162793  83.40539452
 167.89992174 186.96691365 118.87008669 110.82808393  92.33876393
 112.77570971  92.28298092  80.17116698 164.32270591 182.49054624
 159.84511518 162.4921368  173.69265021 196.0561623  149.58300444
 191.07770033  78.47176184 162.78340215 104.06164769 123.51756417
 185.7552848   93.49975997  76.37960175  62.41360034 142.23362798
 160.75067775  75.25536776  79.54890673 190.51951994  82.42389084
 129.00404395  66.64094548 179.60385865  59.57352831 125.62428722
 114.15190194  66.75326374  58.39886857  96.20254797 149.67305363
  78.04745473  63.1907166   70.81327554 113.91949807 106.34989459
 106.29825965 107.74319036  66.14452805 198.55081572 135.34711408
 131.37033667 143.29751841 181.5004178  142.09367655  79.76158487]"|[ 96.40118465 133.1349854  164.80272457]|[15.2300041  11.20860697 15.18390561]
4|"[187.75663951 114.60787627 188.4544675   97.3718767  159.2603615
 108.29242828  75.89370333  55.00538899  91.40628707  58.93891888
  55.42940839 136.47939729 194.52700291 150.02840577 127.42462462
 103.78252625  58.27740044  64.35462314  56.77295761  70.8705229
  58.601938   106.29828559 167.43809888 127.84808051  71.18059119
 173.80151553 140.04595824 159.1821651  192.65900081 198.11093693
  76.02934045 150.23836884 144.86742569 184.12536052  50.26643667
 110.05539912 112.37826833  70.12550436  89.61862122 127.61262706
  80.70293239  67.89752379  68.17205441 185.11582002 160.0927442
 193.80406811  92.33735611  99.16880297  73.9523743  136.59830036
 183.01831131 158.83856964 150.45540828 137.6267191  151.02554066
 155.18443425 128.7605199   51.54935631 108.76629349  73.2576802
 136.22158878 126.79438923  75.73629828  65.12947023 105.33842971
  56.23712298  97.77618716 178.99841684 121.09312906 127.7436075
 197.77018666 139.40919178 171.5671588  130.24564793  92.19795951]"|"[ 86.41309708 125.01042439 174.90304296  86.86828105 140.42588495
  71.68103247 134.97336059 120.22838137 108.19617577 104.71373976
 177.99356824  71.39273229 186.72490135 118.84464504 133.61531716
  69.72751866  91.81591501 109.23553899 131.85162793  83.40539452
 167.89992174 186.96691365 118.87008669 110.82808393  92.33876393
 112.77570971  92.28298092  80.17116698 164.32270591 182.49054624
 159.84511518 162.4921368  173.69265021 196.0561623  149.58300444
 191.07770033  78.47176184 162.78340215 104.06164769 123.51756417
 185.7552848   93.49975997  76.37960175  63.39098    142.23362798
 160.75067775  76.25397197  80.48737235 190.51951994  82.42389084
 129.00404395  67.55529778 179.60385865  60.57336945 125.62428722
 114.15190194  67.66741502  58.39886857  96.20254797 149.67305363
  78.04745473  64.18603349  71.79625331 113.91949807 106.5198338
 106.29825965 107.41975577  65.1445282  198.55081572 135.34711408
 131.37033667 143.29751841 181.5004178  142.09367655  80.76150001]"|[ 95.0857238  134.62537612 165.93141558]|[15.95081112 11.37812242 16.17186139]
5|"[187.75663951 114.60787627 188.4544675   97.3718767  159.2603615
 108.42046748  75.89370333  55.00538899  91.40628707  58.93891888
  55.42940839 135.97451554 194.52700291 150.02840577 127.42462462
 103.74180464  58.27740044  64.35462314  56.77295761  70.8705229
  58.601938   106.29828559 167.43809888 127.84808051  71.18059119
 173.80151553 140.04595824 158.49734787 192.65900081 198.11093693
  76.02934045 150.23836884 144.86742569 184.12536052  50.26643667
 110.20065443 112.52064032  70.12550436  89.61862122 127.61262706
  80.70293239  68.88524564  68.42085723 184.83088651 160.0927442
 194.447649    92.46777861  99.39571412  73.9523743  136.59830036
 183.01831131 158.39803754 150.45540828 137.53741107 151.02554066
 155.18443425 128.35584052  51.54935631 108.50306902  73.2576802
 136.22158878 126.49576885  75.92023512  65.12947023 105.33842971
  56.23712298  97.77618716 179.08041905 121.09312906 127.7436075
 197.77018666 139.40919178 171.5671588  130.24564793  92.09501455]"|"[ 86.41309708 125.01042439 174.90304296  86.86828105 140.42588495
  72.67280158 134.97336059 120.22838137 108.19617577 104.71373976
 177.99356824  72.2559208  186.72490135 118.84464504 133.61531716
  70.72668919  91.81591501 109.23553899 131.85162793  83.40539452
 167.89992174 186.96691365 118.87008669 110.82808393  92.33876393
 112.77570971  92.28298092  80.89988185 164.32270591 182.49054624
 159.84511518 162.4921368  173.69265021 196.0561623  149.58300444
 192.06709454  79.46157507 162.78340215 104.06164769 123.51756417
 185.7552848   93.34353724  77.3481559   64.34952728 142.23362798
 161.51605585  77.24543048  81.46128782 190.51951994  82.42389084
 129.00404395  68.45303464 179.60385865  61.5693735  125.62428722
 114.15190194  68.58187366  58.39886857  95.23781335 149.67305363
  78.04745473  65.14040547  72.77919137 113.91949807 106.5198338
 106.29825965 107.41975577  66.14116035 198.55081572 135.34711408
 131.37033667 143.29751841 181.5004178  142.09367655  81.75618707]"|[ 93.78577209 136.1087634  167.04193678]|[16.69922647 11.60074806 17.18019797]
6|"[187.75663951 114.60787627 188.4544675   97.3718767  159.2603615
 108.48613696  75.89370333  55.00538899  91.40628707  58.93891888
  55.42940839 135.51847463 194.52700291 150.02840577 127.42462462
 103.78453892  57.7454258   64.35462314  56.77295761  70.8705229
  58.601938   106.29828559 167.43809888 127.84808051  71.75828973
 172.96346572 140.04595824 157.96960102 192.65900081 197.87691674
  76.02934045 150.23836884 144.86742569 184.12536052  50.26643667
 110.20065443 112.52064032  70.12550436  89.61862122 127.61262706
  80.70293239  68.88524564  68.42085723 184.70170622 160.0927442
 195.34483227  92.45017092  99.39571412  73.9523743  136.59830036
 183.01831131 158.00619026 150.45540828 137.49355389 151.02554066
 155.18443425 127.9371885   51.54935631 108.50306902  73.2576802
 136.22158878 126.3236738   76.128119    65.12947023 105.33842971
  56.23712298  97.77618716 179.08029869 121.09312906 127.7436075
 197.77018666 139.40919178 171.5671588  130.24564793  92.09501455]"|"[ 86.41309708 125.01042439 174.90304296  86.86828105 140.42588495
  73.67064301 134.97336059 120.22838137 108.19617577 104.71373976
 177.99356824  73.14587962 186.72490135 118.84464504 133.61531716
  71.72577566  92.6626753  109.23553899 131.85162793  83.40539452
 167.89992174 186.96691365 118.87008669 110.82808393  91.52251372
 112.23011597  92.28298092  81.74928356 164.32270591 183.46277797
 159.84511518 162.4921368  173.69265021 196.0561623  149.58300444
 192.06709454  79.46157507 162.78340215 104.06164769 123.51756417
 185.7552848   93.34353724  77.3481559   65.3411484  142.23362798
 161.0743974   78.24527545  81.46128782 190.51951994  82.42389084
 129.00404395  69.37306492 179.60385865  62.56841131 125.62428722
 114.15190194  69.49002039  58.39886857  95.23781335 149.67305363
  78.04745473  66.12548582  73.75734488 113.91949807 106.5198338
 106.29825965 107.41975577  65.14116036 198.55081572 135.34711408
 131.37033667 143.29751841 181.5004178  142.09367655  81.75618707]"|[ 92.50124941 137.58345279 168.13422653]|[17.4738241  11.87514049 18.20825589]
7|"[187.75663951 114.60787627 187.6130961   97.3718767  159.2603615
 108.61111684  76.6446665   55.00538899  91.40628707  58.93891888
  55.42940839 134.87742539 194.52700291 150.02840577 127.42462462
 103.92606103  57.7454258   64.35462314  56.77295761  70.8705229
  58.601938   106.29828559 167.43809888 127.84808051  71.75828973
 172.96346572 140.46147083 157.39310446 192.65900081 197.19675196
  76.02934045 150.23836884 144.86742569 184.12536052  50.26643667
 110.20065443 112.52064032  70.12550436  89.61862122 127.61262706
  80.70293239  67.88535003  68.57641044 184.55526499 160.0927442
 195.34483227  92.59939629  99.7414364   73.9523743  136.59830036
 183.01831131 157.61765156 150.45540828 137.43831145 151.02554066
 155.18443425 127.80716191  51.54935631 108.50306902  73.2576802
 136.22158878 125.98625768  76.15046904  65.12947023 105.33842971
  56.23712298  97.77618716 179.22135319 121.09312906 127.7436075
 197.77018666 139.40919178 171.5671588  130.24564793  92.00670885]"|"[ 86.41309708 125.01042439 175.44350033  86.86828105 140.42588495
  74.66280229 135.63370468 120.22838137 108.19617577 104.71373976
 177.99356824  73.91337937 186.72490135 118.84464504 133.61531716
  72.71571075  92.6626753  109.23553899 131.85162793  83.40539452
 167.89992174 186.96691365 118.87008669 110.82808393  91.52251372
 112.23011597  93.19256835  82.56638313 164.32270591 184.19583724
 159.84511518 162.4921368  173.69265021 196.0561623  149.58300444
 192.06709454  79.46157507 162.78340215 104.06164769 123.51756417
 185.7552848   93.32908844  78.33598342  66.33036778 142.23362798
 161.0743974   79.23407866  82.3996247  190.51951994  82.42389084
 129.00404395  70.29449732 179.60385865  63.56688428 125.62428722
 114.15190194  70.48153089  58.39886857  95.23781335 149.67305363
  78.04745473  67.06684141  74.75709509 113.91949807 106.5198338
 106.29825965 107.41975577  66.13116219 198.55081572 135.34711408
 131.37033667 143.29751841 181.5004178  142.09367655  82.75228049]"|[ 91.23208009 139.04797643 169.20297905]|[18.27332973 12.19944052 19.2607615 ]
8|"[187.75663951 114.60787627 187.6130961   97.3718767  159.2603615
 108.64467007  76.6446665   55.00538899  91.40628707  58.93891888
  55.42940839 134.29305609 194.52700291 150.02840577 127.42462462
 104.11298619  57.7454258   63.58653519  56.77295761  70.8705229
  58.601938   106.29828559 167.43809888 127.84808051  71.75828973
 172.96346572 140.46147083 156.81097002 191.9550015  197.19675196
  76.02934045 150.23836884 144.86742569 184.12536052  50.26643667
 110.20065443 112.68374886  70.12550436  89.61862122 127.61262706
  80.70293239  67.88535003  68.85953415 184.38554595 160.0927442
 195.34483227  92.6782176  100.17568047  73.9523743  136.59830036
 183.01831131 157.01542904 149.47013611 137.36430081 151.02554066
 155.18443425 127.48450275  51.54935631 108.50306902  73.2576802
 136.22158878 125.62158462  76.33684364  65.12947023 106.0648769
  56.23712298  97.77618716 179.22090174 121.09312906 127.7436075
 197.77018666 139.40919178 171.5671588  130.24564793  91.97438102]"|"[ 86.41309708 125.01042439 175.44350033  86.86828105 140.42588495
  75.66223922 135.63370468 120.22838137 108.19617577 104.71373976
 177.99356824  74.72486722 186.72490135 118.84464504 133.61531716
  73.69808491  92.6626753  108.59519462 131.85162793  83.40539452
 167.89992174 186.96691365 118.87008669 110.82808393  91.52251372
 112.23011597  93.19256835  83.37947568 165.03290658 184.19583724
 159.84511518 162.4921368  173.69265021 196.0561623  149.58300444
 192.06709454  80.4481832  162.78340215 104.06164769 123.51756417
 185.7552848   93.32908844  79.29506682  67.31586027 142.23362798
 161.0743974   80.23096742  83.30041995 190.51951994  82.42389084
 129.00404395  71.0928256  179.43286522  64.56414174 125.62428722
 114.15190194  71.42804612  58.39886857  95.23781335 149.67305363
  78.04745473  67.99797704  75.73957385 113.91949807 107.2070561
 106.29825965 107.41975577  65.13116229 198.55081572 135.34711408
 131.37033667 143.29751841 181.5004178  142.09367655  83.75175781]"|[ 90.03449443 140.50110214 170.21632139]|[19.17653988 12.57149652 20.36671688]
9|"[187.75663951 114.60787627 187.6130961   97.3718767  159.2603615
 108.80756872  76.6446665   55.00538899  91.40628707  58.93891888
  55.42940839 133.85523264 194.52700291 150.02840577 127.42462462
 104.19600255  57.7454258   63.58653519  56.77295761  70.8705229
  58.601938   106.29828559 167.43809888 127.84808051  71.75828973
 172.96346572 140.46147083 156.24134409 191.9550015  197.19675196
  76.02934045 150.23836884 144.86742569 184.12536052  50.26643667
 110.20065443 112.68374886  70.12550436  89.61862122 127.61262706
  80.70293239  67.88535003  69.22294556 183.96097077 160.0927442
 195.34483227  92.77406373 100.41031582  73.9523743  136.59830036
 183.01831131 156.36075244 149.47013611 137.0555746  151.02554066
 155.18443425 127.38809882  51.54935631 108.50306902  73.2576802
 136.22158878 125.55013962  76.57369249  65.12947023 106.0648769
  56.23712298  97.77618716 179.02468579 121.09312906 127.7436075
 197.77018666 139.40919178 171.5671588  130.24564793  91.96560709]"|"[ 86.41309708 125.01042439 175.44350033  86.86828105 140.42588495
  76.64888203 135.63370468 120.22838137 108.19617577 104.71373976
 177.99356824  75.62392819 186.72490135 118.84464504 133.61531716
  74.6946331   92.6626753  108.59519462 131.85162793  83.40539452
 167.89992174 186.96691365 118.87008669 110.82808393  91.52251372
 112.23011597  93.19256835  84.20137975 165.03290658 184.19583724
 159.84511518 162.4921368  173.69265021 196.0561623  149.58300444
 192.06709454  80.4481832  162.78340215 104.06164769 123.51756417
 185.7552848   93.32908844  80.22669558  68.22125295 142.23362798
 161.0743974   81.22636358  84.27250341 190.51951994  82.42389084
 129.00404395  71.84873469 179.43286522  65.51529268 125.62428722
 114.15190194  72.42338841  58.39886857  95.23781335 149.67305363
  78.04745473  68.99542158  76.71112036 113.91949807 107.2070561
 106.29825965 107.41975577  66.111723   198.55081572 135.34711408
 131.37033667 143.29751841 181.5004178  142.09367655  84.75171932]"|[ 88.85436015 141.94185498 171.21062854]|[20.10243571 12.98890671 21.48981674]
