|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[172.15351711 148.85509946 147.43602747 101.79324379  55.19381595
 123.37570068 159.87687    100.54118135 181.08385627 185.01723044
 103.25414251  51.67346388 178.59476733 133.48194571 122.77525669
 113.89131222 153.16864288 145.28545343 170.72756852 193.74747721
  70.37521163  82.85367738 140.78461679 131.48613813 197.57371374
 142.09671063 139.65442445 101.49101326 168.53845356 124.40022705
 180.02725159  51.78701042 141.97653883 164.24217318 125.44159756
 106.69488354 142.19690254  92.06357479 123.02412155  91.41427982
  57.6588631  154.06119381 107.34441876 123.25567139 147.71744026
  94.304316   175.22280505 138.85869661 161.7143804   83.69678769
 148.84842752  58.64460073 190.76832571 120.02343274 181.9408847
 127.84000078 116.40394963 133.25465224 176.26756797  96.2367321
  98.99264211  92.88949816 159.34273144 170.03106223 114.50203892
 152.78735945  54.41531506  93.49477616 154.00174818 195.60607425
  81.13211571  99.00592001 167.39665226 109.84150994 156.4667732 ]"|"[ 50.72745638  97.43249544 189.28205648 119.74403859 176.8836814
 138.13019436 162.28142247 134.91487352 194.56530811 109.36589994
 191.78138252 161.39126287 156.13701712  98.47216151  66.17442908
 147.41992868  73.42295189 114.3534937  184.77787614  97.37446588
 108.81908602  96.80455873 138.85900724  86.81854957 149.99183255
 156.17751669  97.18568644 163.6589307   93.83708267  75.13941165
  71.95694144 183.19128828 182.06676767 179.23954911  85.06287392
  75.74127019  79.02746425  58.91362728 129.94483053  57.12932564
 175.38540894 172.2243054   94.02232476 102.82034174 118.71509948
 161.46596747 104.81454698 140.72057127 125.15497565 195.92212067
 102.61926458  53.10558383  78.7596911   62.29659578 149.7436491
 167.83076926 121.97300094 195.02211063  86.53731011 185.86252706
 145.9049394   81.9947777   69.20506645 141.0026979  190.38387945
 164.01569272 124.36089236 141.31454457 168.65143894 167.30695198
 151.30336512 158.91841117 114.32654552 159.21468105  55.27269599]"|[135.46665399]|[13.5369579]
1|"[172.73154936 148.85509946 147.43602747 101.79324379  55.19381595
 123.37570068 159.87687    100.54118135 181.08385627 185.01723044
 103.25414251  51.67346388 178.59476733 133.48194571 122.68356
 113.89131222 153.13193741 145.28545343 170.72756852 193.74747721
  70.37521163  82.85367738 140.78461679 131.48613813 197.57371374
 142.09671063 139.65442445 101.49101326 168.53845356 124.30715101
 180.02725159  51.78701042 141.97653883 163.8335301  126.18933256
 106.69488354 142.19690254  92.38387412 123.02412155  90.48068979
  57.6588631  154.06119381 107.34441876 123.25567139 147.71744026
  94.304316   175.22280505 138.85869661 161.7143804   83.69678769
 148.84842752  58.64460073 190.76832571 120.39492671 181.9408847
 127.84000078 116.40394963 133.25465224 176.26756797  96.2367321
  99.97582165  92.88949816 158.8251676  170.03106223 114.50203892
 152.78735945  54.41531506  93.49477616 154.00174818 195.60607425
  81.13211571  99.00592001 167.39665226 108.98343549 156.59179771]"|"[ 51.54347029  97.43249544 189.28205648 119.74403859 176.8836814
 138.13019436 162.28142247 134.91487352 194.56530811 109.36589994
 191.78138252 161.39126287 156.13701712  98.47216151  67.17021606
 147.41992868  74.42227802 114.3534937  184.77787614  97.37446588
 108.81908602  96.80455873 138.85900724  86.81854957 149.99183255
 156.17751669  97.18568644 163.6589307   93.83708267  76.13507066
  71.95694144 183.19128828 182.06676767 180.15224338  85.72687118
  75.74127019  79.02746425  59.86094367 129.94483053  56.77098272
 175.38540894 172.2243054   94.02232476 102.82034174 118.71509948
 161.46596747 104.81454698 140.72057127 125.15497565 195.92212067
 102.61926458  53.10558383  78.7596911   63.22503115 149.7436491
 167.83076926 121.97300094 195.02211063  86.53731011 185.86252706
 146.08758107  81.9947777   70.06071104 141.0026979  190.38387945
 164.01569272 124.36089236 141.31454457 168.65143894 167.30695198
 151.30336512 158.91841117 114.32654552 159.72820634  56.26484964]"|[136.8167914]|[14.19050894]
2|"[173.01748395 148.85509946 147.43602747 101.79324379  55.19381595
 123.37570068 159.87687    100.54118135 181.08385627 185.01723044
 103.25414251  51.67346388 178.59476733 133.48194571 122.76258092
 113.89131222 153.1943288  145.28545343 170.72756852 193.74747721
  70.37521163  82.85367738 140.78461679 131.48613813 197.57371374
 142.09671063 139.65442445 101.49101326 168.53845356 124.3498161
 180.02725159  51.78701042 141.97653883 163.8335301  126.18933256
 106.69488354 142.19690254  92.42278542 123.02412155  89.94351837
  57.6588631  154.06119381 107.34441876 123.25567139 147.71744026
  93.37327492 175.22280505 138.85869661 161.7143804   83.69678769
 148.84842752  58.64460073 190.76832571 120.58455969 181.9408847
 127.84000078 116.40394963 133.25465224 176.26756797  96.2367321
  99.97582165  92.88949816 158.70119173 170.03106223 114.50203892
 152.78735945  54.41531506  92.57957917 154.00174818 195.60607425
  81.13211571  99.00592001 167.39665226 108.98343549 156.56226556]"|"[ 52.50171943  97.43249544 189.28205648 119.74403859 176.8836814
 138.13019436 162.28142247 134.91487352 194.56530811 109.36589994
 191.78138252 161.39126287 156.13701712  98.47216151  68.16708902
 147.41992868  75.42032978 114.3534937  184.77787614  97.37446588
 108.81908602  96.80455873 138.85900724  86.81854957 149.99183255
 156.17751669  97.18568644 163.6589307   93.83708267  77.13416009
  71.95694144 183.19128828 182.06676767 180.15224338  85.72687118
  75.74127019  79.02746425  60.86018634 129.94483053  57.61445582
 175.38540894 172.2243054   94.02232476 102.82034174 118.71509948
 161.1010531  104.81454698 140.72057127 125.15497565 195.92212067
 102.61926458  53.10558383  78.7596911   64.20688619 149.7436491
 167.83076926 121.97300094 195.02211063  86.53731011 185.86252706
 146.08758107  81.9947777   71.05299628 141.0026979  190.38387945
 164.01569272 124.36089236 140.91153779 168.65143894 167.30695198
 151.30336512 158.91841117 114.32654552 159.72820634  57.26441347]"|[138.14707871]|[14.88357147]
3|"[173.38037739 148.85509946 147.43602747 101.79324379  55.19381595
 123.37570068 159.87687    100.54118135 181.08385627 185.01723044
 103.25414251  51.67346388 177.59864918 133.48194571 122.81802932
 113.89131222 153.2045122  145.28545343 170.72756852 193.74747721
  70.37521163  82.85367738 140.78461679 131.48613813 197.57371374
 142.09671063 139.65442445 101.49101326 168.53845356 124.44661175
 180.02725159  51.78701042 141.97653883 163.8335301  126.18933256
 106.69488354 142.23476517  92.46814496 123.02412155  89.63012637
  57.6588631  154.06119381 107.34441876 123.25567139 147.71744026
  93.37327492 175.22280505 138.85869661 161.7143804   83.69678769
 148.84842752  58.64460073 190.76832571 120.728641   181.9408847
 127.84000078 116.40394963 133.25465224 176.26756797  96.2367321
  98.99424422  92.88949816 158.49121635 170.03106223 114.50203892
 152.78735945  54.41531506  92.57957917 154.00174818 195.60607425
  81.13211571  99.00592001 167.39665226 108.98343549 156.60888626]"|"[ 53.43355008  97.43249544 189.28205648 119.74403859 176.8836814
 138.13019436 162.28142247 134.91487352 194.56530811 109.36589994
 191.78138252 161.39126287 156.04899084  98.47216151  69.16555058
 147.41992868  76.42027792 114.3534937  184.77787614  97.37446588
 108.81908602  96.80455873 138.85900724  86.81854957 149.99183255
 156.17751669  97.18568644 163.6589307   93.83708267  78.12946436
  71.95694144 183.19128828 182.06676767 180.15224338  85.72687118
  75.74127019  80.02674721  61.85915706 129.94483053  58.56407967
 175.38540894 172.2243054   94.02232476 102.82034174 118.71509948
 161.1010531  104.81454698 140.72057127 125.15497565 195.92212067
 102.61926458  53.10558383  78.7596911   65.19645204 149.7436491
 167.83076926 121.97300094 195.02211063  86.53731011 185.86252706
 145.89651633  81.9947777   72.03070295 141.0026979  190.38387945
 164.01569272 124.36089236 140.91153779 168.65143894 167.30695198
 151.30336512 158.91841117 114.32654552 159.72820634  58.26332614]"|[139.45581465]|[15.61651774]
4|"[173.77643031 148.85509946 147.43602747 101.79324379  55.19381595
 123.37570068 159.87687    100.54118135 181.08385627 185.01723044
 103.25414251  51.67346388 177.59864918 133.48194571 122.95570761
 113.89131222 153.01159213 145.28545343 170.72756852 193.74747721
  70.37521163  82.85367738 140.78461679 131.48613813 198.16314194
 142.09671063 139.65442445 101.49101326 168.53845356 124.57851118
 180.02725159  51.78701042 141.97653883 163.05015193 126.18933256
 106.69488354 142.19935588  92.46814496 123.02412155  89.63012637
  57.6588631  154.06119381 107.34441876 123.25567139 147.71744026
  92.37428571 175.22280505 138.85869661 161.7143804   83.69678769
 148.84842752  58.64460073 190.76832571 120.64239336 181.9408847
 127.84000078 116.40394963 133.25465224 176.26756797  96.2367321
  98.99424422  92.88949816 158.22859589 170.03106223 114.50203892
 152.78735945  54.41531506  92.57957917 154.88966451 195.60607425
  81.13211571  99.00592001 167.39665226 108.98343549 156.81335016]"|"[ 54.35177776  97.43249544 189.28205648 119.74403859 176.8836814
 138.13019436 162.28142247 134.91487352 194.56530811 109.36589994
 191.78138252 161.39126287 156.04899084  98.47216151  70.15602758
 147.41992868  77.4014924  114.3534937  184.77787614  97.37446588
 108.81908602  96.80455873 138.85900724  86.81854957 150.79965333
 156.17751669  97.18568644 163.6589307   93.83708267  79.12072746
  71.95694144 183.19128828 182.06676767 179.530698    85.72687118
  75.74127019  81.0261201   61.85915706 129.94483053  58.56407967
 175.38540894 172.2243054   94.02232476 102.82034174 118.71509948
 161.05610228 104.81454698 140.72057127 125.15497565 195.92212067
 102.61926458  53.10558383  78.7596911   66.19272577 149.7436491
 167.83076926 121.97300094 195.02211063  86.53731011 185.86252706
 145.89651633  81.9947777   72.99560216 141.0026979  190.38387945
 164.01569272 124.36089236 140.91153779 169.11144392 167.30695198
 151.30336512 158.91841117 114.32654552 159.72820634  59.24220024]"|[140.74182901]|[16.38863629]
5|"[174.17364367 148.85509946 147.43602747 101.79324379  55.19381595
 123.37570068 159.87687    100.54118135 181.08385627 185.01723044
 103.25414251  51.67346388 177.59864918 133.48194571 123.08844351
 113.89131222 152.90843097 145.28545343 170.72756852 193.74747721
  70.37521163  82.85367738 140.78461679 131.48613813 198.16314194
 142.09671063 139.65442445 101.49101326 168.53845356 124.7537764
 180.02725159  51.78701042 141.97653883 163.05015193 126.18933256
 106.69488354 142.05433913  92.46814496 123.02412155  89.63012637
  57.6588631  154.06119381 107.34441876 123.25567139 147.95280833
  92.37428571 175.22280505 138.85869661 161.7143804   83.69678769
 148.84842752  58.64460073 190.76832571 120.71628219 181.9408847
 127.84000078 116.40394963 133.25465224 176.26756797  96.2367321
  98.99424422  92.88949816 157.95470403 170.03106223 114.50203892
 152.78735945  54.41531506  92.57957917 154.88966451 195.60607425
  81.13211571  99.00592001 167.39665226 108.98343549 157.03525345]"|"[ 55.26950405  97.43249544 189.28205648 119.74403859 176.8836814
 138.13019436 162.28142247 134.91487352 194.56530811 109.36589994
 191.78138252 161.39126287 156.04899084  98.47216151  71.14717902
 147.41992868  78.39615705 114.3534937  184.77787614  97.37446588
 108.81908602  96.80455873 138.85900724  86.81854957 150.79965333
 156.17751669  97.18568644 163.6589307   93.83708267  80.10524872
  71.95694144 183.19128828 182.06676767 179.530698    85.72687118
  75.74127019  82.0155493   61.85915706 129.94483053  58.56407967
 175.38540894 172.2243054   94.02232476 102.82034174 119.68700579
 161.05610228 104.81454698 140.72057127 125.15497565 195.92212067
 102.61926458  53.10558383  78.7596911   67.18999226 149.7436491
 167.83076926 121.97300094 195.02211063  86.53731011 185.86252706
 145.89651633  81.9947777   73.95736266 141.0026979  190.38387945
 164.01569272 124.36089236 140.91153779 169.11144392 167.30695198
 151.30336512 158.91841117 114.32654552 159.72820634  60.21726892]"|[142.0043886]|[17.19853956]
6|"[174.54886235 148.85509946 147.43602747 101.79324379  55.19381595
 123.37570068 159.87687    100.54118135 181.08385627 185.01723044
 103.25414251  51.67346388 177.59864918 133.48194571 123.20958142
 113.89131222 152.95111972 145.28545343 170.72756852 193.74747721
  70.37521163  82.85367738 140.78461679 131.48613813 198.16314194
 142.09671063 139.65442445 101.49101326 168.53845356 124.7537764
 180.02725159  51.78701042 141.97653883 163.05015193 126.18933256
 106.69488354 141.8888318   92.46814496 123.02412155  89.63012637
  57.6588631  154.06119381 107.34441876 123.25567139 147.95280833
  92.37428571 175.22280505 138.85869661 161.7143804   83.69678769
 148.84842752  58.64460073 190.76832571 120.58038788 181.9408847
 127.84000078 116.40394963 133.25465224 176.26756797  96.2367321
  98.99424422  92.88949816 157.61792647 170.03106223 114.50203892
 152.78735945  54.41531506  92.57957917 154.88966451 195.60607425
  81.13211571  99.00592001 167.39665226 108.98343549 157.019008  ]"|"[ 56.19644037  97.43249544 189.28205648 119.74403859 176.8836814
 138.13019436 162.28142247 134.91487352 194.56530811 109.36589994
 191.78138252 161.39126287 156.04899084  98.47216151  72.1398147
 147.41992868  79.39524547 114.3534937  184.77787614  97.37446588
 108.81908602  96.80455873 138.85900724  86.81854957 150.79965333
 156.17751669  97.18568644 163.6589307   93.83708267  80.10524872
  71.95694144 183.19128828 182.06676767 179.530698    85.72687118
  75.74127019  83.00175786  61.85915706 129.94483053  58.56407967
 175.38540894 172.2243054   94.02232476 102.82034174 119.68700579
 161.05610228 104.81454698 140.72057127 125.15497565 195.92212067
 102.61926458  53.10558383  78.7596911   68.1807156  149.7436491
 167.83076926 121.97300094 195.02211063  86.53731011 185.86252706
 145.89651633  81.9947777   74.89894689 141.0026979  190.38387945
 164.01569272 124.36089236 140.91153779 169.11144392 167.30695198
 151.30336512 158.91841117 114.32654552 159.72820634  61.21713696]"|[143.2431137]|[18.04444742]
7|"[174.8583938  148.85509946 147.43602747 101.79324379  55.19381595
 123.37570068 159.87687    100.54118135 181.08385627 185.01723044
 103.25414251  51.67346388 177.59864918 133.48194571 123.29143623
 113.89131222 152.81164369 145.28545343 170.72756852 193.74747721
  70.37521163  82.85367738 140.78461679 131.48613813 198.16314194
 143.09446391 139.65442445 101.49101326 168.53845356 124.89978933
 180.02725159  51.78701042 141.97653883 163.05015193 126.18933256
 106.69488354 141.78333563  92.46814496 123.02412155  89.63012637
  57.6588631  154.06119381 107.34441876 123.25567139 147.95280833
  92.37428571 175.22280505 138.85869661 161.7143804   83.69678769
 148.84842752  58.64460073 190.76832571 120.46822784 181.9408847
 127.84000078 116.40394963 133.25465224 176.26756797  96.2367321
  98.99424422  92.88949816 157.47352802 170.03106223 114.50203892
 152.78735945  54.41531506  92.57957917 154.88966451 195.60607425
  81.13211571  99.00592001 167.39665226 108.98343549 157.04370594]"|"[ 57.14732958  97.43249544 189.28205648 119.74403859 176.8836814
 138.13019436 162.28142247 134.91487352 194.56530811 109.36589994
 191.78138252 161.39126287 156.04899084  98.47216151  73.13645897
 147.41992868  80.38547092 114.3534937  184.77787614  97.37446588
 108.81908602  96.80455873 138.85900724  86.81854957 150.79965333
 156.24451218  97.18568644 163.6589307   93.83708267  81.0945314
  71.95694144 183.19128828 182.06676767 179.530698    85.72687118
  75.74127019  83.99617757  61.85915706 129.94483053  58.56407967
 175.38540894 172.2243054   94.02232476 102.82034174 119.68700579
 161.05610228 104.81454698 140.72057127 125.15497565 195.92212067
 102.61926458  53.10558383  78.7596911   69.17440576 149.7436491
 167.83076926 121.97300094 195.02211063  86.53731011 185.86252706
 145.89651633  81.9947777   75.88846652 141.0026979  190.38387945
 164.01569272 124.36089236 140.91153779 169.11144392 167.30695198
 151.30336512 158.91841117 114.32654552 159.72820634  62.21683192]"|[144.45790464]|[18.92438093]
8|"[175.01105102 148.85509946 147.43602747 101.79324379  55.19381595
 123.37570068 160.25537173 100.54118135 181.08385627 185.01723044
 103.25414251  51.67346388 177.59864918 133.48194571 123.44453936
 113.89131222 152.81442743 145.28545343 170.72756852 193.74747721
  70.37521163  82.85367738 140.78461679 131.48613813 198.16314194
 143.09446391 139.65442445 101.49101326 168.53845356 124.89978933
 180.2290477   51.78701042 142.93545221 163.05015193 126.18933256
 106.69488354 141.78333563  92.46814496 123.02412155  89.63012637
  57.6588631  154.06119381 107.34441876 123.25567139 147.95280833
  92.37428571 175.22280505 138.85869661 161.7143804   83.69678769
 148.84842752  58.64460073 190.76832571 120.48458052 181.9408847
 127.84000078 116.40394963 133.25465224 176.26756797  96.2367321
  98.99424422  92.88949816 157.19545741 170.03106223 114.50203892
 152.78735945  54.41531506  92.57957917 154.88966451 195.60607425
  81.13211571  99.00592001 167.39665226 108.98343549 156.90204558]"|"[ 58.13560878  97.43249544 189.28205648 119.74403859 176.8836814
 138.13019436 161.35582189 134.91487352 194.56530811 109.36589994
 191.78138252 161.39126287 156.04899084  98.47216151  74.12466919
 147.41992868  81.38546705 114.3534937  184.77787614  97.37446588
 108.81908602  96.80455873 138.85900724  86.81854957 150.79965333
 156.24451218  97.18568644 163.6589307   93.83708267  81.0945314
  72.936369   183.19128828 182.35046669 179.530698    85.72687118
  75.74127019  83.99617757  61.85915706 129.94483053  58.56407967
 175.38540894 172.2243054   94.02232476 102.82034174 119.68700579
 161.05610228 104.81454698 140.72057127 125.15497565 195.92212067
 102.61926458  53.10558383  78.7596911   70.17427204 149.7436491
 167.83076926 121.97300094 195.02211063  86.53731011 185.86252706
 145.89651633  81.9947777   76.84902716 141.0026979  190.38387945
 164.01569272 124.36089236 140.91153779 169.11144392 167.30695198
 151.30336512 158.91841117 114.32654552 159.72820634  63.20674724]"|[145.64887849]|[19.83629172]
9|"[175.10194709 148.85509946 147.43602747 101.79324379  55.19381595
 123.37570068 160.25537173 100.54118135 181.08385627 185.01723044
 103.25414251  51.67346388 177.59864918 133.48194571 123.41929982
 114.82898021 152.65889356 145.28545343 170.72756852 193.74747721
  70.37521163  82.85367738 140.78461679 131.48613813 198.16314194
 143.09446391 139.65442445 101.49101326 168.53845356 125.03223079
 180.16600544  51.78701042 142.93545221 163.05015193 126.18933256
 106.69488354 141.68648652  92.46814496 123.02412155  89.63012637
  57.6588631  154.06119381 107.34441876 123.25567139 147.95280833
  92.37428571 175.22280505 138.85869661 161.7143804   83.21321153
 148.84842752  58.64460073 190.76832571 120.57996233 181.9408847
 127.84000078 116.40394963 133.25465224 176.26756797  96.2367321
  98.99424422  92.88949816 156.913137   170.03106223 114.50203892
 152.78735945  54.41531506  92.57957917 154.88966451 195.60607425
  81.13211571  99.00592001 167.39665226 108.98343549 156.95500221]"|"[ 59.13146916  97.43249544 189.28205648 119.74403859 176.8836814
 138.13019436 161.35582189 134.91487352 194.56530811 109.36589994
 191.78138252 161.39126287 156.04899084  98.47216151  75.12435062
 147.76746104  82.37329761 114.3534937  184.77787614  97.37446588
 108.81908602  96.80455873 138.85900724  86.81854957 150.79965333
 156.24451218  97.18568644 163.6589307   93.83708267  82.08572223
  73.93437986 183.19128828 182.35046669 179.530698    85.72687118
  75.74127019  84.99147665  61.85915706 129.94483053  58.56407967
 175.38540894 172.2243054   94.02232476 102.82034174 119.68700579
 161.05610228 104.81454698 140.72057127 125.15497565 196.79742297
 102.61926458  53.10558383  78.7596911   71.1697128  149.7436491
 167.83076926 121.97300094 195.02211063  86.53731011 185.86252706
 145.89651633  81.9947777   77.80834732 141.0026979  190.38387945
 164.01569272 124.36089236 140.91153779 169.11144392 167.30695198
 151.30336512 158.91841117 114.32654552 159.72820634  64.20534405]"|[146.81631597]|[20.77814613]
