|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[ 59.8267291  119.11970336 130.00007459 173.91990074 102.05879927
 152.69793082 161.19050763 164.16149937 172.23587724 163.06591591
  64.26314236 167.69862034  59.49216335 172.13093163 183.6575092
 179.54275929 101.30616581 189.72333113  52.52639342 187.06068168
 110.86191734 110.50219306  78.70968813  60.39626083  91.09730594
  85.39040114 174.92381372 122.53705522 117.57619852 144.7621108
 114.85074743 119.06615258  85.77269043  89.03917544  84.55752614
 169.97628656  58.36256293 146.68188311  94.43000241  72.1991845
 118.35293614 159.66213805 104.13977916  65.82877694 156.93058671
 127.56535894 154.23861193 133.0849268   53.98529521  79.91321132
 157.64556809  63.86563056  58.52968078 162.76238908 158.7998243
 101.22242019  97.74313746 142.29474203 133.76462735 132.63003223
 138.39254882  68.62613988 129.26065503 101.45452681 177.00944254
 144.66225233 172.1728909   59.36901881 127.09923367 164.21424487
  74.97231515 133.68756264 156.92991541 107.7987994  176.14341175
 138.49250697 105.13751862 174.79955307 133.70878267 102.66922938
  65.59994374 173.67854236 131.563286    62.81156738 125.65155045
 158.96434338  94.79049586 117.24143464 191.33389188  51.4694518
 177.07162171 163.15902954 101.49753259 173.66507666 132.95374574
 179.74761577 185.14504252 154.81796446 180.79374651 151.9038543 ]"|"[ 69.64587289 114.008442   153.23337063  79.64865844 167.07856531
 115.85661633 139.33583986 150.40555947  53.74986084 167.17960838
  87.35209892  61.39908182  79.75046471 145.12880659 122.22441081
 154.91205784 164.82904231 186.59736367 167.23882003  67.72003925
 137.42127835 121.62747746 158.61382941  94.6297621   56.21726021
 194.06847826 108.04313345 177.1841471   51.05370031  67.31193421
  82.21108573 104.20417695  70.53994922 115.46004884 177.61211743
 154.39268406 130.25009434 136.99666833 188.49836718 189.83609952
 185.22986633  75.85711804  62.33194565  59.77050979 126.40550751
  64.07551777  62.41012621  82.18878104  89.48499577 136.04413559
 140.07435537 133.40886249 127.60940468  68.95382928  94.57038435
 144.78740138 114.72815676  73.54404339 156.76645018  94.91031435
 113.2398857   58.60900244  91.39853993 165.75408935 112.16179997
 127.36347891 117.50880519  90.15911584  74.88850657 130.80469897
 187.47560644 124.3361754   53.24337421 123.33126106 107.24904052
  57.16087544  96.63658287 106.98895198 120.41771962 102.45449926
  65.89140118  88.09434813 111.38667652  83.52356795  72.42952769
 185.66799425 189.57352028 116.86836493 183.72812659 119.91813481
 184.33877603 191.92498379  53.85504145 199.89500692 146.37512185
 118.0534843  190.35619382  96.35243358 159.89841858 121.34465733]"|[161.82217541 139.99234537 183.88495001 184.64031705]|[10.65455192 11.15647439 11.99214407 13.89311239]
1|"[ 59.8267291  119.11970336 130.00007459 173.91990074 102.05879927
 152.69793082 161.19050763 164.16149937 171.70276274 163.06591591
  64.26314236 167.69862034  59.49216335 172.13093163 183.6575092
 180.3986597  101.30616581 189.72333113  52.52639342 187.06068168
 110.86191734 110.50219306  78.70968813  60.39626083  91.09730594
  86.30957732 174.92381372 122.53705522 117.57619852 144.7621108
 114.85074743 119.06615258  85.77269043  89.03917544  84.55752614
 169.97628656  58.36256293 146.68188311  94.43000241  72.1991845
 117.47449802 159.66213805 104.13977916  65.82877694 156.93058671
 127.56535894 154.23861193 133.0849268   53.98529521  79.91321132
 157.64556809  63.86563056  58.52968078 162.76238908 158.7998243
 101.22242019  97.74313746 142.29474203 133.76462735 133.63001868
 138.39254882  68.62613988 129.26065503 100.57156477 177.00944254
 144.66225233 172.1728909   59.36901881 127.09923367 164.21424487
  74.97231515 132.9539618  157.10158393 107.7987994  176.14341175
 138.49250697 105.13751862 174.79955307 133.70878267 102.66922938
  65.59994374 173.67854236 131.563286    62.81156738 125.65155045
 158.96434338  94.79049586 117.24143464 191.33389188  51.4694518
 177.07162171 163.15902954 101.49753259 173.66507666 132.95374574
 179.74761577 185.14504252 154.81796446 180.79374651 151.9038543 ]"|"[ 69.64587289 114.008442   153.23337063  79.64865844 167.07856531
 115.85661633 139.33583986 150.40555947  54.59590394 167.17960838
  87.35209892  61.39908182  79.75046471 145.12880659 122.22441081
 155.42919853 164.82904231 186.59736367 167.23882003  67.72003925
 137.42127835 121.62747746 158.61382941  94.6297621   56.21726021
 194.46232486 108.04313345 177.1841471   51.05370031  67.31193421
  82.21108573 104.20417695  70.53994922 115.46004884 177.61211743
 154.39268406 130.25009434 136.99666833 188.49836718 189.83609952
 185.70772246  75.85711804  62.33194565  59.77050979 126.40550751
  64.07551777  62.41012621  82.18878104  89.48499577 136.04413559
 140.07435537 133.40886249 127.60940468  68.95382928  94.57038435
 144.78740138 114.72815676  73.54404339 156.76645018  94.91552106
 113.2398857   58.60900244  91.39853993 166.22353374 112.16179997
 127.36347891 117.50880519  90.15911584  74.88850657 130.80469897
 187.47560644 123.6565948   54.22852898 123.33126106 107.24904052
  57.16087544  96.63658287 106.98895198 120.41771962 102.45449926
  65.89140118  88.09434813 111.38667652  83.52356795  72.42952769
 185.66799425 189.57352028 116.86836493 183.72812659 119.91813481
 184.33877603 191.92498379  53.85504145 199.89500692 146.37512185
 118.0534843  190.35619382  96.35243358 159.89841858 121.34465733]"|[163.03143581 141.35614483 183.38227544 185.22811211]|[11.54207054 11.78101503 10.57887896 15.27314752]
2|"[ 59.8267291  119.11970336 130.00007459 173.91990074 102.05879927
 152.69793082 161.19050763 164.16149937 171.15547302 163.06591591
  64.26314236 167.69862034  59.49216335 172.13093163 183.6575092
 180.3986597  101.30616581 189.72333113  52.52639342 187.06068168
 110.86191734 110.50219306  78.70968813  60.39626083  91.09730594
  86.30957732 174.92381372 122.53705522 117.57619852 144.7621108
 114.85074743 119.06615258  85.77269043  89.03917544  84.55752614
 169.97628656  58.36256293 146.68188311  94.43000241  72.1991845
 117.47449802 159.66213805 104.13977916  65.82877694 156.93058671
 127.56535894 154.23861193 133.0849268   53.98529521  79.91321132
 157.64556809  63.86563056  58.52968078 162.76238908 158.7998243
 101.22242019  97.74313746 142.29474203 133.76462735 133.63001868
 138.39254882  68.62613988 129.26065503 100.57156477 177.00944254
 144.66225233 172.1728909   59.36901881 127.09923367 164.21424487
  74.97231515 132.32641724 157.00053258 107.7987994  176.14341175
 138.49250697 105.13751862 174.79955307 133.70878267 102.66922938
  65.59994374 173.67854236 131.563286    62.81156738 125.65155045
 158.96434338  94.79049586 117.24143464 191.33389188  51.4694518
 177.07162171 163.15902954 101.14094575 173.66507666 132.95374574
 179.74761577 185.14504252 154.81796446 180.79374651 151.9038543 ]"|"[ 69.64587289 114.008442   153.23337063  79.64865844 167.07856531
 115.85661633 139.33583986 150.40555947  55.43284717 167.17960838
  87.35209892  61.39908182  79.75046471 145.12880659 122.22441081
 155.42919853 164.82904231 186.59736367 167.23882003  67.72003925
 137.42127835 121.62747746 158.61382941  94.6297621   56.21726021
 194.46232486 108.04313345 177.1841471   51.05370031  67.31193421
  82.21108573 104.20417695  70.53994922 115.46004884 177.61211743
 154.39268406 130.25009434 136.99666833 188.49836718 189.83609952
 185.70772246  75.85711804  62.33194565  59.77050979 126.40550751
  64.07551777  62.41012621  82.18878104  89.48499577 136.04413559
 140.07435537 133.40886249 127.60940468  68.95382928  94.57038435
 144.78740138 114.72815676  73.54404339 156.76645018  94.91552106
 113.2398857   58.60900244  91.39853993 166.22353374 112.16179997
 127.36347891 117.50880519  90.15911584  74.88850657 130.80469897
 187.47560644 124.43517544  55.22341019 123.33126106 107.24904052
  57.16087544  96.63658287 106.98895198 120.41771962 102.45449926
  65.89140118  88.09434813 111.38667652  83.52356795  72.42952769
 185.66799425 189.57352028 116.86836493 183.72812659 119.91813481
 184.33877603 191.92498379  52.92077927 199.89500692 146.37512185
 118.0534843  190.35619382  96.35243358 159.89841858 121.34465733]"|[164.19488097 142.69118756 183.82971894 185.88298174]|[12.48885211 12.46487242  9.14716868 16.62264586]
3|"[ 59.8267291  119.11970336 130.00007459 173.91990074 102.05879927
 152.69793082 161.19050763 164.16149937 170.64452175 163.06591591
  64.26314236 167.69862034  59.49216335 172.13093163 183.6575092
 180.3986597  101.30616581 189.72333113  52.52639342 187.06068168
 110.86191734 110.50219306  78.70968813  60.39626083  91.09730594
  86.30957732 174.92381372 122.53705522 117.57619852 144.7621108
 114.85074743 119.06615258  85.77269043  89.03917544  84.55752614
 169.97628656  58.36256293 146.68188311  94.43000241  72.1991845
 117.47449802 159.66213805 104.13977916  65.82877694 156.93058671
 127.56535894 154.23861193 133.0849268   53.98529521  79.91321132
 157.64556809  63.86563056  58.52968078 162.76238908 158.7998243
 101.22242019  97.74313746 142.29474203 133.76462735 133.63001868
 138.39254882  68.62613988 129.26065503 100.57156477 177.00944254
 144.66225233 172.1728909   59.16336857 127.09923367 164.21424487
  74.97231515 132.32641724 156.96414584 107.7987994  176.14341175
 138.58372355 105.13751862 174.79955307 133.70878267 102.66922938
  65.59994374 173.67854236 131.563286    62.81156738 125.65155045
 158.96434338  94.79049586 117.24143464 191.33389188  51.4694518
 177.07162171 163.15902954 101.14094575 173.66507666 132.95374574
 179.74761577 185.14504252 154.81796446 180.79374651 151.9038543 ]"|"[ 69.64587289 114.008442   153.23337063  79.64865844 167.07856531
 115.85661633 139.33583986 150.40555947  56.29245684 167.17960838
  87.35209892  61.39908182  79.75046471 145.12880659 122.22441081
 155.42919853 164.82904231 186.59736367 167.23882003  67.72003925
 137.42127835 121.62747746 158.61382941  94.6297621   56.21726021
 194.46232486 108.04313345 177.1841471   51.05370031  67.31193421
  82.21108573 104.20417695  70.53994922 115.46004884 177.61211743
 154.39268406 130.25009434 136.99666833 188.49836718 189.83609952
 185.70772246  75.85711804  62.33194565  59.77050979 126.40550751
  64.07551777  62.41012621  82.18878104  89.48499577 136.04413559
 140.07435537 133.40886249 127.60940468  68.95382928  94.57038435
 144.78740138 114.72815676  73.54404339 156.76645018  94.91552106
 113.2398857   58.60900244  91.39853993 166.22353374 112.16179997
 127.36347891 117.50880519  91.13774139  74.88850657 130.80469897
 187.47560644 124.43517544  56.22274798 123.33126106 107.24904052
  58.15670652  96.63658287 106.98895198 120.41771962 102.45449926
  65.89140118  88.09434813 111.38667652  83.52356795  72.42952769
 185.66799425 189.57352028 116.86836493 183.72812659 119.91813481
 184.33877603 191.92498379  52.92077927 199.89500692 146.37512185
 118.0534843  190.35619382  96.35243358 159.89841858 121.34465733]"|[165.25022075 143.99277289 185.19028965 186.51990238]|[13.55480612 13.21044309  9.77871231 17.98070775]
4|"[ 59.8267291  119.11970336 130.00007459 173.91990074 102.05879927
 152.69793082 160.65421239 164.16149937 170.17629556 163.06591591
  64.26314236 167.69862034  59.49216335 172.72785761 183.6575092
 180.3986597  101.30616581 189.72333113  52.52639342 187.06068168
 110.86191734 110.50219306  78.70968813  60.39626083  91.09730594
  86.30957732 174.92381372 122.53705522 117.57619852 144.7621108
 114.85074743 119.06615258  85.77269043  89.03917544  84.55752614
 169.97628656  58.36256293 146.68188311  94.43000241  72.1991845
 117.47449802 159.66213805 104.13977916  65.82877694 156.93058671
 127.56535894 154.23861193 133.0849268   53.98529521  79.91321132
 157.64556809  63.86563056  58.52968078 162.76238908 158.7998243
 101.22242019  97.74313746 142.29474203 133.76462735 133.63001868
 138.39254882  68.62613988 129.26065503 100.57156477 177.00944254
 144.66225233 172.1728909   59.16336857 127.09923367 164.21424487
  74.97231515 132.32641724 156.98394059 107.7987994  176.14341175
 138.58372355 105.13751862 174.79955307 133.70878267 102.66922938
  65.59994374 173.67854236 131.563286    62.81156738 125.65155045
 158.96434338  94.79049586 117.24143464 191.33389188  51.4694518
 177.07162171 163.15902954 101.14094575 173.66507666 132.95374574
 179.74761577 185.14504252 154.81796446 180.79374651 151.9038543 ]"|"[ 69.64587289 114.008442   153.23337063  79.64865844 167.07856531
 115.85661633 138.4918094  150.40555947  57.17606549 167.17960838
  87.35209892  61.39908182  79.75046471 145.9311029  122.22441081
 155.42919853 164.82904231 186.59736367 167.23882003  67.72003925
 137.42127835 121.62747746 158.61382941  94.6297621   56.21726021
 194.46232486 108.04313345 177.1841471   51.05370031  67.31193421
  82.21108573 104.20417695  70.53994922 115.46004884 177.61211743
 154.39268406 130.25009434 136.99666833 188.49836718 189.83609952
 185.70772246  75.85711804  62.33194565  59.77050979 126.40550751
  64.07551777  62.41012621  82.18878104  89.48499577 136.04413559
 140.07435537 133.40886249 127.60940468  68.95382928  94.57038435
 144.78740138 114.72815676  73.54404339 156.76645018  94.91552106
 113.2398857   58.60900244  91.39853993 166.22353374 112.16179997
 127.36347891 117.50880519  91.13774139  74.88850657 130.80469897
 187.47560644 124.43517544  57.22255204 123.33126106 107.24904052
  58.15670652  96.63658287 106.98895198 120.41771962 102.45449926
  65.89140118  88.09434813 111.38667652  83.52356795  72.42952769
 185.66799425 189.57352028 116.86836493 183.72812659 119.91813481
 184.33877603 191.92498379  52.92077927 199.89500692 146.37512185
 118.0534843  190.35619382  96.35243358 159.89841858 121.34465733]"|[166.27985195 145.26086971 186.50451068 187.37010351]|[14.64561298 14.01164871 10.50177737 19.21649011]
5|"[ 59.8267291  119.11970336 130.00007459 173.91990074 102.05879927
 152.69793082 160.65421239 164.98300877 169.74409059 163.06591591
  64.26314236 167.69862034  59.49216335 173.33350948 183.6575092
 181.32697514 101.30616581 189.72333113  52.52639342 187.06068168
 110.86191734 110.50219306  78.70968813  60.39626083  91.09730594
  86.30957732 174.92381372 122.53705522 117.57619852 144.7621108
 114.85074743 119.06615258  85.77269043  89.03917544  84.55752614
 169.97628656  58.36256293 146.68188311  94.43000241  72.1991845
 117.47449802 159.66213805 104.13977916  65.82877694 156.93058671
 127.56535894 154.23861193 133.0849268   53.98529521  79.91321132
 157.64556809  63.86563056  58.52968078 162.76238908 158.7998243
 101.22242019  97.74313746 142.29474203 133.76462735 133.63001868
 138.39254882  68.62613988 129.26065503 100.57156477 177.00944254
 144.66225233 172.1728909   59.16336857 127.09923367 164.21424487
  74.97231515 132.32641724 157.07866449 107.7987994  176.14341175
 138.59598185 105.13751862 174.79955307 133.70878267 102.66922938
  65.59994374 173.67854236 131.563286    62.81156738 125.65155045
 158.96434338  94.79049586 117.24143464 191.33389188  51.4694518
 177.07162171 163.15902954 101.14094575 173.66507666 132.95374574
 180.65988877 185.14504252 154.81796446 180.79374651 151.9038543 ]"|"[ 69.64587289 114.008442   153.23337063  79.64865844 167.07856531
 115.85661633 138.4918094  150.97575443  58.07784089 167.17960838
  87.35209892  61.39908182  79.75046471 146.72683263 122.22441081
 155.057405   164.82904231 186.59736367 167.23882003  67.72003925
 137.42127835 121.62747746 158.61382941  94.6297621   56.21726021
 194.46232486 108.04313345 177.1841471   51.05370031  67.31193421
  82.21108573 104.20417695  70.53994922 115.46004884 177.61211743
 154.39268406 130.25009434 136.99666833 188.49836718 189.83609952
 185.70772246  75.85711804  62.33194565  59.77050979 126.40550751
  64.07551777  62.41012621  82.18878104  89.48499577 136.04413559
 140.07435537 133.40886249 127.60940468  68.95382928  94.57038435
 144.78740138 114.72815676  73.54404339 156.76645018  94.91552106
 113.2398857   58.60900244  91.39853993 166.22353374 112.16179997
 127.36347891 117.50880519  91.13774139  74.88850657 130.80469897
 187.47560644 124.43517544  58.21805562 123.33126106 107.24904052
  59.15663139  96.63658287 106.98895198 120.41771962 102.45449926
  65.89140118  88.09434813 111.38667652  83.52356795  72.42952769
 185.66799425 189.57352028 116.86836493 183.72812659 119.91813481
 184.33877603 191.92498379  52.92077927 199.89500692 146.37512185
 117.64390163 190.35619382  96.35243358 159.89841858 121.34465733]"|[167.28343589 146.63042038 187.76905393 188.20116147]|[15.76043103 14.62347464 11.30857992 20.46522653]
6|"[ 59.8267291  119.11970336 130.00007459 173.91990074 102.05879927
 152.69793082 160.65421239 164.98300877 169.23249084 163.06591591
  64.26314236 167.69862034  59.49216335 173.33350948 183.6575092
 181.32697514 101.30616581 189.72333113  52.52639342 187.06068168
 110.45448233 110.50219306  78.70968813  60.39626083  91.09730594
  86.30957732 174.92381372 122.53705522 117.57619852 144.7621108
 114.85074743 119.06615258  85.77269043  89.03917544  84.55752614
 169.97628656  58.36256293 146.28736314  94.43000241  72.1991845
 117.47449802 159.66213805 103.13979206  65.82877694 156.93058671
 127.56535894 154.23861193 134.07991062  53.98529521  79.91321132
 157.64556809  63.86563056  58.52968078 162.76238908 158.7998243
 101.22242019  97.74313746 142.29474203 133.76462735 133.63001868
 138.39254882  68.62613988 129.26065503 100.57156477 177.00944254
 144.66225233 172.1728909   59.16336857 127.09923367 164.21424487
  74.97231515 132.32641724 156.98361794 107.7987994  176.14341175
 138.59598185 105.13751862 174.79955307 133.70878267 102.66922938
  65.59994374 173.67854236 131.563286    62.81156738 125.65155045
 158.96434338  94.79049586 117.24143464 191.33389188  51.4694518
 177.07162171 163.15902954 101.14094575 173.66507666 132.95374574
 180.65988877 185.14504252 154.81796446 180.79374651 152.20726658]"|"[ 69.64587289 114.008442   153.23337063  79.64865844 167.07856531
 115.85661633 138.4918094  150.97575443  58.93706478 167.17960838
  87.35209892  61.39908182  79.75046471 146.72683263 122.22441081
 155.057405   164.82904231 186.59736367 167.23882003  67.72003925
 138.33451256 121.62747746 158.61382941  94.6297621   56.21726021
 194.46232486 108.04313345 177.1841471   51.05370031  67.31193421
  82.21108573 104.20417695  70.53994922 115.46004884 177.61211743
 154.39268406 130.25009434 137.9155557  188.49836718 189.83609952
 185.70772246  75.85711804  62.32686568  59.77050979 126.40550751
  64.07551777  62.41012621  82.08874508  89.48499577 136.04413559
 140.07435537 133.40886249 127.60940468  68.95382928  94.57038435
 144.78740138 114.72815676  73.54404339 156.76645018  94.91552106
 113.2398857   58.60900244  91.39853993 166.22353374 112.16179997
 127.36347891 117.50880519  91.13774139  74.88850657 130.80469897
 187.47560644 124.43517544  59.21352845 123.33126106 107.24904052
  59.15663139  96.63658287 106.98895198 120.41771962 102.45449926
  65.89140118  88.09434813 111.38667652  83.52356795  72.42952769
 185.66799425 189.57352028 116.86836493 183.72812659 119.91813481
 184.33877603 191.92498379  52.92077927 199.89500692 146.37512185
 117.64390163 190.35619382  96.35243358 159.89841858 120.39179796]"|[168.26030969 147.97234708 188.03623153 189.01459282]|[16.89872694 15.29372289  9.83256633 21.72551597]
7|"[ 59.8267291  119.80008117 130.00007459 173.91990074 102.05879927
 152.69793082 160.65421239 164.98300877 168.84603578 163.25063884
  64.26314236 167.21305825  59.49216335 173.33350948 183.6575092
 181.32697514 101.30616581 189.72333113  52.52639342 187.06068168
 110.45448233 110.50219306  78.70968813  60.39626083  91.09730594
  86.30957732 174.92381372 122.53705522 117.57619852 144.7621108
 114.85074743 119.06615258  85.77269043  89.03917544  84.55752614
 169.97628656  58.36256293 146.28736314  94.43000241  72.1991845
 117.47449802 159.66213805 103.13979206  65.82877694 157.64545577
 127.56535894 154.23861193 134.07991062  53.98529521  79.91321132
 157.64556809  63.86563056  58.52968078 162.76238908 158.7998243
 101.22242019  97.74313746 142.29474203 133.76462735 133.63001868
 139.03309326  68.62613988 129.26065503 100.55668031 177.00944254
 144.66225233 172.1728909   59.16336857 127.09923367 164.21424487
  74.97231515 132.32641724 156.82005317 107.7987994  176.14341175
 138.48308585 105.13751862 174.79955307 133.70878267 102.66922938
  65.59994374 173.67854236 131.563286    62.81156738 125.65155045
 158.96434338  94.79049586 117.24143464 191.33389188  51.4694518
 177.07162171 163.15902954 101.14094575 173.66507666 132.95374574
 180.65988877 185.14504252 154.81796446 180.79374651 152.32281548]"|"[ 69.64587289 114.74130353 153.23337063  79.64865844 167.07856531
 115.85661633 138.4918094  150.97575443  59.85937301 166.19681774
  87.35209892  62.273284    79.75046471 146.72683263 122.22441081
 155.057405   164.82904231 186.59736367 167.23882003  67.72003925
 138.33451256 121.62747746 158.61382941  94.6297621   56.21726021
 194.46232486 108.04313345 177.1841471   51.05370031  67.31193421
  82.21108573 104.20417695  70.53994922 115.46004884 177.61211743
 154.39268406 130.25009434 137.9155557  188.49836718 189.83609952
 185.70772246  75.85711804  62.32686568  59.77050979 127.10476585
  64.07551777  62.41012621  82.08874508  89.48499577 136.04413559
 140.07435537 133.40886249 127.60940468  68.95382928  94.57038435
 144.78740138 114.72815676  73.54404339 156.76645018  94.91552106
 112.47196459  58.60900244  91.39853993 167.22342296 112.16179997
 127.36347891 117.50880519  91.13774139  74.88850657 130.80469897
 187.47560644 124.43517544  60.20006105 123.33126106 107.24904052
  60.1502382   96.63658287 106.98895198 120.41771962 102.45449926
  65.89140118  88.09434813 111.38667652  83.52356795  72.42952769
 185.66799425 189.57352028 116.86836493 183.72812659 119.91813481
 184.33877603 191.92498379  52.92077927 199.89500692 146.37512185
 117.64390163 190.35619382  96.35243358 159.89841858 119.39849617]"|[169.20445943 149.28341445 188.43539497 189.88249833]|[18.06430888 16.02249059  8.3866519  22.94892923]
8|"[ 59.8267291  119.80008117 130.00007459 173.91990074 102.05879927
 152.69793082 160.65421239 164.98300877 168.37298237 163.25063884
  63.61922582 166.93993398  59.49216335 173.33350948 183.6575092
 181.32697514 101.30616581 189.72333113  52.52639342 186.24114539
 110.45448233 110.50219306  78.70968813  60.39626083  91.09730594
  86.30957732 174.92381372 122.53705522 117.57619852 144.7621108
 114.85074743 119.06615258  85.77269043  89.03917544  84.55752614
 169.97628656  58.36256293 146.28736314  93.63990021  72.1991845
 117.47449802 160.2969139  102.1525409   65.82877694 157.64545577
 127.56535894 154.23861193 134.07991062  53.98529521  79.91321132
 157.64556809  63.86563056  58.52968078 162.76238908 158.7998243
 101.22242019  97.74313746 142.29474203 133.76462735 133.63001868
 139.03309326  68.62613988 129.26065503 100.55668031 177.00944254
 144.66225233 172.1728909   59.16336857 127.09923367 164.21424487
  74.97231515 132.32641724 156.51899817 107.7987994  176.14341175
 137.835097   105.13751862 174.79955307 133.70878267 102.66922938
  65.59994374 173.67854236 130.94250525  62.81156738 125.65155045
 158.96434338  94.79049586 117.24143464 192.31690681  51.4694518
 176.66000567 163.15902954 101.14094575 173.66507666 132.95374574
 180.65988877 185.14504252 154.81796446 180.79374651 152.32281548]"|"[ 69.64587289 114.74130353 153.23337063  79.64865844 167.07856531
 115.85661633 138.4918094  150.97575443  60.74040677 166.19681774
  86.58700318  63.23526276  79.75046471 146.72683263 122.22441081
 155.057405   164.82904231 186.59736367 167.23882003  68.29306653
 138.33451256 121.62747746 158.61382941  94.6297621   56.21726021
 194.46232486 108.04313345 177.1841471   51.05370031  67.31193421
  82.21108573 104.20417695  70.53994922 115.46004884 177.61211743
 154.39268406 130.25009434 137.9155557  189.11134232 189.83609952
 185.70772246  76.62981436  62.16769552  59.77050979 127.10476585
  64.07551777  62.41012621  82.08874508  89.48499577 136.04413559
 140.07435537 133.40886249 127.60940468  68.95382928  94.57038435
 144.78740138 114.72815676  73.54404339 156.76645018  94.91552106
 112.47196459  58.60900244  91.39853993 167.22342296 112.16179997
 127.36347891 117.50880519  91.13774139  74.88850657 130.80469897
 187.47560644 124.43517544  61.15366783 123.33126106 107.24904052
  59.38858837  96.63658287 106.98895198 120.41771962 102.45449926
  65.89140118  88.09434813 110.6026923   83.52356795  72.42952769
 185.66799425 189.57352028 116.86836493 183.54460096 119.91813481
 183.42741867 191.92498379  52.92077927 199.89500692 146.37512185
 117.64390163 190.35619382  96.35243358 159.89841858 119.39849617]"|[170.11258905 150.53533719 188.94719593 190.76519279]|[19.25816842 16.84874083  6.97666616 24.16171549]
9|"[ 59.8267291  119.80008117 130.00007459 173.91990074 102.05879927
 152.69793082 160.65421239 164.98300877 168.08422482 163.25063884
  63.61922582 166.67043681  59.49216335 173.33350948 183.6575092
 181.32697514 101.30616581 189.72333113  52.52639342 185.51587297
 110.45448233 110.50219306  78.70968813  60.39626083  91.09730594
  86.30957732 174.92381372 122.53705522 117.57619852 144.7621108
 114.85074743 119.06615258  85.77269043  89.03917544  84.55752614
 169.97628656  58.36256293 146.28736314  93.63990021  72.1991845
 117.47449802 160.2969139  102.1525409   65.82877694 157.64545577
 127.56535894 154.23861193 134.07991062  53.98529521  79.91321132
 157.64556809  63.86563056  58.52968078 162.76238908 158.7998243
 101.22242019  97.74313746 142.29474203 133.76462735 133.63001868
 139.03309326  68.62613988 129.26065503 100.55668031 177.00944254
 144.66225233 172.1728909   59.16336857 127.09923367 164.21424487
  74.97231515 132.32641724 156.26823653 107.7987994  176.14341175
 137.59991358 104.25044865 174.79955307 133.70878267 102.66922938
  65.59994374 173.67854236 130.94250525  62.81156738 125.65155045
 158.96434338  94.79049586 117.24143464 192.31690681  51.4694518
 176.66000567 163.15902954 101.14094575 173.66507666 132.40105365
 180.65988877 185.14504252 154.81796446 180.79374651 152.32281548]"|"[ 69.64587289 114.74130353 153.23337063  79.64865844 167.07856531
 115.85661633 138.4918094  150.97575443  61.69780902 166.19681774
  86.58700318  64.19826394  79.75046471 146.72683263 122.22441081
 155.057405   164.82904231 186.59736367 167.23882003  68.98152853
 138.33451256 121.62747746 158.61382941  94.6297621   56.21726021
 194.46232486 108.04313345 177.1841471   51.05370031  67.31193421
  82.21108573 104.20417695  70.53994922 115.46004884 177.61211743
 154.39268406 130.25009434 137.9155557  189.11134232 189.83609952
 185.70772246  76.62981436  62.16769552  59.77050979 127.10476585
  64.07551777  62.41012621  82.08874508  89.48499577 136.04413559
 140.07435537 133.40886249 127.60940468  68.95382928  94.57038435
 144.78740138 114.72815676  73.54404339 156.76645018  94.91552106
 112.47196459  58.60900244  91.39853993 167.22342296 112.16179997
 127.36347891 117.50880519  91.13774139  74.88850657 130.80469897
 187.47560644 124.43517544  62.12171669 123.33126106 107.24904052
  60.36053938  96.17494788 106.98895198 120.41771962 102.45449926
  65.89140118  88.09434813 110.6026923   83.52356795  72.42952769
 185.66799425 189.57352028 116.86836493 183.54460096 119.91813481
 183.42741867 191.92498379  52.92077927 199.89500692 147.20850739
 117.64390163 190.35619382  96.35243358 159.89841858 119.39849617]"|[170.99311853 151.75388614 189.52841787 191.63396827]|[20.47252744 17.72346276  5.59384981 25.38451112]
