,flock_gcm,avg_sheep_dist_from_gcm,furthest_sheep_from_gcm
0,"[131.487425744, 122.89994672519998]",59.09033989206821,105.36233711360038
1,"[131.501886056, 122.9180324106]",59.01180623129677,104.52073381245033
2,"[131.51562443449998, 122.9541119771]",58.98861631612402,103.55899522091657
3,"[131.5190011285, 122.9693911598]",58.9683793637535,102.57159187896998
4,"[131.52597014, 123.0051840988]",58.94069830289988,101.64619482260977
5,"[131.5329582389, 123.04622969719999]",58.92329432544403,100.7808450705946
6,"[131.55722489810003, 123.07179454019999]",58.902382379092074,100.7850791172471
7,"[131.57957916390004, 123.09048564009998]",58.88901523990242,100.79188605912981
8,"[131.57113306990001, 123.13742499489999]",58.86941541078668,100.75713421230054
9,"[131.59216344890004, 123.1867298366]",58.83221854682057,100.74466725010217
10,"[131.6104097092, 123.2123703545]",58.80204398674993,100.74406912571845
11,"[131.61945857120003, 123.2414685964]",58.770958883660484,100.73403067118076
12,"[131.6060678577, 123.2987727788]",58.72782197415536,100.68918777846115
13,"[131.6219237994, 123.34328216970002]",58.6769476300096,100.67548568797676
14,"[131.62647152230002, 123.39685251480002]",58.645951686073694,100.64732478351829
15,"[131.64711742590003, 123.46958414500001]",58.59530694255913,100.62077425766614
16,"[131.65615694850004, 123.55431201850004]",58.536814416859315,100.57781550300517
17,"[131.6559297926, 123.63952826070003]",58.47058776877751,100.52715355721706
18,"[131.67197438160002, 123.72415294320002]",58.391643403564885,100.37587020714983
19,"[131.6637363895, 123.80581705420003]",58.324245170081596,100.95786032905986
20,"[131.6712760313, 123.93286011250004]",58.226853183505746,100.89080988292362
21,"[131.68391939190002, 124.03215394830004]",58.13401024543296,100.84400796433627
22,"[131.64970062600003, 124.16623842710004]",58.01418504542504,100.7389398168124
23,"[131.65501070940002, 124.2924333435]",57.9314623404382,100.67085733478478
24,"[131.6243432972, 124.44159041680003]",57.81869646376108,100.56024376526358
25,"[131.59304186839998, 124.58459121640003]",57.689598368845566,100.45273952672434
26,"[131.53872118840002, 124.71812483390002]",57.56948922767182,100.33184525544846
27,"[131.50279002649998, 124.85295370990004]",57.47398666291546,100.22537640346853
28,"[131.48441971489999, 125.02410156920004]",57.34306679827948,100.11273613668274
29,"[131.45554227389997, 125.15856066570002]",57.225408051779944,100.0124785321803
30,"[131.40834269239997, 125.30792140950003]",57.12772003377694,99.8887661588511
31,"[131.35975111140002, 125.46730918690004]",57.00833549817947,99.75831413038439
32,"[131.37082337410004, 125.64458200000001]",56.8483321510149,99.66703790716748
33,"[131.37291428260002, 125.81059225700001]",56.71535938871148,99.5749396306696
34,"[131.35377828440002, 125.97330655290001]",56.58199296710545,99.46735467022474
35,"[131.32546479870004, 126.13904419040001]",56.450492654247384,99.35063498119477
36,"[131.27922993, 126.30726298679996]",56.31549467457158,99.21784102657918
37,"[131.23008764160005, 126.47408333360003]",56.21649193059697,99.0835529254988
38,"[131.156166558, 126.67430207489998]",56.0612027648419,98.91016085461509
39,"[131.1374816628, 126.83505342110004]",55.92709699238634,98.80478711049894
40,"[131.134520046, 127.0309028957]",55.80273734497847,98.69305518637852
41,"[131.07825985739998, 127.19534897469995]",55.70726882746513,98.55475544062112
42,"[131.0249202197, 127.37170780009995]",55.54242797211559,98.41237995860243
43,"[131.0049098481, 127.56215314999997]",55.44586932633564,98.2900766932382
44,"[130.9660957284, 127.7510071432]",55.36654349316586,98.15320701274413
45,"[130.92730734810002, 127.92266993880004]",55.29065489076802,98.02603486301477
46,"[130.8350956552, 128.09723327940003]",55.18751669946795,97.85283513995428
47,"[130.80483290149996, 128.2608546012]",55.06898792047685,97.73747570455168
48,"[130.76160050340002, 128.4139348271]",54.961200168306135,97.61721372513723
49,"[130.7337585809, 128.58459987120003]",54.88617986693777,97.50029319827827
50,"[130.69603010979998, 128.7753794458]",54.75773962927315,97.36426019630578
51,"[130.6867277264, 128.9542472805]",54.632223374899915,97.25874633708109
52,"[130.7350428462, 129.1074531653]",54.530600474677605,97.21574921577138
53,"[130.79488610389998, 129.3186326921]",54.41441376335478,97.15121214014607
54,"[130.79365250659995, 129.4897211586]",54.3159364213531,97.05745395075789
55,"[130.8354347334, 129.66222861510002]",54.19617913853821,96.99934616142912
