|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[ 30.92481937 207.96271381 209.48850159 153.16767646 130.81655635
 109.58275859 185.57462897 146.33815552 170.55268515  25.23256965
 167.59564804  74.09345369 103.65574864 199.89835026 112.50077843
 203.76349541 138.77623672 101.56707243  49.01126404 151.36046967
  31.12619744  31.94932419 120.29548615 219.23436116  89.52104651
 141.90367812  70.04931031 221.81373621  39.46451967 213.67096456
  53.7272761  140.78300075 146.9052172  164.2151109   37.57312072
  76.72366087 201.43863802 148.17112686  25.14807192  65.4908401
 114.91020874 213.76420458 171.66154598  39.51726719 160.3110183
  72.15457883  46.46825721 208.32521971 119.68559072  70.76322775
 149.30552591 119.77658552 164.36978929  30.35059424  81.93021799
 189.18839254 198.60214063  72.49592745  60.68638004 203.44795525
  53.03456714 110.26262633 187.38869988 159.78065314 169.52374121
 135.31565267 210.74832427 162.57618987  95.60405044 195.45232261
  51.62549197 193.08412452 202.1629359  132.64218974 110.60399313
 147.96456316  78.53777502  77.3224585  223.41696207 181.9603382
  32.25914936 140.54268987 202.21016856 119.44336023 153.09257173
  38.85354343 168.29044736 219.5938927  197.67265725  46.44534582
 176.68261047  58.64303105 195.72043494 188.57694525 182.39018155
 156.80810859 143.55366148 159.92169758 166.14521657 191.5740045 ]"|"[ 63.37545157  68.62925608  84.53030143  97.28347142  93.23212642
 122.4075286  124.57805242  69.26848328  99.16433083 184.54059216
  31.00836845 130.54266661  66.99380261 138.33687339  38.41776399
 190.48891517 100.40219755 120.40564068  34.62485246 115.91793315
  68.0899598  105.32396788 102.69183523  87.22687957 184.41951082
  29.4432555  201.20879337  71.14000012  85.3505143   84.50030634
 207.48544631 128.0692971  173.61906848  54.67149395 101.32277007
  43.29803157  86.68353644 221.13785338  88.6933566  167.13204314
 175.92847444 150.61244556  79.78324743  90.89141525 190.53640885
 110.82664512  56.24002844  61.62482022 149.04217743 147.88321616
 195.728596   180.92587336  70.9059119  173.75186838  93.49372399
 198.21524535 154.95788166 118.19521304  58.16706593 149.46381898
 171.04241966  42.00759421 216.39553973 149.92622903 222.14720918
 193.5086723  110.18660768  26.70434097  25.45982751  61.33763467
  91.74007877 197.48530976  82.81209205  49.28824129 161.64966035
 160.71803776 116.21396352  70.93845059 163.70909331 211.75543206
 141.27391981  32.12129549  89.80231582  70.39294284 224.8843503
 199.88390587  29.97138004 134.68626543 174.30828037  81.17060769
 217.78033532  83.14793222 138.32468476 102.14450423 137.33340759
 192.1532861  107.2761854  114.94961595 172.90953087 185.60144811]"|[127.52527521 118.78685032 128.69918169]|[14.72477667 10.83413804 11.23732155]
1|"[ 30.92481937 208.0179512  209.48850159 153.16767646 130.81655635
 109.58275859 185.57462897 146.33815552 170.55268515  25.23256965
 166.6992087   74.09345369 103.65574864 199.89835026 111.85130261
 203.76349541 138.77623672 101.56707243  49.01126404 151.36046967
  31.12619744  31.94932419 120.29548615 219.23436116  89.52104651
 142.21550594  70.04931031 221.81373621  39.46451967 213.67096456
  53.7272761  140.78300075 146.9052172  164.2151109   37.57312072
  76.72366087 201.43863802 148.17112686  25.14807192  65.4908401
 114.91020874 213.76420458 171.66154598  39.51726719 160.3110183
  72.15457883  46.46825721 208.32521971 119.68559072  70.76322775
 149.30552591 119.77658552 164.36978929  30.35059424  81.93021799
 189.18839254 198.60214063  72.49592745  60.68638004 203.44795525
  53.03456714 109.96773384 187.38869988 159.78065314 169.52374121
 135.31565267 210.74832427 163.26699315  95.20276017 195.45232261
  51.62549197 193.08412452 202.1629359  133.63553033 110.60399313
 147.96456316  78.53777502  77.3224585  223.41696207 181.9603382
  32.25914936 140.92958245 202.21016856 119.44336023 153.09257173
  38.85354343 168.83685725 219.5938927  197.67265725  46.44534582
 176.68261047  57.86126506 195.72043494 188.57694525 182.39018155
 156.80810859 143.55366148 159.92169758 166.14521657 191.5740045 ]"|"[ 63.37545157  69.62772933  84.53030143  97.28347142  93.23212642
 122.4075286  124.57805242  69.26848328  99.16433083 184.54059216
  31.4515349  130.54266661  66.99380261 138.33687339  39.17814623
 190.48891517 100.40219755 120.40564068  34.62485246 115.91793315
  68.0899598  105.32396788 102.69183523  87.22687957 184.41951082
  30.39339413 201.20879337  71.14000012  85.3505143   84.50030634
 207.48544631 128.0692971  173.61906848  54.67149395 101.32277007
  43.29803157  86.68353644 221.13785338  88.6933566  167.13204314
 175.92847444 150.61244556  79.78324743  90.89141525 190.53640885
 110.82664512  56.24002844  61.62482022 149.04217743 147.88321616
 195.728596   180.92587336  70.9059119  173.75186838  93.49372399
 198.21524535 154.95788166 118.19521304  58.16706593 149.46381898
 171.04241966  42.96312465 216.39553973 149.92622903 222.14720918
 193.5086723  110.18660768  27.42738373  26.37577845  61.33763467
  91.74007877 197.48530976  82.81209205  49.40345619 161.64966035
 160.71803776 116.21396352  70.93845059 163.70909331 211.75543206
 141.27391981  33.04342028  89.80231582  70.39294284 224.8843503
 199.88390587  29.13386214 134.68626543 174.30828037  81.17060769
 217.78033532  83.77150415 138.32468476 102.14450423 137.33340759
 192.1532861  107.2761854  114.94961595 172.90953087 185.60144811]"|[127.63222257 117.3005145  129.56781636]|[16.22095923 10.63213353 10.01442588]
2|"[ 30.92481937 208.0179512  209.48850159 153.16767646 130.81655635
 109.58275859 185.57462897 146.33815552 170.55268515  25.23256965
 167.52849729  74.09345369 103.65574864 199.89835026 111.66335133
 203.76349541 138.43731551 101.56707243  49.01126404 151.36046967
  31.12619744  31.94932419 120.29548615 219.23436116  89.52104651
 142.85496265  70.04931031 221.81373621  39.46451967 213.67096456
  53.7272761  140.78300075 146.9052172  164.2151109   37.57312072
  76.72366087 201.43863802 148.17112686  25.14807192  65.4908401
 114.91020874 213.76420458 171.66154598  39.51726719 160.3110183
  72.15457883  46.46825721 208.32521971 119.68559072  70.76322775
 148.58453565 119.77658552 164.36978929  30.35059424  81.93021799
 189.18839254 198.60214063  72.49592745  60.68638004 203.44795525
  53.03456714 109.6118764  187.38869988 159.78065314 169.52374121
 135.31565267 210.74832427 164.26446019  94.33881232 195.45232261
  51.62549197 193.08412452 202.1629359  133.92519772 111.35555057
 147.96456316  78.53777502  77.3224585  223.41696207 181.9603382
  32.25914936 141.36883748 202.21016856 119.44336023 153.09257173
  38.85354343 169.58450953 219.5938927  197.67265725  46.44534582
 176.68261047  57.86126506 195.72043494 188.57694525 182.39018155
 156.80810859 143.55366148 159.92169758 166.14521657 191.5740045 ]"|"[ 63.37545157  69.62772933  84.53030143  97.28347142  93.23212642
 122.4075286  124.57805242  69.26848328  99.16433083 184.54059216
  30.89271433 130.54266661  66.99380261 138.33687339  40.16032459
 190.48891517 101.34301231 120.40564068  34.62485246 115.91793315
  68.0899598  105.32396788 102.69183523  87.22687957 184.41951082
  31.16222123 201.20879337  71.14000012  85.3505143   84.50030634
 207.48544631 128.0692971  173.61906848  54.67149395 101.32277007
  43.29803157  86.68353644 221.13785338  88.6933566  167.13204314
 175.92847444 150.61244556  79.78324743  90.89141525 190.53640885
 110.82664512  56.24002844  61.62482022 149.04217743 147.88321616
 195.03565079 180.92587336  70.9059119  173.75186838  93.49372399
 198.21524535 154.95788166 118.19521304  58.16706593 149.46381898
 171.04241966  43.8976649  216.39553973 149.92622903 222.14720918
 193.5086723  110.18660768  27.49851389  26.87935973  61.33763467
  91.74007877 197.48530976  82.81209205  50.36058356 160.98999269
 160.71803776 116.21396352  70.93845059 163.70909331 211.75543206
 141.27391981  33.9417827   89.80231582  70.39294284 224.8843503
 199.88390587  29.79795254 134.68626543 174.30828037  81.17060769
 217.78033532  83.77150415 138.32468476 102.14450423 137.33340759
 192.1532861  107.2761854  114.94961595 172.90953087 185.60144811]"|[128.49222907 115.81384301 130.72792354]|[17.449938   10.43261441  9.06355715]
3|"[ 30.92481937 208.0179512  209.48850159 153.16767646 130.81655635
 109.58275859 185.57462897 146.33815552 170.55268515  25.23256965
 168.51528676  74.09345369 103.65574864 199.89835026 110.89325825
 203.76349541 138.43731551 101.56707243  49.01126404 151.36046967
  31.12619744  31.94932419 120.29548615 219.23436116  89.52104651
 142.6643232   70.04931031 221.81373621  39.46451967 213.67096456
  53.7272761  140.78300075 146.9052172  164.2151109   37.57312072
  76.72366087 201.43863802 148.17112686  25.14807192  65.4908401
 114.91020874 213.76420458 171.66154598  39.51726719 160.3110183
  72.15457883  46.46825721 208.32521971 119.68559072  70.76322775
 148.58453565 119.77658552 164.36978929  30.35059424  81.93021799
 189.18839254 198.60214063  72.49592745  60.68638004 203.44795525
  53.03456714 108.73707606 187.38869988 159.42383854 169.52374121
 136.31446229 211.71263262 165.05403008  93.51655171 195.45232261
  51.62549197 193.08412452 202.1629359  134.92411842 111.35555057
 147.96456316  78.53777502  77.3224585  223.41696207 181.9603382
  32.25914936 141.48043148 202.21016856 119.44336023 153.09257173
  38.85354343 170.49421178 219.5938927  197.67265725  46.44534582
 176.68261047  57.86126506 195.72043494 188.57694525 182.39018155
 157.57486041 143.55366148 159.92169758 166.14521657 191.5740045 ]"|"[ 63.37545157  69.62772933  84.53030143  97.28347142  93.23212642
 122.4075286  124.57805242  69.26848328  99.16433083 184.54059216
  31.05472217 130.54266661  66.99380261 138.33687339  40.79825613
 190.48891517 101.34301231 120.40564068  34.62485246 115.91793315
  68.0899598  105.32396788 102.69183523  87.22687957 184.41951082
  32.14388136 201.20879337  71.14000012  85.3505143   84.50030634
 207.48544631 128.0692971  173.61906848  54.67149395 101.32277007
  43.29803157  86.68353644 221.13785338  88.6933566  167.13204314
 175.92847444 150.61244556  79.78324743  90.89141525 190.53640885
 110.82664512  56.24002844  61.62482022 149.04217743 147.88321616
 195.03565079 180.92587336  70.9059119  173.75186838  93.49372399
 198.21524535 154.95788166 118.19521304  58.16706593 149.46381898
 171.04241966  44.3821485  216.39553973 148.99205381 222.14720918
 193.55745093 110.45138951  28.11217453  27.44847087  61.33763467
  91.74007877 197.48530976  82.81209205  50.31413536 160.98999269
 160.71803776 116.21396352  70.93845059 163.70909331 211.75543206
 141.27391981  34.93553658  89.80231582  70.39294284 224.8843503
 199.88390587  30.21321369 134.68626543 174.30828037  81.17060769
 217.78033532  83.77150415 138.32468476 102.14450423 137.33340759
 192.79522975 107.2761854  114.94961595 172.90953087 185.60144811]"|[129.73558839 114.32035395 132.00708655]|[18.2890194  10.29300626  8.28014028]
4|"[ 30.92481937 208.0179512  209.48850159 153.16767646 130.81655635
 109.58275859 185.57462897 146.33815552 170.55268515  25.23256965
 169.31193534  74.09345369 103.65574864 199.89835026 110.02156854
 203.76349541 138.43731551 101.56707243  49.01126404 151.36046967
  31.12619744  31.94932419 120.29548615 219.23436116  89.52104651
 143.24077957  70.04931031 221.81373621  39.46451967 213.67096456
  53.7272761  140.78300075 146.31573218 164.2151109   37.57312072
  76.72366087 201.43863802 148.17112686  25.14807192  65.4908401
 115.80639265 213.76420458 171.66154598  39.51726719 160.3110183
  72.15457883  46.46825721 208.32521971 119.68559072  70.76322775
 148.58453565 119.77658552 164.36978929  30.35059424  81.93021799
 189.18839254 198.60214063  72.49592745  60.68638004 203.44795525
  53.03456714 107.7888433  187.38869988 159.42383854 169.52374121
 136.31446229 211.71263262 166.00877018  92.56500216 195.45232261
  51.62549197 193.08412452 202.1629359  135.65369943 111.97971684
 147.96456316  78.53777502  77.3224585  223.41696207 181.9603382
  32.25914936 141.86441518 202.21016856 119.44336023 153.09257173
  38.85354343 171.41192555 219.5938927  197.67265725  46.44534582
 176.68261047  57.86126506 195.72043494 188.57694525 182.39018155
 157.57486041 143.55366148 159.92169758 166.14521657 191.5740045 ]"|"[ 63.37545157  69.62772933  84.53030143  97.28347142  93.23212642
 122.4075286  124.57805242  69.26848328  99.16433083 184.54059216
  31.65916491 130.54266661  66.99380261 138.33687339  41.28831434
 190.48891517 101.34301231 120.40564068  34.62485246 115.91793315
  68.0899598  105.32396788 102.69183523  87.22687957 184.41951082
  32.96100929 201.20879337  71.14000012  85.3505143   84.50030634
 207.48544631 128.0692971  172.81128917  54.67149395 101.32277007
  43.29803157  86.68353644 221.13785338  88.6933566  167.13204314
 175.48479167 150.61244556  79.78324743  90.89141525 190.53640885
 110.82664512  56.24002844  61.62482022 149.04217743 147.88321616
 195.03565079 180.92587336  70.9059119  173.75186838  93.49372399
 198.21524535 154.95788166 118.19521304  58.16706593 149.46381898
 171.04241966  44.69972468 216.39553973 148.99205381 222.14720918
 193.55745093 110.45138951  28.40961586  27.75596632  61.33763467
  91.74007877 197.48530976  82.81209205  50.99802977 160.20870116
 160.71803776 116.21396352  70.93845059 163.70909331 211.75543206
 141.27391981  35.85887645  89.80231582  70.39294284 224.8843503
 199.88390587  30.61045597 134.68626543 174.30828037  81.17060769
 217.78033532  83.77150415 138.32468476 102.14450423 137.33340759
 192.79522975 107.2761854  114.94961595 172.90953087 185.60144811]"|[131.09490839 112.84296246 133.34561548]|[18.92325054 10.03355608  7.60313195]
5|"[ 30.92481937 208.0179512  209.48850159 153.16767646 130.81655635
 109.58275859 185.57462897 146.33815552 170.55268515  25.23256965
 169.99935267  74.72462064 103.65574864 199.89835026 109.16462475
 203.76349541 138.43731551 101.56707243  49.01126404 152.31625418
  31.12619744  31.94932419 120.29548615 219.23436116  89.0024565
 142.94346998  70.04931031 221.81373621  39.46451967 213.67096456
  53.7272761  140.78300075 146.31573218 164.2151109   37.57312072
  76.72366087 201.43863802 148.17112686  25.14807192  65.4908401
 115.80639265 214.27291219 171.66154598  39.51726719 160.3110183
  72.15457883  46.46825721 208.32521971 120.42645444  70.76322775
 148.58453565 119.77658552 164.36978929  30.35059424  81.93021799
 189.18839254 198.60214063  72.49592745  60.68638004 203.44795525
  53.70247299 107.13375049 187.38869988 159.42383854 169.52374121
 136.31446229 211.71263262 167.0047616   91.63424252 195.45232261
  51.62549197 193.08412452 202.1629359  135.51179695 111.97971684
 147.96456316  78.53777502  77.3224585  223.41696207 181.9603382
  32.25914936 141.66170283 202.21016856 119.44336023 153.09257173
  38.85354343 172.30912446 219.5938927  197.67265725  46.44534582
 176.68261047  57.86126506 195.72043494 188.57694525 182.39018155
 157.57486041 143.55366148 159.92169758 166.14521657 191.5740045 ]"|"[ 63.37545157  69.62772933  84.53030143  97.28347142  93.23212642
 122.4075286  124.57805242  69.26848328  99.16433083 184.54059216
  30.93290228 129.7670196   66.99380261 138.33687339  41.80372421
 190.48891517 101.34301231 120.40564068  34.62485246 115.62386517
  68.0899598  105.32396788 102.69183523  87.22687957 185.27453386
  33.91579042 201.20879337  71.14000012  85.3505143   84.50030634
 207.48544631 128.0692971  172.81128917  54.67149395 101.32277007
  43.29803157  86.68353644 221.13785338  88.6933566  167.13204314
 175.48479167 151.47338491  79.78324743  90.89141525 190.53640885
 110.82664512  56.24002844  61.62482022 149.71383281 147.88321616
 195.03565079 180.92587336  70.9059119  173.75186838  93.49372399
 198.21524535 154.95788166 118.19521304  58.16706593 149.46381898
 170.29817388  45.4552731  216.39553973 148.99205381 222.14720918
 193.55745093 110.45138951  28.49906474  28.12159796  61.33763467
  91.74007877 197.48530976  82.81209205  51.98791041 160.20870116
 160.71803776 116.21396352  70.93845059 163.70909331 211.75543206
 141.27391981  36.83811478  89.80231582  70.39294284 224.8843503
 199.88390587  30.16882929 134.68626543 174.30828037  81.17060769
 217.78033532  83.77150415 138.32468476 102.14450423 137.33340759
 192.79522975 107.2761854  114.94961595 172.90953087 185.60144811]"|[132.50977603 111.35990476 134.72456117]|[19.42139666  9.8087454   7.01278561]
6|"[ 30.92481937 208.0179512  209.48850159 153.16767646 130.81655635
 109.58275859 185.57462897 146.33815552 170.55268515  25.23256965
 170.98714944  74.72462064 103.65574864 199.89835026 108.89861297
 203.76349541 138.43731551 101.56707243  49.01126404 152.31625418
  31.12619744  31.94932419 120.29548615 219.23436116  89.0024565
 143.34045785  70.04931031 221.81373621  39.46451967 213.67096456
  53.7272761  140.78300075 146.31573218 164.2151109   37.57312072
  76.72366087 201.43863802 147.49868863  25.14807192  65.4908401
 115.80639265 214.27291219 171.66154598  39.51726719 160.3110183
  72.15457883  46.46825721 208.32521971 120.42645444  70.76322775
 148.58453565 119.77658552 164.36978929  30.35059424  81.93021799
 189.18839254 198.60214063  72.49592745  60.68638004 203.44795525
  53.70247299 106.92465694 187.38869988 159.42383854 169.52374121
 136.31446229 211.71263262 168.00471628  90.74773902 195.45232261
  51.62549197 193.08412452 202.1629359  136.01536986 111.97971684
 147.96456316  78.53777502  77.3224585  223.41696207 181.9603382
  32.25914936 141.99792921 202.21016856 119.44336023 153.09257173
  38.85354343 173.28885409 219.5938927  197.67265725  46.44534582
 176.68261047  57.86126506 195.72043494 188.57694525 182.39018155
 157.57486041 143.55366148 159.92169758 166.14521657 191.5740045 ]"|"[ 63.37545157  69.62772933  84.53030143  97.28347142  93.23212642
 122.4075286  124.57805242  69.26848328  99.16433083 184.54059216
  31.0886506  129.7670196   66.99380261 138.33687339  42.76769399
 190.48891517 101.34301231 120.40564068  34.62485246 115.62386517
  68.0899598  105.32396788 102.69183523  87.22687957 185.27453386
  34.83361427 201.20879337  71.14000012  85.3505143   84.50030634
 207.48544631 128.0692971  172.81128917  54.67149395 101.32277007
  43.29803157  86.68353644 220.39770014  88.6933566  167.13204314
 175.48479167 151.47338491  79.78324743  90.89141525 190.53640885
 110.82664512  56.24002844  61.62482022 149.71383281 147.88321616
 195.03565079 180.92587336  70.9059119  173.75186838  93.49372399
 198.21524535 154.95788166 118.19521304  58.16706593 149.46381898
 170.29817388  46.43316875 216.39553973 148.99205381 222.14720918
 193.55745093 110.45138951  28.48954465  28.58431985  61.33763467
  91.74007877 197.48530976  82.81209205  52.85186314 160.20870116
 160.71803776 116.21396352  70.93845059 163.70909331 211.75543206
 141.27391981  37.77989598  89.80231582  70.39294284 224.8843503
 199.88390587  30.36915364 134.68626543 174.30828037  81.17060769
 217.78033532  83.77150415 138.32468476 102.14450423 137.33340759
 192.79522975 107.2761854  114.94961595 172.90953087 185.60144811]"|[133.94168264 109.86828183 136.1326961 ]|[19.86821145  9.65043858  6.49591424]
7|"[ 30.92481937 208.0179512  209.48850159 153.16767646 130.81655635
 109.58275859 185.57462897 146.33815552 170.55268515  25.23256965
 171.72182206  74.72462064 103.65574864 199.89835026 108.98393121
 203.76349541 138.43731551 101.56707243  49.01126404 152.05800915
  31.12619744  31.94932419 120.29548615 219.23436116  89.0024565
 143.88372257  70.04931031 221.81373621  39.46451967 213.74991308
  53.7272761  140.78300075 146.31573218 164.2151109   37.57312072
  76.72366087 202.27632873 147.49868863  25.14807192  65.4908401
 115.80639265 214.27291219 171.66154598  39.51726719 160.3110183
  72.15457883  46.46825721 208.32521971 120.42645444  70.76322775
 148.58453565 119.77658552 164.36978929  30.35059424  81.93021799
 189.18839254 198.60214063  72.49592745  60.68638004 203.44795525
  53.70247299 107.2867267  187.38869988 159.42383854 169.52374121
 136.31446229 211.71263262 168.99836249  89.81816772 195.45232261
  51.62549197 193.08412452 202.1629359  136.6508421  111.97971684
 147.96456316  78.53777502  77.3224585  223.41696207 181.9603382
  32.25914936 142.29748597 202.21016856 119.44336023 153.09257173
  38.85354343 174.26366341 219.5938927  197.67265725  46.44534582
 176.68261047  57.86126506 195.72043494 188.57694525 182.39018155
 157.57486041 143.55366148 159.92169758 166.14521657 191.5740045 ]"|"[ 63.37545157  69.62772933  84.53030143  97.28347142  93.23212642
 122.4075286  124.57805242  69.26848328  99.16433083 184.54059216
  30.4102288  129.7670196   66.99380261 138.33687339  43.76404774
 190.48891517 101.34301231 120.40564068  34.62485246 116.58994462
  68.0899598  105.32396788 102.69183523  87.22687957 185.27453386
  35.67317574 201.20879337  71.14000012  85.3505143   83.50342765
 207.48544631 128.0692971  172.81128917  54.67149395 101.32277007
  43.29803157  87.22968137 220.39770014  88.6933566  167.13204314
 175.48479167 151.47338491  79.78324743  90.89141525 190.53640885
 110.82664512  56.24002844  61.62482022 149.71383281 147.88321616
 195.03565079 180.92587336  70.9059119  173.75186838  93.49372399
 198.21524535 154.95788166 118.19521304  58.16706593 149.46381898
 170.29817388  47.36531975 216.39553973 148.99205381 222.14720918
 193.55745093 110.45138951  28.376996    28.95296222  61.33763467
  91.74007877 197.48530976  82.81209205  53.62398686 160.20870116
 160.71803776 116.21396352  70.93845059 163.70909331 211.75543206
 141.27391981  38.73397446  89.80231582  70.39294284 224.8843503
 199.88390587  30.14611372 134.68626543 174.30828037  81.17060769
 217.78033532  83.77150415 138.32468476 102.14450423 137.33340759
 192.79522975 107.2761854  114.94961595 172.90953087 185.60144811]"|[135.40766937 108.37344251 137.56342027]|[20.18583214  9.52611883  6.04532757]
8|"[ 30.92481937 208.0179512  209.48850159 153.16767646 130.81655635
 109.58275859 185.57462897 146.33815552 170.55268515  25.23256965
 172.72088655  74.06477344 103.65574864 199.89835026 109.19079866
 203.76349541 138.43731551 101.56707243  49.01126404 152.05800915
  31.12619744  31.94932419 120.29548615 219.23436116  89.0024565
 143.60512897  70.04931031 221.81373621  39.46451967 213.74991308
  53.7272761  140.78300075 146.31573218 164.67833945  37.57312072
  76.72366087 202.27632873 148.16295004  25.14807192  65.4908401
 115.80639265 213.53645818 171.66154598  38.96226793 160.3110183
  72.15457883  46.46825721 208.32521971 120.42645444  70.76322775
 148.58453565 119.77658552 164.36978929  30.35059424  81.93021799
 189.18839254 198.60214063  72.49592745  60.68638004 203.44795525
  53.70247299 106.89080091 187.38869988 159.42383854 169.52374121
 136.31446229 211.71263262 169.98820655  89.36888215 195.45232261
  51.62549197 193.08412452 202.1629359  136.86329117 111.97971684
 147.96456316  78.53777502  77.3224585  223.41696207 181.9603382
  32.25914936 142.17110064 202.21016856 119.44336023 153.09257173
  38.85354343 175.17336059 219.5938927  198.40101702  46.44534582
 176.68261047  57.86126506 195.72043494 188.57694525 182.39018155
 157.57486041 143.55366148 159.92169758 166.14521657 191.5740045 ]"|"[ 63.37545157  69.62772933  84.53030143  97.28347142  93.23212642
 122.4075286  124.57805242  69.26848328  99.16433083 184.54059216
  30.36698362 129.01561979  66.99380261 138.33687339  44.74241672
 190.48891517 101.34301231 120.40564068  34.62485246 116.58994462
  68.0899598  105.32396788 102.69183523  87.22687957 185.27453386
  36.63358482 201.20879337  71.14000012  85.3505143   83.50342765
 207.48544631 128.0692971  172.81128917  55.5577328  101.32277007
  43.29803157  87.22968137 221.14520049  88.6933566  167.13204314
 175.48479167 152.14987253  79.78324743  91.72326609 190.53640885
 110.82664512  56.24002844  61.62482022 149.71383281 147.88321616
 195.03565079 180.92587336  70.9059119  173.75186838  93.49372399
 198.21524535 154.95788166 118.19521304  58.16706593 149.46381898
 170.29817388  48.28360226 216.39553973 148.99205381 222.14720918
 193.55745093 110.45138951  28.51915343  29.84635042  61.33763467
  91.74007877 197.48530976  82.81209205  54.601159   160.20870116
 160.71803776 116.21396352  70.93845059 163.70909331 211.75543206
 141.27391981  39.72595568  89.80231582  70.39294284 224.8843503
 199.88390587  30.56138595 134.68626543 174.99347526  81.17060769
 217.78033532  83.77150415 138.32468476 102.14450423 137.33340759
 192.79522975 107.2761854  114.94961595 172.90953087 185.60144811]"|[136.8745703  106.87621871 139.01079945]|[20.49920361  9.43489993  5.65150842]
9|"[ 30.92481937 208.0179512  209.48850159 153.16767646 130.81655635
 109.58275859 185.57462897 146.33815552 170.55268515  25.23256965
 173.71329469  74.06477344 103.65574864 199.89835026 108.58175361
 203.76349541 138.43731551 101.56707243  49.01126404 152.05800915
  31.12619744  31.94932419 120.29548615 219.83047395  89.0024565
 143.9843208   70.04931031 221.81373621  39.46451967 213.74991308
  53.7272761  140.78300075 146.31573218 165.10754296  37.57312072
  76.72366087 202.27632873 148.16295004  25.14807192  65.4908401
 115.80639265 212.61969525 170.85656181  38.96226793 160.3110183
  72.15457883  46.46825721 208.32521971 120.42645444  70.76322775
 148.58453565 120.59676109 164.36978929  30.35059424  81.93021799
 189.18839254 198.60214063  72.49592745  60.68638004 203.44795525
  53.70247299 106.40331003 187.38869988 159.42383854 169.52374121
 137.24693393 211.71263262 170.82258963  88.65051891 195.45232261
  51.62549197 193.08412452 202.37190815 137.50530588 111.97971684
 147.96456316  78.53777502  77.3224585  223.41696207 181.9603382
  32.25914936 142.4186094  202.21016856 119.44336023 153.09257173
  38.85354343 175.9641171  219.5938927  198.40101702  46.44534582
 176.68261047  57.86126506 195.72043494 188.57694525 182.39018155
 157.57486041 143.55366148 159.92169758 166.14521657 191.5740045 ]"|"[ 63.37545157  69.62772933  84.53030143  97.28347142  93.23212642
 122.4075286  124.57805242  69.26848328  99.16433083 184.54059216
  30.48997177 129.01561979  66.99380261 138.33687339  45.53555236
 190.48891517 101.34301231 120.40564068  34.62485246 116.58994462
  68.0899598  105.32396788 102.69183523  86.42397886 185.27453386
  37.5589029  201.20879337  71.14000012  85.3505143   83.50342765
 207.48544631 128.0692971  172.81128917  56.46094062 101.32277007
  43.29803157  87.22968137 221.14520049  88.6933566  167.13204314
 175.48479167 151.75044077  79.18995114  91.72326609 190.53640885
 110.82664512  56.24002844  61.62482022 149.71383281 147.88321616
 195.03565079 180.35376145  70.9059119  173.75186838  93.49372399
 198.21524535 154.95788166 118.19521304  58.16706593 149.46381898
 170.29817388  49.15673033 216.39553973 148.99205381 222.14720918
 193.19620774 110.45138951  29.07033841  30.54201863  61.33763467
  91.74007877 197.48530976  81.83417048  55.36785132 160.20870116
 160.71803776 116.21396352  70.93845059 163.70909331 211.75543206
 141.27391981  40.69484134  89.80231582  70.39294284 224.8843503
 199.88390587  31.17351678 134.68626543 174.99347526  81.17060769
 217.78033532  83.77150415 138.32468476 102.14450423 137.33340759
 192.79522975 107.2761854  114.94961595 172.90953087 185.60144811]"|[138.36804697 105.37738526 140.49057018]|[20.6389442   9.3757536   5.40599146]
