|dog_x_positions|dog_y_positions
0|[13.09509379]|[179.85721014]
1|[14.48734811]|[180.41544658]
2|[15.94896128]|[180.75262153]
3|[17.42906591]|[180.99611747]
4|[18.91505702]|[181.20064238]
5|[20.4015225]|[181.40169058]
6|[21.88818204]|[181.60129871]
7|[23.37492087]|[181.8003154]
8|[24.86169271]|[181.99908536]
9|[26.34847807]|[182.19775418]
10|[27.83526864]|[182.396384]
11|[29.3220609]|[182.59500116]
12|[30.80885346]|[182.79361607]
13|[32.29564524]|[182.9922368]
14|[33.78243785]|[183.19085137]
15|[35.26923227]|[183.38945235]
16|[36.75602749]|[183.58804735]
17|[38.24415322]|[183.77641348]
18|[39.68723343]|[183.36712201]
19|[41.04598726]|[182.73167883]
20|[42.3603866]|[182.00893796]
21|[43.65516182]|[181.25160242]
22|[44.94170232]|[180.48036085]
23|[46.2248542]|[179.70349454]
24|[47.50661976]|[178.92434306]
25|[48.7878204]|[178.14426298]
26|[50.06878798]|[177.36380027]
27|[51.34966011]|[176.5831809]
28|[52.63049052]|[175.80249308]
29|[53.91130143]|[175.02177329]
30|[55.19210228]|[174.24103697]
31|[56.47289531]|[173.46028784]
32|[57.75368213]|[172.67952852]
33|[59.03446572]|[171.89876389]
34|[60.31524595]|[171.11799376]
35|[61.59601969]|[170.33721298]
36|[62.87678784]|[169.55642302]
37|[64.15755253]|[168.77562741]
38|[65.43831424]|[167.9948269]
39|[66.71907203]|[167.21401994]
40|[67.99982904]|[166.43321173]
41|[69.2776753]|[165.6476489]
42|[70.55433239]|[164.86015499]
43|[71.83050169]|[164.07187084]
44|[73.10647306]|[163.28326633]
45|[74.38236142]|[162.49452753]
46|[75.6582124]|[161.70572827]
47|[76.93404423]|[160.91689803]
48|[78.2098641]|[160.12804845]
49|[79.48567532]|[159.33918487]
50|[80.7614776]|[158.55030685]
51|[82.0372686]|[157.76141058]
52|[83.31305055]|[156.97249968]
53|[84.58881942]|[156.18356762]
54|[85.86457572]|[155.39461523]
55|[87.14032022]|[154.60564378]
56|[88.41605388]|[153.81665479]
57|[89.69177888]|[153.02765179]
58|[90.10658282]|[151.58614643]
59|[90.09456274]|[150.08619459]
60|[89.90595668]|[148.59809925]
61|[89.64514337]|[147.12094779]
62|[89.35466193]|[145.64934305]
63|[89.05193425]|[144.18020862]
64|[88.74412138]|[142.71213123]
65|[88.43418259]|[141.24450118]
66|[88.12332185]|[139.77706614]
67|[87.81203961]|[138.30972046]
68|[87.50054695]|[136.84241942]
69|[87.1724576]|[135.37874003]
70|[86.83742842]|[133.91663351]
71|[86.49947998]|[132.455199]
72|[86.16026527]|[130.99405787]
73|[85.84060025]|[129.52851556]
74|[85.54927302]|[128.05707802]
75|[86.48034934]|[126.88102662]
76|[87.74004206]|[126.06667151]
77|[89.09614346]|[125.42558729]
78|[90.48482343]|[124.85851768]
79|[91.88564895]|[124.32215226]
80|[93.27576892]|[124.88568265]
81|[94.4459498]|[125.82412641]
82|[95.49738022]|[126.89393671]
83|[96.49592987]|[128.01326624]
84|[97.47213654]|[129.15213434]
85|[98.43906692]|[130.29888873]
86|[99.40215641]|[131.44887074]
87|[100.36364965]|[132.60018771]
88|[101.32446935]|[133.75206683]
89|[102.28498851]|[134.90419657]
90|[103.2453651]|[136.05644515]
91|[104.2056545]|[137.2087664]
92|[105.16588373]|[138.3611378]
93|[106.12606355]|[139.51355036]
94|[107.08620841]|[140.66599205]
95|[108.04630519]|[141.81847379]
96|[109.00636408]|[142.9709871]
97|[109.96639015]|[144.12352775]
98|[110.92638567]|[145.27609385]
99|[111.88634208]|[146.42869252]
100|[112.43464553]|[147.82488853]
101|[112.79490729]|[149.28098313]
102|[113.07516357]|[150.75456937]
103|[113.32187823]|[152.23414089]
104|[113.5545341]|[153.71598813]
105|[113.78125984]|[155.19875428]
106|[114.52260139]|[156.50275301]
107|[115.44927014]|[157.68228047]
108|[116.44655521]|[158.80273685]
109|[116.73499941]|[157.33073143]
110|[116.50674133]|[155.8482004]
111|[116.07281617]|[154.41233517]
112|[115.55679383]|[153.00388889]
113|[115.00753933]|[151.60806673]
114|[114.44472016]|[150.21765867]
115|[113.87635003]|[148.82951048]
116|[113.3057021]|[147.44229711]
117|[112.73410333]|[146.05547525]
118|[112.16211081]|[144.66881576]
119|[111.58995248]|[143.28222467]
120|[111.0177181]|[141.89566497]
121|[110.44544433]|[140.50912152]
122|[109.87313791]|[139.12259155]
123|[109.30080569]|[137.73607223]
124|[108.72846552]|[136.34955619]
125|[108.15610471]|[134.96304866]
126|[107.58373197]|[133.57654607]
127|[107.01135467]|[132.19004536]
128|[106.43896565]|[130.80354948]
129|[105.86655642]|[129.41706195]
130|[105.29410974]|[128.03058988]
131|[104.72161764]|[126.64413657]
132|[104.14907661]|[125.25770346]
133|[103.57546586]|[123.87171258]
