|X_Positions|Y_Positions
0|[25.02707797]|[179.82817415]
1|[26.52573378]|[179.76468572]
2|[27.94155005]|[179.26924218]
3|[29.28879438]|[178.60974791]
4|[30.60276423]|[177.8862265]
5|[31.9023502]|[177.13717623]
6|[33.19595227]|[176.37783856]
7|[34.4871005]|[175.61433594]
8|[35.77724806]|[174.84914364]
9|[37.06698757]|[174.08326375]
10|[38.35655993]|[173.31710245]
11|[39.64606308]|[172.55082468]
12|[40.93553673]|[171.78449727]
13|[42.22499702]|[171.01814737]
14|[43.51445049]|[170.25178601]
15|[44.80389971]|[169.48541749]
16|[46.09334466]|[168.71904178]
17|[47.38278538]|[167.95265895]
18|[48.67222184]|[167.18626896]
19|[49.96165419]|[166.41987205]
20|[51.25108256]|[165.65346846]
21|[52.54050669]|[164.88705772]
22|[53.8299265]|[164.12063973]
23|[55.11934224]|[163.35421487]
24|[56.40875384]|[162.58778306]
25|[57.69816179]|[161.82134511]
26|[58.98756547]|[161.05489997]
27|[60.27696497]|[160.2884478]
28|[61.56636078]|[159.52198942]
29|[62.85575225]|[158.75552374]
30|[64.14513849]|[157.98904927]
31|[65.43451924]|[157.22256555]
32|[66.72389461]|[156.45607279]
33|[68.01326407]|[155.68957008]
34|[69.30262843]|[154.92305881]
35|[70.59198729]|[154.15653827]
36|[71.88134061]|[153.39000842]
37|[73.1706879]|[152.62346842]
38|[74.46003001]|[151.85691971]
39|[75.74936738]|[151.09036303]
40|[77.03869969]|[150.32379783]
41|[78.32802723]|[149.55722461]
42|[79.61734797]|[148.79063997]
43|[80.90666286]|[148.02404548]
44|[82.19597077]|[147.25743925]
45|[83.48527347]|[146.49082424]
46|[84.77457159]|[145.72420155]
47|[86.0638677]|[144.95757547]
48|[87.35316197]|[144.19094631]
49|[88.64245493]|[143.42431494]
50|[89.66258008]|[144.52401702]
51|[90.11017933]|[145.95567861]
52|[90.2923564]|[147.44457469]
53|[90.36238243]|[148.94293925]
54|[90.38563883]|[150.44275895]
55|[90.38939767]|[151.94275424]
56|[90.38499759]|[153.44274779]
57|[90.39132705]|[154.94273443]
58|[90.41870977]|[156.44248448]
59|[90.47262718]|[157.94151513]
60|[90.55644612]|[159.43917143]
61|[90.66938613]|[160.93491357]
62|[90.81301846]|[162.42802099]
63|[90.9900323]|[163.91753973]
64|[91.19934265]|[165.40286434]
65|[91.44300232]|[166.88294203]
66|[91.71860575]|[168.35740557]
67|[92.02792319]|[169.8251667]
68|[92.37275742]|[171.28499181]
69|[92.75174915]|[172.73632405]
70|[93.16330633]|[174.17875973]
71|[93.61149297]|[175.61023754]
72|[94.09415821]|[177.03046086]
73|[94.6104629]|[178.43880367]
74|[95.16056656]|[179.83429138]
75|[95.74911432]|[181.21400568]
76|[96.37740344]|[182.57608232]
77|[97.04263313]|[183.92050393]
78|[97.74772617]|[185.244454]
79|[98.49424348]|[186.54549663]
80|[99.28151284]|[187.82229221]
81|[100.10614079]|[189.07528412]
82|[100.96646771]|[190.30403861]
83|[101.86088868]|[191.50820269]
84|[102.7900093]|[192.68579977]
85|[103.75890193]|[193.83089674]
86|[104.77035723]|[194.93857818]
87|[105.82048114]|[196.00967097]
88|[106.41119295]|[194.63088181]
89|[106.40302734]|[193.13090403]
90|[106.1483658]|[191.65267959]
91|[105.79478969]|[190.19494713]
92|[105.40121528]|[188.74750139]
93|[104.99136157]|[187.30458076]
94|[104.57485681]|[185.86356591]
95|[104.15562256]|[184.42334279]
96|[103.73526359]|[182.98344754]
97|[103.31443211]|[181.54369031]
98|[102.89339808]|[180.10399231]
99|[102.47227456]|[178.66432048]
100|[102.0511089]|[177.22466097]
101|[101.62992234]|[175.78500759]
102|[101.20872711]|[174.34535673]
103|[100.78752669]|[172.9057074]
104|[100.36632364]|[171.46605883]
105|[99.94511951]|[170.02641058]
106|[99.52391291]|[168.58676306]
107|[99.10270323]|[167.14711643]
108|[98.68148891]|[165.70747117]
109|[98.26027056]|[164.26782708]
110|[97.83904878]|[162.82818399]
111|[97.41782156]|[161.3885425]
112|[96.9965877]|[159.94890295]
113|[96.57534454]|[158.50926612]
114|[96.15408863]|[157.06963302]
115|[95.73281695]|[155.63000453]
116|[95.31151943]|[154.19038361]
117|[94.89019328]|[152.75077107]
118|[94.46883261]|[151.31116863]
119|[94.04742492]|[149.87157995]
120|[93.62596387]|[148.4320069]
121|[93.20444565]|[146.99245058]
122|[92.78286342]|[145.55291301]
123|[92.3612182]|[144.11339388]
124|[91.93950016]|[142.67389609]
125|[91.51770138]|[141.23442195]
126|[91.09582129]|[139.79497165]
127|[90.67385325]|[138.35554712]
128|[90.25179865]|[136.91614797]
129|[89.82965568]|[135.47677473]
130|[89.40741385]|[134.03743049]
131|[88.98506382]|[132.598118]
132|[88.58139707]|[131.15345432]
133|[88.20239987]|[129.70212351]
134|[87.85290591]|[128.24340696]
135|[87.53447716]|[126.77759553]
136|[87.24886191]|[125.3050386]
137|[86.99490745]|[123.82669252]
138|[88.30298464]|[124.56081382]
139|[89.29614987]|[125.68492361]
140|[90.12759148]|[126.93340462]
141|[90.88828579]|[128.22620939]
142|[91.61929652]|[129.53602744]
143|[92.33801777]|[130.85262903]
144|[93.05167774]|[132.17198093]
145|[93.76325432]|[133.49245766]
146|[94.47397247]|[134.81339661]
147|[95.18433813]|[136.13452515]
148|[95.89455542]|[137.45573346]
149|[96.6047076]|[138.77697677]
150|[97.31482745]|[140.09823745]
151|[98.02493119]|[141.4195068]
