|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[ 99.00813527  81.49826148 118.07112989 103.66784818 155.80910578
 117.17259662 146.74727959 112.23296945 152.96781955  93.06096008
 116.0376712  138.53397923 146.15267723  92.73341732 127.74063314
 106.50918963  87.6720062  155.22677551 161.5341676  110.56012823
 135.23095321 160.72861229 114.26757498 148.11621526  91.98957837
  95.93587014  84.84402768 122.11238221 166.13507509 142.44756119
 162.09693229  90.11515604 174.59837866  86.70792628 161.03890812
 145.12363721  95.41540257 104.3266421   79.63761198 111.25353993
 121.38325549  82.83551644 103.4364405  168.67291133  94.29045289
  97.50059701  94.5341215  165.38045287  94.07239815 145.48572301
 164.98685683 155.71708357  83.99867376 125.1367351  109.0029855
 101.54903807 119.34021816 128.36353721 125.41294962  85.80405505
  83.86202043 137.59178492 140.67886727 134.06943056 136.83521139
 136.44662059 122.31159577 173.1253856  124.65511988 159.30615662
 163.27695497  86.23887976 149.5837526  124.56671921 148.62998725]"|"[ 90.20556944 131.44776358 115.97384356  83.84952134 112.78421213
 138.38164658  85.10704767 123.6937205  138.61986438 162.62553491
 125.54287268  98.72894186 168.49999607 112.8747385  104.10313901
 116.7908707   89.72401533 122.1577012  136.78443948 116.06584539
 161.06263498 169.3785809  109.24776559 124.73345816 149.76933711
 134.26807483 146.45225765 119.27634044 112.07328025 120.68964966
 102.6585828   88.42805539 121.61433842  95.9610745  110.59875372
 134.88638987 100.19425077 100.03542769 170.00151182 145.01750264
 149.90075193 159.52081729 138.29061738 148.82390418 171.17187842
 155.75483781 115.6841706  147.5108311  104.34187071 138.55570485
 151.82117578 137.1251614  101.26849192 140.76585046 100.63537518
 147.86774152 100.39445482  81.53870598 144.50058139 156.02752784
  79.39442083 152.5964914   89.41747479 148.21362265  81.59419028
 110.07713552 160.08768072 102.23885467  87.03864172 132.32693846
 132.62510671  87.34949124 105.40991616 124.18092641 139.73196844]"|[109.45650334]|[14.84816664]
1|"[ 99.00813527  81.49826148 118.07112989 103.74309489 155.80910578
 117.17259662 146.74727959 112.23296945 152.96781955  93.06096008
 116.0376712  138.53397923 146.15267723  92.73341732 127.74063314
 106.94277757  87.6720062  155.6800215  161.5341676  110.56012823
 135.23095321 160.72861229 114.26757498 147.11674875  91.98957837
  95.93587014  84.84402768 122.11238221 166.13507509 142.44756119
 162.09693229  90.11515604 174.59837866  86.70792628 161.03890812
 145.12363721  95.41540257 104.3266421   79.63761198 110.69301712
 121.38325549  82.83551644 103.4364405  168.67291133  94.29045289
  97.50059701  94.5341215  165.38045287  94.07239815 145.48572301
 164.98685683 155.71708357  83.99867376 125.1367351  109.0029855
 101.54903807 119.34021816 128.20126359 125.41294962  85.80405505
  84.48955094 137.59178492 140.67886727 134.06943056 136.83521139
 136.44662059 122.31159577 173.1253856  124.65511988 158.49538682
 163.27695497  86.23887976 149.5837526  124.56671921 148.62998725]"|"[ 90.20556944 131.44776358 115.97384356  84.84668629 112.78421213
 138.38164658  85.10704767 123.6937205  138.61986438 162.62553491
 125.54287268  98.72894186 168.49999607 112.8747385  104.10313901
 117.69198196  89.72401533 123.04908668 136.78443948 116.06584539
 161.06263498 169.3785809  109.24776559 124.70079787 149.76933711
 134.26807483 146.45225765 119.27634044 112.07328025 120.68964966
 102.6585828   88.42805539 121.61433842  95.9610745  110.59875372
 134.88638987 100.19425077 100.03542769 170.00151182 144.18936365
 149.90075193 159.52081729 138.29061738 148.82390418 171.17187842
 155.75483781 115.6841706  147.5108311  104.34187071 138.55570485
 151.82117578 137.1251614  101.26849192 140.76585046 100.63537518
 147.86774152 100.39445482  82.52545178 144.50058139 156.02752784
  80.1730128  152.5964914   89.41747479 148.21362265  81.59419028
 110.07713552 160.08768072 102.23885467  87.03864172 132.91230359
 132.62510671  87.34949124 105.40991616 124.18092641 139.73196844]"|[109.7192637]|[16.32497298]
2|"[ 99.00813527  81.49826148 118.07112989 104.02842592 155.80910578
 117.17259662 146.74727959 112.23296945 152.96781955  93.06096008
 116.0376712  138.53397923 146.15267723  92.73341732 127.74063314
 106.94277757  87.6720062  155.6800215  161.5341676  110.56012823
 135.23095321 160.72861229 114.26757498 147.11674875  91.98957837
  95.93587014  84.84402768 122.11238221 167.06294378 142.44756119
 162.09693229  90.11515604 174.59837866  86.70792628 161.03890812
 145.12363721  95.41540257 104.3266421   79.63761198 110.69301712
 121.38325549  82.83551644 103.4364405  168.67291133  94.29045289
  97.50059701  94.5341215  165.38045287  94.07239815 145.48572301
 164.98685683 155.71708357  83.99867376 125.1367351  109.0029855
 102.40146611 119.34021816 128.35801673 125.41294962  85.80405505
  84.63961744 137.59178492 140.67886727 134.06943056 136.83521139
 136.44662059 122.31159577 173.1253856  124.65511988 158.49538682
 163.27695497  86.23887976 149.5837526  124.56671921 148.62998725]"|"[ 90.20556944 131.44776358 115.97384356  85.80511532 112.78421213
 138.38164658  85.10704767 123.6937205  138.61986438 162.62553491
 125.54287268  98.72894186 168.49999607 112.8747385  104.10313901
 117.69198196  89.72401533 123.04908668 136.78443948 116.06584539
 161.06263498 169.3785809  109.24776559 124.70079787 149.76933711
 134.26807483 146.45225765 119.27634044 111.70037318 120.68964966
 102.6585828   88.42805539 121.61433842  95.9610745  110.59875372
 134.88638987 100.19425077 100.03542769 170.00151182 144.18936365
 149.90075193 159.52081729 138.29061738 148.82390418 171.17187842
 155.75483781 115.6841706  147.5108311  104.34187071 138.55570485
 151.82117578 137.1251614  101.26849192 140.76585046 100.63537518
 147.34489698 100.39445482  83.51308959 144.50058139 156.02752784
  81.16168871 152.5964914   89.41747479 148.21362265  81.59419028
 110.07713552 160.08768072 102.23885467  87.03864172 132.91230359
 132.62510671  87.34949124 105.40991616 124.18092641 139.73196844]"|[109.64585008]|[17.82317539]
3|"[ 99.00813527  81.49826148 118.07112989 104.19486504 155.80910578
 117.17259662 146.74727959 112.23296945 152.96781955  93.06096008
 116.0376712  138.53397923 146.15267723  92.73341732 127.19562121
 106.94277757  87.6720062  155.6800215  161.5341676  110.56012823
 135.23095321 160.72861229 114.26757498 147.31560164  91.98957837
  95.93587014  84.84402768 122.11238221 167.06294378 142.44756119
 162.09693229  90.11515604 174.59837866  86.70792628 161.03890812
 145.12363721  95.41540257 104.3266421   79.63761198 110.69301712
 121.38325549  82.83551644 103.4364405  168.67291133  94.29045289
  97.50059701  94.5341215  165.38045287  94.07239815 145.48572301
 164.98685683 155.71708357  83.99867376 125.1367351  109.0029855
 102.40146611 119.34021816 128.40634562 125.41294962  85.80405505
  84.82353956 137.59178492 140.67886727 134.06943056 136.93896777
 135.877526   122.31159577 173.1253856  124.65511988 158.49538682
 163.27695497  86.23887976 149.5837526  124.56671921 148.62998725]"|"[ 90.20556944 131.44776358 115.97384356  86.79116705 112.78421213
 138.38164658  85.10704767 123.6937205  138.61986438 162.62553491
 125.54287268  98.72894186 168.49999607 112.8747385  104.9415673
 117.69198196  89.72401533 123.04908668 136.78443948 116.06584539
 161.06263498 169.3785809  109.24776559 123.72076852 149.76933711
 134.26807483 146.45225765 119.27634044 111.70037318 120.68964966
 102.6585828   88.42805539 121.61433842  95.9610745  110.59875372
 134.88638987 100.19425077 100.03542769 170.00151182 144.18936365
 149.90075193 159.52081729 138.29061738 148.82390418 171.17187842
 155.75483781 115.6841706  147.5108311  104.34187071 138.55570485
 151.82117578 137.1251614  101.26849192 140.76585046 100.63537518
 147.34489698 100.39445482  84.51192107 144.50058139 156.02752784
  82.14462953 152.5964914   89.41747479 148.21362265  82.58879302
 109.25486345 160.08768072 102.23885467  87.03864172 132.91230359
 132.62510671  87.34949124 105.40991616 124.18092641 139.73196844]"|[109.43635181]|[19.3084735]
4|"[ 99.00813527  82.15350008 118.07112989 104.45119427 156.72737958
 117.17259662 146.74727959 112.23296945 152.96781955  93.06096008
 116.0376712  138.53397923 146.15267723  92.73341732 127.19562121
 106.94277757  87.6720062  155.23946541 161.5341676  110.56012823
 135.23095321 160.33942297 114.26757498 147.31560164  91.98957837
  95.93587014  84.84402768 122.11238221 167.06294378 142.44756119
 162.09693229  90.11515604 174.59837866  86.70792628 161.03890812
 145.12363721  95.41540257 104.3266421   79.63761198 110.69301712
 121.38325549  82.83551644 103.4364405  168.67291133  94.29045289
  97.50059701  94.5341215  165.38045287  94.07239815 145.48572301
 164.98685683 155.71708357  83.99867376 124.36511187 109.0029855
 102.40146611 119.34021816 128.52345904 125.41294962  85.80405505
  84.89093976 137.59178492 140.67886727 134.06943056 136.865868
 135.877526   122.31159577 173.1253856  124.89539292 159.1536295
 163.27695497  86.23887976 149.5837526  124.56671921 148.62998725]"|"[ 90.20556944 130.69234159 115.97384356  87.75775658 112.38826616
 138.38164658  85.10704767 123.6937205  138.61986438 162.62553491
 125.54287268  98.72894186 168.49999607 112.8747385  104.9415673
 117.69198196  89.72401533 122.15136159 136.78443948 116.06584539
 161.06263498 170.29973869 109.24776559 123.72076852 149.76933711
 134.26807483 146.45225765 119.27634044 111.70037318 120.68964966
 102.6585828   88.42805539 121.61433842  95.9610745  110.59875372
 134.88638987 100.19425077 100.03542769 170.00151182 144.18936365
 149.90075193 159.52081729 138.29061738 148.82390418 171.17187842
 155.75483781 115.6841706  147.5108311  104.34187071 138.55570485
 151.82117578 137.1251614  101.26849192 141.40193032 100.63537518
 147.34489698 100.39445482  85.50503962 144.50058139 156.02752784
  83.14235555 152.5964914   89.41747479 148.21362265  83.58611765
 109.25486345 160.08768072 102.23885467  88.00934706 133.66510939
 132.62510671  87.34949124 105.40991616 124.18092641 139.73196844]"|[109.17195348]|[20.78498747]
5|"[ 99.00813527  82.15350008 118.07112989 104.60466844 156.72737958
 117.17259662 146.74727959 112.23296945 152.96781955  93.06096008
 116.0376712  138.53397923 146.15267723  92.73341732 127.19562121
 106.94277757  88.3847058  155.23946541 161.5341676  110.56012823
 135.23095321 160.33942297 114.26757498 147.31560164  91.98957837
  95.93587014  84.84402768 122.11238221 167.06294378 142.44756119
 162.09693229  90.11515604 174.59837866  86.70792628 161.03890812
 144.21604543  95.41540257 104.3266421   79.63761198 110.69301712
 121.38325549  82.83551644 103.4364405  168.67291133  94.29045289
  97.50059701  94.5341215  165.38045287  94.07239815 145.48572301
 164.98685683 155.71708357  83.99867376 124.36511187 109.0029855
 102.40146611 119.34021816 128.50374836 125.41294962  85.80405505
  85.18032181 137.59178492 140.67886727 134.06943056 136.96363925
 135.877526   122.31159577 173.1253856  125.09822273 159.1536295
 163.27695497  86.23887976 149.5837526  124.56671921 148.62998725]"|"[ 90.20556944 130.69234159 115.97384356  88.74590924 112.38826616
 138.38164658  85.10704767 123.6937205  138.61986438 162.62553491
 125.54287268  98.72894186 168.49999607 112.8747385  104.9415673
 117.69198196  90.42548471 122.15136159 136.78443948 116.06584539
 161.06263498 170.29973869 109.24776559 123.72076852 149.76933711
 134.26807483 146.45225765 119.27634044 111.70037318 120.68964966
 102.6585828   88.42805539 121.61433842  95.9610745  110.59875372
 134.46653615 100.19425077 100.03542769 170.00151182 144.18936365
 149.90075193 159.52081729 138.29061738 148.82390418 171.17187842
 155.75483781 115.6841706  147.5108311  104.34187071 138.55570485
 151.82117578 137.1251614  101.26849192 141.40193032 100.63537518
 147.34489698 100.39445482  86.50484534 144.50058139 156.02752784
  84.09956923 152.5964914   89.41747479 148.21362265  84.58132657
 109.25486345 160.08768072 102.23885467  88.98856107 133.66510939
 132.62510671  87.34949124 105.40991616 124.18092641 139.73196844]"|[108.88530871]|[22.25734435]
6|"[ 99.38523966  82.15350008 118.07112989 104.84519764 156.72737958
 117.17259662 146.74727959 112.23296945 152.96781955  93.06096008
 116.0376712  138.53397923 146.15267723  92.73341732 127.19562121
 106.94277757  88.3847058  155.23946541 161.5341676  110.56012823
 135.23095321 160.33942297 114.26757498 147.31560164  91.98957837
  95.93587014  84.84402768 122.11238221 167.06294378 142.44756119
 162.09693229  90.47438835 174.59837866  86.70792628 161.03890812
 144.21604543  95.41540257 104.3266421   79.63761198 110.69301712
 121.38325549  82.83551644 103.4364405  168.67291133  94.29045289
  97.50059701  94.5341215  165.38045287  94.07239815 145.09397075
 164.98685683 155.71708357  83.99867376 124.36511187 109.0029855
 102.40146611 119.34021816 128.6814061  126.39281492  85.01275481
  85.27536157 137.59178492 140.67886727 134.06943056 136.93343768
 135.877526   122.31159577 173.1253856  125.32032742 159.1536295
 163.27695497  86.54007015 149.5837526  124.56671921 148.62998725]"|"[ 91.1317402  130.69234159 115.97384356  89.71655114 112.38826616
 138.38164658  85.10704767 123.6937205  138.61986438 162.62553491
 125.54287268  98.72894186 168.49999607 112.8747385  104.9415673
 117.69198196  90.42548471 122.15136159 136.78443948 116.06584539
 161.06263498 170.29973869 109.24776559 123.72076852 149.76933711
 134.26807483 146.45225765 119.27634044 111.70037318 120.68964966
 102.6585828   89.36130356 121.61433842  95.9610745  110.59875372
 134.46653615 100.19425077 100.03542769 170.00151182 144.18936365
 149.90075193 159.52081729 138.29061738 148.82390418 171.17187842
 155.75483781 115.6841706  147.5108311  104.34187071 139.47577559
 151.82117578 137.1251614  101.26849192 141.40193032 100.63537518
 147.34489698 100.39445482  87.48893768 144.30092171 155.41610006
  85.09504271 152.5964914   89.41747479 148.21362265  85.5808704
 109.25486345 160.08768072 102.23885467  89.96358389 133.66510939
 132.62510671  88.30305527 105.40991616 124.18092641 139.73196844]"|[108.58962105]|[23.72791186]
7|"[ 99.73957616  82.15350008 118.07112989 105.10635643 156.72737958
 117.17259662 146.74727959 112.23296945 152.96781955  93.06096008
 116.0376712  138.53397923 146.15267723  92.01158078 127.19562121
 106.94277757  88.44720677 155.23946541 161.5341676  110.56012823
 135.23095321 160.33942297 114.26757498 147.31560164  91.98957837
  95.93587014  84.84402768 122.11238221 167.06294378 142.44756119
 162.09693229  90.84545928 174.59837866  86.70792628 161.03890812
 144.21604543  95.41540257 104.3266421   79.63761198 110.69301712
 121.38325549  82.83551644 103.4364405  168.67291133  94.29045289
  98.22064784  94.5341215  165.38045287  94.56215883 145.09397075
 164.98685683 155.71708357  83.99867376 124.36511187 109.0029855
 102.40146611 119.34021816 128.69249608 126.39281492  85.01275481
  85.34441332 137.59178492 140.67886727 134.06943056 137.02584985
 135.877526   122.31159577 173.1253856  125.53433749 159.1536295
 163.27695497  86.65513595 149.5837526  124.56671921 148.62998725]"|"[ 92.06685819 130.69234159 115.97384356  90.681847   112.38826616
 138.38164658  85.10704767 123.6937205  138.61986438 162.62553491
 125.54287268  98.72894186 168.49999607 113.56680209 104.9415673
 117.69198196  91.42352961 122.15136159 136.78443948 116.06584539
 161.06263498 170.29973869 109.24776559 123.72076852 149.76933711
 134.26807483 146.45225765 119.27634044 111.70037318 120.68964966
 102.6585828   90.28990808 121.61433842  95.9610745  110.59875372
 134.46653615 100.19425077 100.03542769 170.00151182 144.18936365
 149.90075193 159.52081729 138.29061738 148.82390418 171.17187842
 156.44875913 115.6841706  147.5108311  103.47001379 139.47577559
 151.82117578 137.1251614  101.26849192 141.40193032 100.63537518
 147.34489698 100.39445482  88.48887618 144.30092171 155.41610006
  86.09265579 152.5964914   89.41747479 148.21362265  86.57659124
 109.25486345 160.08768072 102.23885467  90.94041535 133.66510939
 132.62510671  89.29641314 105.40991616 124.18092641 139.73196844]"|[108.29024263]|[25.19773245]
8|"[100.01999657  82.15350008 118.07112989 105.46919514 156.72737958
 117.17259662 146.42570643 112.23296945 152.96781955  93.06096008
 116.0376712  138.53397923 146.15267723  92.01158078 127.19562121
 106.94277757  88.52443898 155.23946541 161.5341676  110.56012823
 135.23095321 160.33942297 114.26757498 147.31560164  91.98957837
  95.93587014  84.84402768 122.11238221 167.06294378 142.44756119
 162.09693229  91.21006797 174.59837866  86.70792628 161.03890812
 144.21604543  95.41540257 104.3266421   79.63761198 110.69301712
 121.38325549  82.83551644 103.4364405  168.67291133  94.29045289
  98.22064784  94.5341215  165.38045287  94.56215883 144.71796039
 164.98685683 155.71708357  83.99867376 124.36511187 109.0029855
 102.40146611 119.34021816 128.65681739 126.39281492  85.01275481
  85.3932344  137.59178492 140.67886727 134.06943056 137.03243386
 135.877526   122.31159577 173.1253856  125.71516132 159.1536295
 163.27695497  86.93995631 149.5837526  124.56671921 148.62998725]"|"[ 93.02673547 130.69234159 115.97384356  91.61369895 112.38826616
 138.38164658  86.05393241 123.6937205  138.61986438 162.62553491
 125.54287268  98.72894186 168.49999607 113.56680209 104.9415673
 117.69198196  92.42054274 122.15136159 136.78443948 116.06584539
 161.06263498 170.29973869 109.24776559 123.72076852 149.76933711
 134.26807483 146.45225765 119.27634044 111.70037318 120.68964966
 102.6585828   91.22106892 121.61433842  95.9610745  110.59875372
 134.46653615 100.19425077 100.03542769 170.00151182 144.18936365
 149.90075193 159.52081729 138.29061738 148.82390418 171.17187842
 156.44875913 115.6841706  147.5108311  103.47001379 140.40239105
 151.82117578 137.1251614  101.26849192 141.40193032 100.63537518
 147.34489698 100.39445482  89.4882395  144.30092171 155.41610006
  87.09146333 152.5964914   89.41747479 148.21362265  87.57656956
 109.25486345 160.08768072 102.23885467  91.92393085 133.66510939
 132.62510671  90.25499405 105.40991616 124.18092641 139.73196844]"|[107.98934592]|[26.66724297]
9|"[100.38351418  82.15350008 118.07112989 105.62397039 156.72737958
 117.17259662 146.42570643 112.23296945 152.96781955  93.06096008
 116.0376712  138.53397923 146.15267723  92.01158078 127.19562121
 106.94277757  88.67444071 155.23946541 161.5341676  110.56012823
 134.49354527 160.33942297 114.26757498 147.31560164  91.98957837
  95.93587014  84.84402768 122.11238221 167.06294378 142.44756119
 162.09693229  91.35444519 174.59837866  86.70792628 161.03890812
 144.21604543  95.41540257 104.3266421   79.63761198 110.69301712
 121.38325549  82.83551644 103.4364405  168.67291133  94.29045289
  98.22064784  94.5341215  165.38045287  94.56215883 144.71796039
 164.98685683 155.71708357  83.99867376 124.36511187 109.0029855
 102.40146611 119.34021816 128.77803721 126.39281492  85.01275481
  85.61555482 137.59178492 140.67886727 134.06943056 137.11654418
 135.877526   122.31159577 173.1253856  125.75123959 159.1536295
 163.27695497  87.0612894  149.5837526  124.56671921 147.97593283]"|"[ 93.9583228  130.69234159 115.97384356  92.60164866 112.38826616
 138.38164658  86.05393241 123.6937205  138.61986438 162.62553491
 125.54287268  98.72894186 168.49999607 113.56680209 104.9415673
 117.69198196  93.40922847 122.15136159 136.78443948 116.06584539
 160.38718734 170.29973869 109.24776559 123.72076852 149.76933711
 134.26807483 146.45225765 119.27634044 111.70037318 120.68964966
 102.6585828   92.21059164 121.61433842  95.9610745  110.59875372
 134.46653615 100.19425077 100.03542769 170.00151182 144.18936365
 149.90075193 159.52081729 138.29061738 148.82390418 171.17187842
 156.44875913 115.6841706  147.5108311  103.47001379 140.40239105
 151.82117578 137.1251614  101.26849192 141.40193032 100.63537518
 147.34489698 100.39445482  90.48086518 144.30092171 155.41610006
  88.06643698 152.5964914   89.41747479 148.21362265  88.57302601
 109.25486345 160.08768072 102.23885467  92.92327981 133.66510939
 132.62510671  91.2476059  105.40991616 124.18092641 138.97552095]"|[107.68781429]|[28.13662334]
