|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[147.80529458 122.698485   112.90110972 140.82315487 163.75988865
 114.36024843 165.96541138 116.60332852 141.02919226 151.77364256
 174.93346735 108.69084319 160.37511049 127.11688738 114.32660291
 144.87167874 137.6184485  127.18453678 113.48711965 169.16447598
 146.87316112 156.04612365 173.75575511 157.45594674 164.39171944
 150.54897316 145.21935706 114.11913955 167.74899608 151.0274862
 174.03106662 174.07441288 145.27650706 150.9668762  142.05911712
 135.42956795 114.28889272 129.87740104 171.95285453 143.79431338
 165.40249779 165.32885907 129.34040898 116.99329395 110.64199023
 131.00501729 157.21760043 161.81451844 165.56620975 146.32776232
 125.04804368 142.4736698  139.60573426 140.99911267 110.05143951
 156.02609948 167.00601993 130.58584708 132.07344875 151.32681114
 167.4806727  158.61972352 149.76204407 136.91226257 152.85405302
 168.7675979  163.7587958  107.08835582 145.554893   102.01137553
 138.8541768  152.07589968 135.48865923 122.98608034 170.86597874]"|"[159.91326142 173.61189459 119.44344122 148.20191027 113.27957708
 154.91722548 160.32449606 158.64378332 173.7297246  112.07155415
 154.59330706 122.69082301 102.85656558 136.94762373 121.11419361
 164.82246429 143.94980724 107.57088683 171.49925856 147.33445773
 160.27549174 119.12969284 156.32220921 158.98717012 101.466849
 155.99379679 124.07225069 122.47041126 164.53126696 123.55735312
 116.33669925 110.86276959 116.83391771 137.06563776 100.37969449
 112.64507991 121.55408254 138.03983956 100.47329923 171.32087376
 120.18659514 143.31834455 110.22115428 109.46135895 102.7973445
 102.32642158 121.41179348 171.39640647 159.35724029 110.44414809
 132.2438674  168.34470481 128.67652267 113.39204466 142.55910058
 170.97781885 150.37852765 167.12229471 159.73513418 168.67004339
 135.7863767  168.6656857  174.07444782 109.54840193 135.1724624
 149.13145796 172.68579484 111.80007589 104.60590686 121.40455439
 127.96062099 162.71736153 155.76377412 103.36675626 161.82529007]"|[164.58219663 186.09534773 180.16243069]|[201.74536403 212.04966329 213.11467709]
1|"[147.80529458 122.698485   112.90110972 140.13108239 163.75988865
 114.36024843 165.64875004 116.60332852 141.03481867 151.77364256
 174.93346735 108.69084319 160.37511049 127.11688738 114.32660291
 145.6742185  137.6184485  127.18453678 113.48711965 169.16447598
 146.87316112 156.04612365 173.75575511 157.94985031 164.39171944
 150.54897316 145.21935706 113.22254252 167.59222163 151.0274862
 174.03106662 174.07441288 145.27650706 151.95606692 142.05911712
 135.42956795 114.28889272 129.87740104 171.95285453 143.84569023
 165.40249779 165.32885907 129.34040898 116.65585702 110.64199023
 131.00501729 157.21760043 161.3781724  164.77590054 146.32776232
 125.04804368 143.39218858 140.38463471 140.99911267 110.05143951
 155.51429659 167.00601993 130.58584708 132.07344875 151.67183857
 168.46684172 157.77310433 149.80112776 136.91226257 152.85405302
 168.7675979  163.34374142 107.08835582 146.2380216  102.01137553
 138.8541768  152.7380218  135.48865923 122.98608034 170.64772603]"|"[159.91326142 173.61189459 119.44344122 148.92373829 113.27957708
 154.91722548 161.27303472 158.64378332 172.72974043 112.07155415
 154.59330706 122.69082301 102.85656558 136.94762373 121.11419361
 164.22586565 143.94980724 107.57088683 171.49925856 147.33445773
 160.27549174 119.12969284 156.32220921 159.8566868  101.466849
 155.99379679 124.07225069 122.02756391 163.54363253 123.55735312
 116.33669925 110.86276959 116.83391771 137.21227238 100.37969449
 112.64507991 121.55408254 138.03983956 100.47329923 170.32219443
 120.18659514 143.31834455 110.22115428 110.40270709 102.7973445
 102.32642158 121.41179348 170.49662753 158.74453207 110.44414809
 132.2438674  167.94932745 128.04937508 113.39204466 142.55910058
 170.11871594 150.37852765 167.12229471 159.73513418 167.73145078
 135.6206339  168.13348653 173.07521188 109.54840193 135.1724624
 149.13145796 171.77599823 111.80007589 103.87560876 121.40455439
 127.96062099 161.96796558 155.76377412 103.36675626 160.84939778]"|[164.61127403 186.11372803 179.5462208 ]|[200.24564589 210.54977591 211.74709331]
2|"[148.80515762 122.698485   112.90110972 140.13108239 163.75988865
 114.36024843 164.65107587 116.60332852 141.01564596 151.77364256
 174.93346735 108.69084319 160.37511049 127.11688738 114.32660291
 146.62439477 137.6184485  127.18453678 113.48711965 169.16447598
 146.22316382 156.04612365 172.77272295 158.43754726 164.39171944
 150.54897316 145.21935706 113.22254252 166.92264136 151.0274862
 174.03106662 174.07441288 145.27650706 151.95606692 142.05911712
 135.42956795 114.28889272 129.87740104 171.95285453 144.20822965
 165.40249779 165.32885907 129.34040898 116.65585702 110.64199023
 131.45713342 157.21760043 160.99621319 163.86678452 146.32776232
 125.04804368 143.86413882 140.38463471 140.99911267 110.05143951
 155.30068121 167.00601993 130.58584708 132.07344875 152.19151404
 168.46684172 157.06175314 149.7605516  136.91226257 152.85405302
 168.18915789 162.96462488 107.08835582 146.2380216  102.01137553
 138.8541768  153.62045205 135.48865923 122.98608034 169.87519085]"|"[159.89671112 173.61189459 119.44344122 148.92373829 113.27957708
 154.91722548 161.20487131 158.64378332 171.72992424 112.07155415
 154.59330706 122.69082301 102.85656558 136.94762373 121.11419361
 163.91415256 143.94980724 107.57088683 171.49925856 147.33445773
 161.03542826 119.12969284 156.5056425  160.72969979 101.466849
 155.99379679 124.07225069 122.02756391 162.80089283 123.55735312
 116.33669925 110.86276959 116.83391771 137.21227238 100.37969449
 112.64507991 121.55408254 138.03983956 100.47329923 169.39022599
 120.18659514 143.31834455 110.22115428 110.40270709 102.7973445
 103.21838067 121.41179348 169.57244835 158.32798907 110.44414809
 132.2438674  167.06770226 128.04937508 113.39204466 142.55910058
 169.1417981  150.37852765 167.12229471 159.73513418 166.87708704
 135.6206339  167.43064979 172.07603543 109.54840193 135.1724624
 148.31573303 170.8506493  111.80007589 103.87560876 121.40455439
 127.96062099 162.43840884 155.76377412 103.36675626 160.21442582]"|[164.6157657  186.09924996 178.92593942]|[198.74565262 209.04984578 210.38135139]
3|"[149.6012339  122.698485   112.90110972 140.13108239 163.75988865
 114.36024843 163.68873259 116.60332852 140.98712618 151.77364256
 174.93346735 108.69084319 160.37511049 127.11688738 114.32660291
 147.61252882 137.6184485  127.18453678 113.48711965 169.16447598
 146.36572626 156.04612365 171.79101024 159.34401287 164.39171944
 150.54897316 145.21935706 113.22254252 166.17972137 151.0274862
 174.03106662 174.07441288 145.27650706 151.95606692 142.05911712
 135.42956795 114.28889272 129.87740104 171.95285453 144.77085231
 165.40249779 165.32885907 129.34040898 116.65585702 110.64199023
 131.45713342 157.21760043 160.56693428 162.87283773 146.32776232
 125.04804368 144.57179346 140.38463471 140.99911267 110.05143951
 154.97060593 167.00601993 130.58584708 132.07344875 152.87325829
 168.46684172 156.52981267 149.86204387 136.91226257 153.62708044
 168.18915789 162.4290253  107.08835582 146.2380216  102.01137553
 138.8541768  153.89418502 135.48865923 122.98608034 169.0880929 ]"|"[160.5019074  173.61189459 119.44344122 148.92373829 113.27957708
 154.91722548 160.93303421 158.64378332 170.73033101 112.07155415
 154.59330706 122.69082301 102.85656558 136.94762373 121.11419361
 163.76055863 143.94980724 107.57088683 171.49925856 147.33445773
 162.02521407 119.12969284 156.696011   161.15197944 101.466849
 155.99379679 124.07225069 122.02756391 162.1315126  123.55735312
 116.33669925 110.86276959 116.83391771 137.21227238 100.37969449
 112.64507991 121.55408254 138.03983956 100.47329923 168.56351217
 120.18659514 143.31834455 110.22115428 110.40270709 102.7973445
 103.21838067 121.41179348 168.66927637 158.21812656 110.44414809
 132.2438674  166.36114377 128.04937508 113.39204466 142.55910058
 168.19784349 150.37852765 167.12229471 159.73513418 166.14549646
 135.6206339  166.58386804 171.0811991  109.54840193 135.806835
 148.31573303 170.00617722 111.80007589 103.87560876 121.40455439
 127.96062099 163.40021457 155.76377412 103.36675626 159.59759779]"|[164.59881059 186.05467253 178.30495461]|[197.24574845 207.55050831 209.01592916]
4|"[150.49244888 122.698485   112.90110972 140.13108239 163.75988865
 113.47651503 162.82017611 116.60332852 141.42674448 151.77364256
 174.02242772 108.69084319 160.37511049 127.58553296 114.32660291
 148.47337292 137.6184485  127.18453678 113.48711965 169.16447598
 147.23526529 156.04612365 170.8113664  159.10944994 164.39171944
 151.45721521 145.21935706 113.22254252 165.29566998 151.0274862
 174.03106662 174.07441288 145.27650706 151.95606692 142.05911712
 135.42956795 114.28889272 129.87740104 171.95285453 145.25445057
 165.40249779 165.32885907 129.34040898 116.65585702 110.64199023
 131.86294578 157.21760043 160.07986054 161.88078497 146.32776232
 125.04804368 145.10002919 140.38463471 140.99911267 110.05143951
 154.69658246 167.00601993 130.58584708 132.07344875 153.4054576
 167.46829359 156.09860568 149.86206427 136.91226257 153.62708044
 168.75486412 162.02259217 107.08835582 146.2380216  102.01137553
 138.8541768  154.43328041 135.48865923 122.98608034 168.15971307]"|"[160.95548856 173.61189459 119.44344122 148.92373829 113.27957708
 155.38521616 160.43744401 158.64378332 169.83214631 112.07155415
 154.18098825 122.69082301 102.85656558 136.06423745 121.11419361
 163.25168984 143.94980724 107.57088683 171.49925856 147.33445773
 162.5190783  119.12969284 156.49526753 160.17987851 101.466849
 156.41224199 124.07225069 122.02756391 161.66412289 123.55735312
 116.33669925 110.86276959 116.83391771 137.21227238 100.37969449
 112.64507991 121.55408254 138.03983956 100.47329923 167.68822209
 120.18659514 143.31834455 110.22115428 110.40270709 102.7973445
 104.13233708 121.41179348 167.79591552 158.3439491  110.44414809
 132.2438674  165.512046   128.04937508 113.39204466 142.55910058
 167.23612048 150.37852765 167.12229471 159.73513418 165.29887736
 135.56676712 165.68161501 170.0811991  109.54840193 135.806835
 149.14033988 169.09249669 111.80007589 103.87560876 121.40455439
 127.96062099 162.55796986 155.76377412 103.36675626 159.22596504]"|[164.55022101 185.97058431 177.67021337]|[195.74653563 206.05286711 207.65684728]
5|"[151.48686371 122.698485   112.90110972 140.13108239 163.75988865
 113.47651503 161.88467173 116.60332852 141.90221945 151.77364256
 173.03593026 108.69084319 160.37511049 127.58553296 114.32660291
 149.45363927 137.6184485  127.18453678 113.48711965 169.16447598
 147.12088004 156.04612365 169.81137173 158.38207659 164.39171944
 152.38986705 145.21935706 113.22254252 164.45241458 151.0274862
 174.03106662 174.07441288 145.27650706 151.95606692 142.05911712
 135.42956795 114.28889272 129.87740104 171.95285453 145.79358897
 165.40249779 165.32885907 129.34040898 116.65585702 110.64199023
 131.86294578 157.21760043 159.63043427 160.88298337 146.32776232
 125.04804368 145.77564454 140.38463471 140.99911267 110.05143951
 154.52599731 167.00601993 131.44418333 132.07344875 154.06623852
 167.46829359 155.83276017 150.17541969 136.91226257 153.62708044
 168.75486412 161.50395226 106.94273976 146.2380216  102.01137553
 138.8541768  154.94359312 135.48865923 122.98608034 167.20296409]"|"[161.06103075 173.61189459 119.44344122 148.92373829 113.27957708
 155.38521616 160.08412891 158.64378332 168.95241706 112.07155415
 154.01721168 122.69082301 102.85656558 136.06423745 121.11419361
 163.44937113 143.94980724 107.57088683 171.49925856 147.33445773
 161.52564183 119.12969284 156.49200331 159.49363656 101.466849
 156.77301967 124.07225069 122.02756391 161.12660979 123.55735312
 116.33669925 110.86276959 116.83391771 137.21227238 100.37969449
 112.64507991 121.55408254 138.03983956 100.47329923 166.8460049
 120.18659514 143.31834455 110.22115428 110.40270709 102.7973445
 104.13233708 121.41179348 166.9025981  158.41022108 110.44414809
 132.2438674  164.7747917  128.04937508 113.39204466 142.55910058
 166.25077754 150.37852765 166.60920711 159.73513418 164.54829854
 135.56676712 164.71759937 169.13156318 109.54840193 135.806835
 149.14033988 168.23750392 110.81073471 103.87560876 121.40455439
 127.96062099 161.69798094 155.76377412 103.36675626 158.93505032]"|[164.48005242 185.85624265 177.03385728]|[194.24817774 204.55723146 206.29852076]
6|"[152.46141096 122.698485   112.90110972 140.13108239 163.75988865
 113.47651503 161.59559376 116.60332852 142.25223519 151.77364256
 172.09266575 108.69084319 160.37511049 127.58553296 114.32660291
 150.35505136 137.6184485  127.18453678 113.48711965 169.16447598
 147.9505719  156.04612365 168.81212725 157.38250139 164.58596278
 153.27139911 145.21935706 113.22254252 163.51439104 151.0274862
 174.03106662 174.07441288 145.27650706 151.95606692 142.05911712
 135.42956795 114.28889272 129.87740104 171.95285453 146.34217913
 165.40249779 165.32885907 129.34040898 116.65585702 110.64199023
 131.86294578 157.21760043 159.12094841 159.98042665 146.32776232
 125.04804368 146.59142354 140.38463471 140.99911267 110.05143951
 155.3119516  166.16068105 132.23321355 132.07344875 153.7871368
 167.46829359 156.55803343 150.51850499 136.91226257 153.62708044
 168.75486412 161.03109596 106.94273976 146.2380216  102.17831759
 138.8541768  155.46729713 135.48865923 122.98608034 166.27905301]"|"[160.83684858 173.61189459 119.44344122 148.92373829 113.27957708
 155.38521616 161.04143446 158.64378332 168.01567324 112.07155415
 153.68516944 122.69082301 102.85656558 136.06423745 121.11419361
 163.01640896 143.94980724 107.57088683 171.49925856 147.33445773
 160.96742018 119.12969284 156.53086826 159.52278132 102.44780237
 157.24514383 124.07225069 122.02756391 160.78003824 123.55735312
 116.33669925 110.86276959 116.83391771 137.21227238 100.37969449
 112.64507991 121.55408254 138.03983956 100.47329923 166.0099135
 120.18659514 143.31834455 110.22115428 110.40270709 102.7973445
 104.13233708 121.41179348 166.04211907 157.97965009 110.44414809
 132.2438674  164.19642795 128.04937508 113.39204466 142.55910058
 166.86906215 150.91275809 165.99485272 159.73513418 163.58803699
 135.56676712 164.02913825 168.19225893 109.54840193 135.806835
 149.14033988 167.35636436 110.81073471 103.87560876 120.41858768
 127.96062099 160.84608065 155.76377412 103.36675626 158.55244305]"|[164.38078311 185.70482871 176.38652307]|[192.75146615 203.06489309 204.94539164]
7|"[153.41627621 122.698485   112.90110972 140.13108239 163.75988865
 113.47651503 160.59570834 116.60332852 142.68926117 151.77364256
 171.15609154 108.69084319 160.37511049 127.58553296 114.32660291
 151.17158375 137.6184485  127.18453678 113.48711965 169.16447598
 148.80242155 156.04612365 167.81306344 158.35365795 164.58596278
 154.25732477 145.21935706 113.22254252 164.12603355 151.93948773
 174.03106662 174.07441288 145.27650706 151.95606692 142.05911712
 135.42956795 114.28889272 129.87740104 171.95285453 147.17574647
 165.40249779 165.32885907 129.34040898 116.65585702 110.64199023
 131.86294578 157.21760043 158.73265664 158.98048731 146.32776232
 125.04804368 146.9393343  140.38463471 140.99911267 110.05143951
 155.31835829 165.37694595 132.86189686 132.07344875 154.0712056
 167.46829359 156.78596304 150.57167623 136.91226257 153.62708044
 168.24495508 160.46815354 106.94273976 146.2380216  102.17831759
 138.8541768  156.17089078 135.48865923 122.98608034 165.33150777]"|"[160.53980927 173.61189459 119.44344122 148.92373829 113.27957708
 155.38521616 161.02629688 158.64378332 167.11622436 112.07155415
 153.3347001  122.69082301 102.85656558 136.06423745 121.11419361
 162.43910934 143.94980724 107.57088683 171.49925856 147.33445773
 160.44363379 119.12969284 156.57412902 159.28433861 102.44780237
 157.41232818 124.07225069 122.02756391 159.98890397 123.96753992
 116.33669925 110.86276959 116.83391771 137.21227238 100.37969449
 112.64507991 121.55408254 138.03983956 100.47329923 166.56233136
 120.18659514 143.31834455 110.22115428 110.40270709 102.7973445
 104.13233708 121.41179348 165.12058258 157.99066406 110.44414809
 132.2438674  163.2589003  128.04937508 113.39204466 142.55910058
 165.86908267 151.53385333 165.21719129 159.73513418 162.6292331
 135.56676712 163.05546064 167.19367352 109.54840193 135.806835
 150.00056821 166.52986824 110.81073471 103.87560876 120.41858768
 127.96062099 160.13547811 155.76377412 103.36675626 158.23282137]"|[164.25666672 185.52035644 175.73312437]|[191.25660993 201.57627965 203.59518049]
8|"[154.2401095  122.698485   112.90110972 140.13108239 163.75988865
 113.47651503 159.83790196 116.60332852 143.2332965  151.77364256
 170.15643792 108.69084319 160.37511049 127.58553296 114.32660291
 151.67511119 138.42978092 127.06752417 113.48711965 168.33299917
 149.77131925 156.04612365 166.8130636  157.85445609 164.58596278
 155.19477773 145.21935706 113.22254252 163.51429267 151.93948773
 174.03106662 174.07441288 145.27650706 151.95606692 142.05911712
 135.42956795 114.28889272 129.87740104 171.95285453 147.95887392
 165.40249779 165.32885907 129.34040898 116.65585702 110.64199023
 131.22895303 157.21760043 158.50663807 158.673474   145.85848264
 124.09486932 147.73160808 140.38463471 140.99911267 110.05143951
 155.39717592 164.48277785 133.62288217 131.26882977 154.37637972
 167.46829359 156.96038781 150.68919927 136.91226257 153.62708044
 167.59141661 160.08077402 106.94273976 146.2380216  102.17831759
 138.8541768  156.87858506 135.48865923 122.98608034 164.33298809]"|"[159.97297709 173.61189459 119.44344122 148.92373829 113.27957708
 155.38521616 160.37381739 158.64378332 166.27716205 112.07155415
 153.36101802 122.69082301 102.85656558 136.06423745 121.11419361
 161.57513011 144.53439231 106.5777564  171.49925856 147.89001721
 160.1961722  119.12969284 156.57355599 160.15082432 102.44780237
 157.76044014 124.07225069 122.02756391 159.19784576 123.96753992
 116.33669925 110.86276959 116.83391771 137.21227238 100.37969449
 112.64507991 121.55408254 138.03983956 100.47329923 165.94047013
 120.18659514 143.31834455 110.22115428 110.40270709 102.7973445
 103.35899809 121.41179348 164.14645958 157.03895884 109.5610985
 131.94144612 162.64873453 128.04937508 113.39204466 142.55910058
 164.87219362 151.98158474 164.56842219 159.14134272 161.67693653
 135.56676712 162.07079014 166.20060337 109.54840193 135.806835
 150.75746151 165.6079479  110.81073471 103.87560876 120.41858768
 127.96062099 159.42895931 155.76377412 103.36675626 158.17842974]"|[164.10144398 185.29711086 175.06626633]|[189.76466291 200.09298554 202.25156584]
9|"[154.66804963 122.72594148 112.90110972 140.13108239 163.75988865
 113.47651503 160.10415611 116.60332852 143.83075486 151.77364256
 169.16522486 108.69084319 160.37511049 127.58553296 114.32660291
 152.42933608 137.57558403 127.06752417 113.48711965 167.36906421
 150.61886754 156.04612365 165.8207606  157.19994147 164.58596278
 156.07442423 145.21935706 113.22254252 162.51919916 151.93948773
 174.03106662 174.07441288 145.27650706 151.95606692 142.05911712
 135.42956795 114.28889272 129.87740104 171.95285453 148.60457993
 165.40249779 165.32885907 129.34040898 116.09086854 110.64199023
 131.22895303 157.21760043 158.3251519  157.80853828 145.85848264
 124.09486932 148.41698533 140.38463471 140.99911267 110.05143951
 155.45703525 163.63878462 134.39896249 132.22594985 155.34262758
 167.46829359 157.03240968 150.90627702 136.91226257 153.62708044
 166.91779774 159.59447149 106.94273976 146.2380216  102.17831759
 138.8541768  156.50335227 136.45937898 122.98608034 164.28096281]"|"[159.06917001 172.61227159 119.44344122 148.92373829 113.27957708
 155.38521616 159.40991453 158.64378332 165.47526212 112.07155415
 153.22874302 122.69082301 102.85656558 136.06423745 121.11419361
 160.91851392 144.01444262 106.5777564  171.49925856 148.15615511
 159.66545391 119.12969284 156.44972244 160.90687368 102.44780237
 158.2360682  124.07225069 122.02756391 159.29678473 123.96753992
 116.33669925 110.86276959 116.83391771 137.21227238 100.37969449
 112.64507991 121.55408254 138.03983956 100.47329923 165.17688401
 120.18659514 143.31834455 110.22115428 111.22780589 102.7973445
 103.35899809 121.41179348 163.16306609 157.5408415  109.5610985
 131.94144612 161.92054635 128.04937508 113.39204466 142.55910058
 163.8739868  152.51793857 163.93778811 158.85165126 161.93455073
 135.56676712 161.07338709 165.22444905 109.54840193 135.806835
 151.49654041 164.7341574  110.81073471 103.87560876 120.41858768
 127.96062099 158.50202871 156.00398896 103.36675626 157.17978397]"|[163.92976399 185.04857254 174.40238524]|[188.27451997 198.61371927 200.90647777]
