|sheep_x_positions|sheep_y_positions|dog_x_positions|dog_y_positions
0|"[118.32786531 149.3691812  122.30741037 160.81677042  99.18376959
 105.68296246 103.04025466 193.79372863  90.74421185 189.08429849
 132.74371871 166.52349362 155.15630957 185.13663751 134.34340205
  77.04038582  98.05015603 111.28307634 159.50934619 199.54880241
 154.77717336 164.67124718 173.92956087 199.44808763 163.07039971
 199.2555743  158.99845063 143.41273185 115.4508677  149.77929098
  88.5659389   76.32551854 180.60530422 121.89133914 129.46832592
 198.85045216 118.75045901 118.7657722   88.79443713 153.35329643
 143.10560401 198.81628835  94.52935478  99.5309391  101.97779478
  90.29402637 128.49204294 114.73312695 106.63957377  86.77279006
  85.57568308  88.14206525  97.40852895  86.85360731 179.63700255
 186.71718158 113.44607252 119.6124387   94.32925524 191.81183787
  95.85406919 112.75828972 148.80174293 124.60454772 158.75386707
 105.62146363 110.23178256 128.35560738 169.33836894 135.87111462
 134.89107902 108.91788636 159.96812846 106.52802596 144.1268959 ]"|"[145.99590643  75.75704887  80.36248034 124.36657442 158.67165208
 180.09665728 107.97452171 159.97816483 148.62090154 199.41699023
 149.93520412 193.55485145 129.87143441  77.439406   165.47883848
 163.68162697 164.04456288 160.24733515 189.98154067 164.23698932
 121.24936796  79.37833888 113.57079762 107.96300874 122.72484644
 109.32459491  99.98348842 148.92893595  97.29409803 158.39530125
 118.98235883  92.47831978 180.44206183 164.52840022 179.64481978
  76.70396299  96.50796659 118.78303542 138.37421976 167.51850074
 105.93474739 168.45787029  86.90066079 128.03041335 198.86434298
 166.18458194 132.57163418 137.06265902 175.3100169   98.43619257
 101.78476148 155.43503616 125.6989026  163.09450259 163.50966603
 102.86541464 162.24698803 131.25829767  92.25191224  97.67904045
 128.69656744 145.01675221 161.37082354 102.43424753 188.96635395
 125.99042127 199.68308628  92.54595074 181.94149749 189.16386262
 137.21800164  92.65134246 165.19320505 104.93743023 156.52439812]"|[25.03075039]|[179.71028955]
1|"[118.32786531 149.3691812  122.30741037 161.52692018  99.18376959
 105.68296246 103.04025466 193.79372863  90.74421185 190.07570909
 132.74371871 166.52349362 155.15630957 185.13663751 134.34340205
  77.04038582  98.05015603 111.28307634 158.53108677 199.54880241
 154.77717336 164.67124718 173.92956087 199.44808763 163.07039971
 199.2555743  158.99845063 143.41273185 115.4508677  149.77929098
  88.5659389   76.32551854 180.60530422 121.89133914 129.46832592
 198.85045216 118.75045901 118.7657722   88.79443713 153.35329643
 143.10560401 198.81628835  94.52935478  99.5309391  101.97779478
  90.29402637 128.49204294 114.73312695 106.63957377  86.77279006
  85.57568308  88.14206525  97.40852895  86.85360731 179.63700255
 186.71718158 113.44607252 119.6124387   94.32925524 191.81183787
  95.85406919 112.75828972 148.80174293 124.60454772 158.75386707
 105.62146363 110.23178256 128.35560738 169.33836894 135.87111462
 134.89107902 108.91788636 159.96812846 106.92553819 144.1268959 ]"|"[145.99590643  75.75704887  80.36248034 123.66252376 158.67165208
 180.09665728 107.97452171 159.97816483 148.62090154 199.54777645
 149.93520412 193.55485145 129.87143441  77.439406   165.47883848
 163.68162697 164.04456288 160.24733515 189.77415577 164.23698932
 121.24936796  79.37833888 113.57079762 107.96300874 122.72484644
 109.32459491  99.98348842 148.92893595  97.29409803 158.39530125
 118.98235883  92.47831978 180.44206183 164.52840022 179.64481978
  76.70396299  96.50796659 118.78303542 138.37421976 167.51850074
 105.93474739 168.45787029  86.90066079 128.03041335 198.86434298
 166.18458194 132.57163418 137.06265902 175.3100169   98.43619257
 101.78476148 155.43503616 125.6989026  163.09450259 163.50966603
 102.86541464 162.24698803 131.25829767  92.25191224  97.67904045
 128.69656744 145.01675221 161.37082354 102.43424753 188.96635395
 125.99042127 199.68308628  92.54595074 181.94149749 189.16386262
 137.21800164  92.65134246 165.19320505 104.01983335 156.52439812]"|[26.5290938]|[179.63981242]
2|"[118.32786531 149.3691812  122.30741037 161.52692018  99.18376959
 105.68296246 103.04025466 193.79372863  90.74421185 190.07570909
 132.74371871 166.52349362 155.15630957 185.13663751 134.34340205
  77.04038582  98.05015603 111.28307634 158.53108677 199.54880241
 154.77717336 164.67124718 173.92956087 199.44808763 163.07039971
 199.2555743  158.99845063 143.41273185 115.4508677  149.77929098
  88.5659389   76.32551854 180.60530422 121.89133914 129.46832592
 198.85045216 118.75045901 118.7657722   88.79443713 153.35329643
 142.59774663 198.81628835  94.52935478  99.5309391  101.97779478
  90.29402637 128.49204294 114.73312695 106.63957377  86.77279006
  85.57568308  88.14206525  97.40852895  86.85360731 179.63700255
 186.71718158 113.44607252 119.6124387   94.32925524 191.81183787
  95.85406919 112.75828972 148.80174293 124.60454772 158.75386707
 105.62146363 110.23178256 128.35560738 169.33836894 135.87111462
 134.89107902 108.33840025 159.96812846 106.92553819 144.1268959 ]"|"[145.99590643  75.75704887  80.36248034 123.66252376 158.67165208
 180.09665728 107.97452171 159.97816483 148.62090154 199.54777645
 149.93520412 193.55485145 129.87143441  77.439406   165.47883848
 163.68162697 164.04456288 160.24733515 189.77415577 164.23698932
 121.24936796  79.37833888 113.57079762 107.96300874 122.72484644
 109.32459491  99.98348842 148.92893595  97.29409803 158.39530125
 118.98235883  92.47831978 180.44206183 164.52840022 179.64481978
  76.70396299  96.50796659 118.78303542 138.37421976 167.51850074
 106.79618856 168.45787029  86.90066079 128.03041335 198.86434298
 166.18458194 132.57163418 137.06265902 175.3100169   98.43619257
 101.78476148 155.43503616 125.6989026  163.09450259 163.50966603
 102.86541464 162.24698803 131.25829767  92.25191224  97.67904045
 128.69656744 145.01675221 161.37082354 102.43424753 188.96635395
 125.99042127 199.68308628  92.54595074 181.94149749 189.16386262
 137.21800164  91.83636035 165.19320505 104.01983335 156.52439812]"|[27.94192583]|[179.13592191]
3|"[118.32786531 149.3691812  122.30741037 161.52692018  99.18376959
 105.01642115 103.04025466 193.79372863  90.74421185 190.07570909
 132.74371871 166.52349362 155.15630957 185.13663751 133.49291916
  77.04038582  98.05015603 111.28307634 158.53108677 199.54880241
 154.77717336 164.67124718 173.92956087 199.44808763 163.07039971
 199.2555743  158.99845063 143.41273185 115.4508677  149.77929098
  88.5659389   76.32551854 180.60530422 121.16747278 129.46832592
 198.85045216 118.75045901 118.7657722   88.79443713 153.35329643
 142.59774663 198.81628835  94.52935478  99.5309391  101.97779478
  90.29402637 128.49204294 114.73312695 107.54458551  86.77279006
  85.57568308  88.14206525  97.40852895  86.85360731 179.63700255
 186.71718158 113.44607252 119.6124387   94.32925524 191.81183787
  95.85406919 112.75828972 148.80174293 124.60454772 158.75386707
 105.62146363 110.23178256 128.35560738 169.92658457 135.87111462
 134.89107902 108.33840025 159.96812846 106.92553819 144.1268959 ]"|"[145.99590643  75.75704887  80.36248034 123.66252376 158.67165208
 179.35118918 107.97452171 159.97816483 148.62090154 199.54777645
 149.93520412 193.55485145 129.87143441  77.439406   166.00484119
 163.68162697 164.04456288 160.24733515 189.77415577 164.23698932
 121.24936796  79.37833888 113.57079762 107.96300874 122.72484644
 109.32459491  99.98348842 148.92893595  97.29409803 158.39530125
 118.98235883  92.47831978 180.44206183 163.83846    179.64481978
  76.70396299  96.50796659 118.78303542 138.37421976 167.51850074
 106.79618856 168.45787029  86.90066079 128.03041335 198.86434298
 166.18458194 132.57163418 137.06265902 175.7354035   98.43619257
 101.78476148 155.43503616 125.6989026  163.09450259 163.50966603
 102.86541464 162.24698803 131.25829767  92.25191224  97.67904045
 128.69656744 145.01675221 161.37082354 102.43424753 188.96635395
 125.99042127 199.68308628  92.54595074 182.75020162 189.16386262
 137.21800164  91.83636035 165.19320505 104.01983335 156.52439812]"|[29.28488005]|[178.46773485]
4|"[118.32786531 149.3691812  122.30741037 161.52692018  99.18376959
 105.01642115 103.04025466 193.79372863  90.74421185 190.07570909
 132.74371871 166.52349362 155.15630957 185.13663751 133.49291916
  77.04038582  98.05015603 111.28307634 158.53108677 199.54880241
 154.77717336 164.67124718 173.92956087 199.44808763 163.07039971
 199.2555743  158.99845063 143.41273185 115.4508677  149.77929098
  88.5659389   76.32551854 179.99596453 121.16747278 129.46832592
 198.85045216 118.75045901 118.7657722   88.79443713 153.35329643
 142.59774663 198.81628835  94.52935478  99.5309391  101.97779478
  90.29402637 128.49204294 114.73312695 107.54458551  86.77279006
  85.57568308  88.14206525  97.40852895  86.85360731 179.63700255
 186.71718158 113.44607252 119.6124387   94.32925524 191.87562017
  95.85406919 112.75828972 148.80174293 124.60454772 158.75386707
 105.62146363 110.23178256 128.35560738 169.92658457 135.87111462
 134.89107902 108.33840025 159.96812846 106.92553819 144.1268959 ]"|"[145.99590643  75.75704887  80.36248034 123.66252376 158.67165208
 179.35118918 107.97452171 159.97816483 148.62090154 199.54777645
 149.93520412 193.55485145 129.87143441  77.439406   166.00484119
 163.68162697 164.04456288 160.24733515 189.77415577 164.23698932
 121.24936796  79.37833888 113.57079762 107.96300874 122.72484644
 109.32459491  99.98348842 148.92893595  97.29409803 158.39530125
 118.98235883  92.47831978 179.64915254 163.83846    179.64481978
  76.70396299  96.50796659 118.78303542 138.37421976 167.51850074
 106.79618856 168.45787029  86.90066079 128.03041335 198.86434298
 166.18458194 132.57163418 137.06265902 175.7354035   98.43619257
 101.78476148 155.43503616 125.6989026  163.09450259 163.50966603
 102.86541464 162.24698803 131.25829767  92.25191224  98.67700429
 128.69656744 145.01675221 161.37082354 102.43424753 188.96635395
 125.99042127 199.68308628  92.54595074 182.75020162 189.16386262
 137.21800164  91.83636035 165.19320505 104.01983335 156.52439812]"|[30.59401034]|[177.73549316]
5|"[118.32786531 149.3691812  122.30741037 161.52692018  99.18376959
 105.01642115 103.04025466 193.79372863  90.74421185 190.07570909
 132.74371871 166.52349362 155.15630957 185.13663751 133.49291916
  77.04038582  98.05015603 111.28307634 158.53108677 199.54880241
 154.77717336 164.67124718 173.92956087 199.44808763 162.94259116
 199.2555743  158.99845063 143.41273185 115.4508677  149.77929098
  88.5659389   76.32551854 179.99596453 121.16747278 129.46832592
 198.85045216 118.75045901 117.76713079  88.79443713 153.35329643
 142.59774663 198.81628835  94.52935478  99.5309391  101.97779478
  90.29402637 128.49204294 114.73312695 107.54458551  86.77279006
  85.57568308  88.14206525  97.40852895  86.85360731 179.63700255
 187.46065785 113.44607252 119.6124387   94.32925524 191.87562017
  95.85406919 112.75828972 148.80174293 124.60454772 158.75386707
 105.62146363 110.23178256 128.35560738 169.92658457 135.87111462
 134.89107902 108.33840025 159.96812846 106.92553819 144.1268959 ]"|"[145.99590643  75.75704887  80.36248034 123.66252376 158.67165208
 179.35118918 107.97452171 159.97816483 148.62090154 199.54777645
 149.93520412 193.55485145 129.87143441  77.439406   166.00484119
 163.68162697 164.04456288 160.24733515 189.77415577 164.23698932
 121.24936796  79.37833888 113.57079762 107.96300874 123.7166453
 109.32459491  99.98348842 148.92893595  97.29409803 158.39530125
 118.98235883  92.47831978 179.64915254 163.83846    179.64481978
  76.70396299  96.50796659 118.83514415 138.37421976 167.51850074
 106.79618856 168.45787029  86.90066079 128.03041335 198.86434298
 166.18458194 132.57163418 137.06265902 175.7354035   98.43619257
 101.78476148 155.43503616 125.6989026  163.09450259 163.50966603
 102.19665232 162.24698803 131.25829767  92.25191224  98.67700429
 128.69656744 145.01675221 161.37082354 102.43424753 188.96635395
 125.99042127 199.68308628  92.54595074 182.75020162 189.16386262
 137.21800164  91.83636035 165.19320505 104.01983335 156.52439812]"|[31.88853388]|[176.9777275]
6|"[118.32786531 149.3691812  122.30741037 161.52692018  99.18376959
 105.01642115 103.04025466 193.79372863  90.74421185 190.07570909
 132.74371871 166.52349362 155.15630957 185.13663751 133.49291916
  77.04038582  98.05015603 111.28307634 157.68684151 199.54880241
 154.77717336 164.67124718 173.92956087 199.44808763 162.94259116
 199.2555743  158.99845063 143.41273185 115.4508677  149.77929098
  88.05359168  76.32551854 179.99596453 121.16747278 129.46832592
 198.85045216 118.75045901 117.76713079  88.79443713 153.35329643
 142.59774663 198.81628835  94.52935478  99.5309391  101.97779478
  90.29402637 128.49204294 114.73312695 107.54458551  86.77279006
  85.57568308  88.14206525  97.40852895  86.85360731 179.63700255
 187.46065785 113.44607252 119.6124387   94.32925524 191.87562017
  95.85406919 113.30056963 148.80174293 124.60454772 158.75386707
 105.62146363 110.23178256 128.35560738 169.92658457 135.87111462
 134.89107902 108.33840025 159.96812846 106.92553819 144.1268959 ]"|"[145.99590643  75.75704887  80.36248034 123.66252376 158.67165208
 179.35118918 107.97452171 159.97816483 148.62090154 199.54777645
 149.93520412 193.55485145 129.87143441  77.439406   166.00484119
 163.68162697 164.04456288 160.24733515 190.3101128  164.23698932
 121.24936796  79.37833888 113.57079762 107.96300874 123.7166453
 109.32459491  99.98348842 148.92893595  97.29409803 158.39530125
 118.12358044  92.47831978 179.64915254 163.83846    179.64481978
  76.70396299  96.50796659 118.83514415 138.37421976 167.51850074
 106.79618856 168.45787029  86.90066079 128.03041335 198.86434298
 166.18458194 132.57163418 137.06265902 175.7354035   98.43619257
 101.78476148 155.43503616 125.6989026  163.09450259 163.50966603
 102.19665232 162.24698803 131.25829767  92.25191224  98.67700429
 128.69656744 144.17655432 161.37082354 102.43424753 188.96635395
 125.99042127 199.68308628  92.54595074 182.75020162 189.16386262
 137.21800164  91.83636035 165.19320505 104.01983335 156.52439812]"|[33.17698407]|[176.20968054]
7|"[118.32786531 149.3691812  122.30741037 161.52692018  98.96688075
 105.01642115 103.04025466 193.79372863  90.74421185 190.07570909
 132.74371871 166.52349362 155.15630957 185.13663751 133.49291916
  77.04038582  97.49914906 111.28307634 157.68684151 199.70431457
 154.77717336 164.67124718 173.92956087 200.34002855 162.94259116
 199.2555743  158.99845063 143.41273185 115.4508677  149.77929098
  88.05359168  76.32551854 179.99596453 121.16747278 128.63663665
 198.85045216 118.75045901 117.76713079  88.79443713 153.35329643
 142.59774663 198.81628835  94.52935478  99.5309391  101.97779478
  90.29402637 128.49204294 114.73312695 107.54458551  86.77279006
  85.57568308  88.14206525  97.40852895  86.85360731 179.63700255
 187.46065785 113.44607252 119.6124387   94.32925524 191.87562017
  95.85406919 113.30056963 148.80174293 124.60454772 158.75386707
 105.62146363 110.23178256 128.35560738 169.92658457 135.87111462
 134.89107902 108.33840025 159.96812846 106.92553819 144.1268959 ]"|"[145.99590643  75.75704887  80.36248034 123.66252376 157.69545577
 179.35118918 107.97452171 159.97816483 148.62090154 199.54777645
 149.93520412 193.55485145 129.87143441  77.439406   166.00484119
 163.68162697 164.87906352 160.24733515 190.3101128  165.2248233
 121.24936796  79.37833888 113.57079762 108.41516071 123.7166453
 109.32459491  99.98348842 148.92893595  97.29409803 158.39530125
 118.12358044  92.47831978 179.64915254 163.83846    179.08957842
  76.70396299  96.50796659 118.83514415 138.37421976 167.51850074
 106.79618856 168.45787029  86.90066079 128.03041335 198.86434298
 166.18458194 132.57163418 137.06265902 175.7354035   98.43619257
 101.78476148 155.43503616 125.6989026  163.09450259 163.50966603
 102.19665232 162.24698803 131.25829767  92.25191224  98.67700429
 128.69656744 144.17655432 161.37082354 102.43424753 188.96635395
 125.99042127 199.68308628  92.54595074 182.75020162 189.16386262
 137.21800164  91.83636035 165.19320505 104.01983335 156.52439812]"|[34.46294562]|[175.43747404]
8|"[118.32786531 149.3691812  122.30741037 161.52692018  98.96688075
 105.01642115 103.04025466 193.79372863  90.74421185 190.07570909
 132.74371871 166.52349362 155.15630957 185.13663751 133.49291916
  78.01472873  97.49914906 111.28307634 157.68684151 199.70431457
 154.77717336 164.67124718 173.92956087 200.34002855 162.94259116
 199.2555743  158.99845063 143.41273185 115.4508677  149.77929098
  88.05359168  76.32551854 179.99596453 121.16747278 128.63663665
 198.85045216 118.75045901 117.76713079  88.48546519 153.35329643
 142.59774663 198.81628835  94.52935478  99.5309391  101.97779478
  90.29402637 128.49204294 114.73312695 107.54458551  86.77279006
  85.57568308  88.14206525  97.40852895  86.85360731 179.63700255
 187.46065785 113.44607252 119.6124387   94.32925524 191.87562017
  95.85406919 113.30056963 148.80174293 124.60454772 158.75386707
 105.62146363 110.23178256 128.35560738 169.92658457 135.87111462
 134.89107902 108.33840025 159.96812846 106.92553819 144.1268959 ]"|"[145.99590643  75.75704887  80.36248034 123.66252376 157.69545577
 179.35118918 107.97452171 159.97816483 148.62090154 199.54777645
 149.93520412 193.55485145 129.87143441  77.439406   166.00484119
 163.45655834 164.87906352 160.24733515 190.3101128  165.2248233
 121.24936796  79.37833888 113.57079762 108.41516071 123.7166453
 109.32459491  99.98348842 148.92893595  97.29409803 158.39530125
 118.12358044  92.47831978 179.64915254 163.83846    179.08957842
  76.70396299  96.50796659 118.83514415 139.32529092 167.51850074
 106.79618856 168.45787029  86.90066079 128.03041335 198.86434298
 166.18458194 132.57163418 137.06265902 175.7354035   98.43619257
 101.78476148 155.43503616 125.6989026  163.09450259 163.50966603
 102.19665232 162.24698803 131.25829767  92.25191224  98.67700429
 128.69656744 144.17655432 161.37082354 102.43424753 188.96635395
 125.99042127 199.68308628  92.54595074 182.75020162 189.16386262
 137.21800164  91.83636035 165.19320505 104.01983335 156.52439812]"|[35.74789258]|[174.66358043]
9|"[118.32786531 149.3691812  121.57037556 161.52692018  98.96688075
 105.01642115 103.04025466 193.79372863  90.74421185 190.07570909
 132.74371871 166.52349362 155.15630957 185.13663751 133.49291916
  78.99996605  97.49914906 111.28307634 157.68684151 199.70431457
 154.77717336 164.67124718 173.92956087 200.34002855 162.94259116
 199.2555743  158.99845063 143.41273185 115.4508677  149.77929098
  88.05359168  76.32551854 179.99596453 121.16747278 128.63663665
 198.85045216 118.75045901 117.76713079  88.48546519 153.35329643
 142.59774663 198.81628835  94.52935478  99.5309391  101.97779478
  90.29402637 128.49204294 114.73312695 108.40094586  86.77279006
  85.57568308  88.14206525  97.40852895  86.85360731 179.63700255
 187.46065785 113.44607252 119.6124387   94.32925524 191.87562017
  95.85406919 113.30056963 148.80174293 124.60454772 158.75386707
 105.62146363 110.23178256 128.35560738 169.92658457 135.87111462
 134.89107902 108.33840025 159.96812846 106.92553819 144.1268959 ]"|"[145.99590643  75.75704887  81.03833512 123.66252376 157.69545577
 179.35118918 107.97452171 159.97816483 148.62090154 199.54777645
 149.93520412 193.55485145 129.87143441  77.439406   166.00484119
 163.28536421 164.87906352 160.24733515 190.3101128  165.2248233
 121.24936796  79.37833888 113.57079762 108.41516071 123.7166453
 109.32459491  99.98348842 148.92893595  97.29409803 158.39530125
 118.12358044  92.47831978 179.64915254 163.83846    179.08957842
  76.70396299  96.50796659 118.83514415 139.32529092 167.51850074
 106.79618856 168.45787029  86.90066079 128.03041335 198.86434298
 166.18458194 132.57163418 137.06265902 175.21902482  98.43619257
 101.78476148 155.43503616 125.6989026  163.09450259 163.50966603
 102.19665232 162.24698803 131.25829767  92.25191224  98.67700429
 128.69656744 144.17655432 161.37082354 102.43424753 188.96635395
 125.99042127 199.68308628  92.54595074 182.75020162 189.16386262
 137.21800164  91.83636035 165.19320505 104.01983335 156.52439812]"|[37.03242615]|[173.88900087]
